GeneSymbol.src	GeneSymbol.dst
ACBD4	HMGB3
ANG	RNASE4
ANLN	MASTL
ARD1A	UCHL5IP
ASPM	MCM10
ASPM	BUB1
ASPM	GPR19
ASPM	CCNE2
ASPM	NDC80
ASPM	EXO1
ASPM	NEK2
ASPM	KIF18A
ASPM	KIF11
ASPM	PDSS1
ATAD2	MYBL1
ATP5G3	H2AFV
AURKA	GTSE1
AURKA	MELK
AURKA	DSCC1
AURKA	DNMT3B
AURKA	DIXDC1
AURKA	BIRC5
AURKA	CCT5
AURKA	UBE2C
AURKA	CCNB1
AURKA	DONSON
AURKA	FRY
AURKA	GINS1
AURKA	UBE2S
AURKA	DNAJC9
AURKA	STARD13
AURKA	CSE1L
AURKA	SQLE
AURKA	CENPE
AURKA	PSMC3IP
AURKA	CABLES2
AURKA	DDX39
AURKA	CDC25B
AURKA	C20orf20
AURKB	FBXO5
AURKB	FAM64A
AURKB	CDCA7
AURKB	PKMYT1
AURKB	MYBL2
AURKB	NUP205
AURKB	KIF2C
AURKB	UHRF1
BEND3	NUP205
BEND3	MEX3A
BIRC5	SPAG5
BIRC5	APOBEC3B
BIRC5	HN1
BIRC5	TXNL4A
BIRC5	NUSAP1
BIRC5	KIF23
BIRC5	UBE2S
BIRC5	PGAM5
BLM	PDSS1
BLM	C16orf59
BLM	MCM3
BLM	NTN4
BLM	CYBRD1
BLM	KIF2C
BLM	LYAR
BLM	PRC1
BLM	MLF1IP
BLM	DOCK1
BLM	FANCA
BUB1	PHYHD1
BUB1	EZH2
BUB1	MELK
BUB1	PSMB2
BUB1	CENPN
BUB1	CCNE1
BUB1	C13orf3
BUB1	AURKB
BUB1	CCNA2
BUB1	CDC20
BUB1	ERCC6L
BUB1	KIF4A
BUB1	CEP55
BUB1	SHCBP1
BUB1	NEK2
BUB1	STMN1
BUB1	HJURP
BUB1	DIAPH3
BUB1	FAM54A
BUB1B	KIF18B
BUB1B	LMNB1
BUB1B	KIF2C
BUB1B	KIF20A
BUB1B	FANCI
BUB1B	AURKB
BUB1B	TOP2A
BUB1B	H2AFX
BYSL	NTN4
BYSL	DKC1
BYSL	ARD1A
BYSL	SNRPC
C13orf3	SPC25
C13orf3	LMNB2
C13orf3	TPX2
C13orf3	RFC3
C15orf42	CDT1
C15orf42	BLM
C15orf42	CYBRD1
C15orf42	DNMT3A
C15orf42	ESPL1
C15orf42	STIL
C15orf42	DHCR7
C15orf42	WDR5
C15orf42	SERP2
C15orf42	BEND3
C15orf42	CDC25A
C16orf61	NUDT1
C16orf61	ORC6L
C16orf61	BCL2A1
C16orf61	CENPN
C16orf61	SNRPA1
C16orf61	SLC7A5
