V1	V2
3-Sep	GNAZ
3-Sep	GNG4
ACBD4	FGF10
ACBD4	PEX12
ACBD4	KIAA0141
ACBD4	NUDT2
ACBD4	HMGB3
ACBD4	HMGCL
ACBD4	CDK5RAP3
ACBD4	CCDC115
ACOT7	BCAP31
ANG	RNASE4
ANLN	MASTL
ANLN	FAM132B
ARD1A	UCHL5IP
ARD1A	DUS2L
ARD1A	TESK1
ARD1A	TCOF1
ARD1A	LIN37
ARD1A	IRAK1
ARD1A	RAC1
ARD1A	FAM58A
ARD1A	BCAP31
ARHGAP11A	MS4A8B
ARHGAP11A	NMUR2
ARHGAP11A	MS4A5
ASPM	ANP32E
ASPM	NDC80
ASPM	KIF18A
ASPM	PPFIA2
ASPM	RBM34
ASPM	NEK2
ASPM	CCNE2
ASPM	PDSS1
ASPM	BUB1
ASPM	TMEM183A
ASPM	EXO1
ASPM	MCM10
ASPM	GPR19
ATAD2	RAD21
ATAD2	DERL1
ATAD2	MYBL1
ATAD2	ZDHHC14
ATAD2	MRPL15
ATAD3A	ASAH1
ATAD3A	TOMM40
ATAD3A	NBR1
ATAD3A	C1orf159
ATP5G3	RPS7
ATP5G3	H2AFV
AURKA	DSCC1
AURKA	C20orf20
AURKA	RALY
AURKA	CABLES2
AURKA	MELK
AURKA	DIXDC1
AURKA	PDCD4
AURKA	RPL3
AURKA	ARFRP1
AURKA	SQLE
AURKA	CENPE
AURKA	CDC25B
AURKA	GTSE1
AURKA	GINS1
AURKA	DNAJC9
AURKA	CSE1L
AURKA	PSMC3IP
AURKA	UBE2S
AURKA	DONSON
AURKA	PSMA7
AURKA	CCT5
AURKA	STARD13
AURKA	DDX39
AURKA	CCNB1
AURKA	RAE1
AURKA	GSK3B
AURKA	BIRC5
AURKA	SLC3A2
AURKA	FRY
AURKA	DNMT3B
AURKB	NUP205
AURKB	CDCA7
AURKB	PKMYT1
AURKB	MYBL2
AURKB	KIF2C
AURKB	FBXO5
AURKB	UHRF1
AURKB	FAM64A
BCL2A1	AHNAK
BCL2A1	TDO2
BCL2A1	NOD2
BCL2A1	C17orf80
BCL2L11	AMBP
BEND3	TET3
BEND3	HEBP2
BEND3	PREP
BEND3	GCNT1
BEND3	NUP205
BEND3	TTLL4
BEND3	HIST1H2BD
BEND3	MEST
BEND3	SYNCRIP
BEND3	MEX3A
BIRC5	KIF23
BIRC5	SNED1
BIRC5	NUSAP1
BIRC5	UBE2O
BIRC5	PGAM5
BIRC5	SPAG5
BIRC5	HN1
BIRC5	UBE2S
BIRC5	APOBEC3B
BIRC5	HAPLN1
BIRC5	TXNL4A
BLM	MCM3
BLM	LHX2
BLM	SULT1C2
BLM	FANCA
BLM	PRC1
BLM	DOCK1
BLM	CYBRD1
BLM	C1orf21
BLM	KRT4
BLM	KIF2C
BLM	NTN4
BLM	MLF1IP
BLM	PDSS1
BLM	GNRH2
BLM	PTPRT
BLM	8-Sep
BLM	MACF1
BLM	LZTFL1
BLM	C16orf59
BLM	LYAR
BUB1	HPSE
BUB1	CEP55
BUB1	DIAPH3
BUB1	HJURP
BUB1	RUNX1T1
BUB1	CDC20
BUB1	AURKB
BUB1	ITGB5
BUB1	PHYHD1
BUB1	CCNA2
BUB1	NEK2
BUB1	SHCBP1
BUB1	KIF4A
BUB1	CENPN
BUB1	C13orf3
BUB1	CCNE1
BUB1	MTCH2
BUB1	FAM54A
BUB1	PSMB2
BUB1	STK32B
BUB1	ERCC6L
BUB1	STMN1
BUB1	MELK
BUB1	EZH2
BUB1	CLCN5
BUB1B	KIF18B
BUB1B	H2AFX
BUB1B	KIF20A
BUB1B	LMNB1
BUB1B	TOP2A
BUB1B	AURKB
BUB1B	KIF2C
BUB1B	FANCI
BYSL	ARD1A
BYSL	NTN4
BYSL	POLR2D
BYSL	SNRPC
BYSL	DKC1
BYSL	SP6
BYSL	C16orf84
C11orf84	MARK2
C13orf3	RFC3
C13orf3	LMNB2
C13orf3	SPC25
C13orf3	TPX2
C15orf42	BEND3
C15orf42	WDR5
C15orf42	ESPL1
C15orf42	SERP2
C15orf42	BLM
C15orf42	STIL
C15orf42	CDT1
C15orf42	CYBRD1
C15orf42	DNMT3A
C15orf42	DHCR7
C15orf42	CDC25A
C16orf45	ZNF688
C16orf59	APOC3
C16orf61	ORC6L
C16orf61	SYNGR1
C16orf61	HIF1A
C16orf61	SNRPA1
C16orf61	BOLA3
C16orf61	BCL2A1
C16orf61	SCN7A
C16orf61	DUS2L
C16orf61	GOLT1B
C16orf61	NUP62
C16orf61	C20orf7
C16orf61	DKK1
C16orf61	PSMA7
C16orf61	NUP93
C16orf61	OR7E47P
C16orf61	PDE4A
C16orf61	NUDT1
C16orf61	COQ2
C16orf61	CCNI
C16orf61	SLC7A5
C16orf61	NETO2
C16orf61	FAM96B
C16orf61	NOP10
C16orf61	ARPC5L
C18orf56	LIN9
C1orf112	GLRX2
C1orf112	FLAD1
C1orf112	INTS7
C1orf112	RRP15
C20orf103	CST4
C20orf103	FRZB
C20orf103	EDNRA
C20orf103	MATN3
C20orf20	TPD52L2
C20orf20	CDKL1
C20orf20	C20orf11
C20orf20	YTHDF1
C20orf24	C6orf129
C20orf24	PRELID1
C20orf24	RAB22A
C20orf24	GOLT1B
C20orf24	DSN1
C20orf24	ATP1B3
C20orf24	EIF2S2
C20orf24	DNAJB11
C20orf24	RNF114
C6orf129	PSMC3IP
C6orf173	ACAT2
C6orf173	COQ3
C6orf173	CDK2AP1
C6orf173	C21orf91
C6orf173	CRY2
C6orf173	C6orf115
C6orf173	SEC61G
CALCOCO1	NISCH
CALCOCO1	RBPMS
CALCOCO1	IDI1
CALCOCO1	MRPS17
CASC5	GINS1
CASC5	CAPZB
CBX7	KIAA0141
CBX7	SLC9A2
CBX7	VILL
CBX7	CBX6
CCNA2	NEIL3
CCNA2	DGCR11
CCNA2	SLMO1
CCNA2	MAD2L1
CCNA2	SHCBP1
CCNA2	HEXIM1
CCNA2	ACTL6A
CCNA2	FOXM1
CCNA2	EXO1
CCNA2	CKAP2
CCNB1	EIF2S1
CCNB1	TBRG4
CCNB1	CCT5
CCNB1	HMGB3
CCNB1	CKS2
CCNB1	CCT3
CCNB1	CNIH4
CCNB1	NOP16
CCNB1	RNASEH2A
CCNB1	MAD2L1
CCNB1	FEN1
CCNB1	STIP1
CCNB1	HNRNPAB
CCNB1	RANBP1
CCNB2	KPNA2
CCNB2	CENPE
CCNB2	RAD51
CCNB2	CHAF1B
CCNB2	AK5
CCNB2	CENPA
CCNB2	PPP1R14B
CCNB2	FBXO31
CCNB2	EIF4EBP1
CCNB2	HJURP
CCNB2	GPR19
CCNB2	GINS2
CCNB2	PTTG1
CCNB2	TMSL8
CCNB2	NCAPG
CCNB2	APOBEC3B
CCNB2	PRC1
CCNB2	BUB1B
CCNB2	CTPS
CCNB2	NUSAP1
CCNB2	LMNB1
CCNB2	KIF2C
CCNB2	GMPS
CCNB2	BIRC5
CCNB2	CROT
CCNB2	BUB1
CCNB2	NMU
CCNB2	CDC20
CCNB2	CDC2
CCNB2	SNRPA1
CCNB2	E2F8
CCNB2	KIF23
CCNB2	CDKN3
CCNB2	GABPB1
CCNB2	NCAPH
CCNB2	CDC25C
CCNB2	RACGAP1
CCNB2	TPX2
CCNB2	FAM64A
CCNB2	KIF11
CCNB2	C15orf42
CCNB2	ZDHHC21
CCNB2	CASC5
CCNB2	CDC45L
CCNB2	PRR11
CCNB2	DEPDC1B
CCNE1	ABP1
CCNE1	CTSL2
CCNE1	TPRXL
CCNE2	C13orf37
CCNE2	WDR67
CCT5	HNRNPAB
CCT5	TARS
CCT5	NSUN2
CCT5	PSMC1
CCT5	APPBP2
CCT5	LAPTM4B
CCT5	MOBKL3
CCT5	CLDN3
CCT5	DKC1
CCT5	CCT7
CCT5	NDUFS6
CCT5	HPSE
CCT5	PSMA7
CDC2	MRPL47
CDC2	TIPIN
CDC2	CKS2
CDC2	C20orf24
CDC2	DONSON
CDC2	GPR162
CDC2	GMNN
CDC2	DTL
CDC2	BRCA2
CDC2	CCNE2
CDC2	SFRS3
CDC2	ZWINT
CDC2	KIAA1524
CDC2	DEPDC1B
CDC2	PBK
CDC2	MAD2L1
CDC2	GINS1
CDC2	PEG3
CDC2	MN1
CDC2	USH1C
CDC20	CHEK1
CDC20	RNF32
CDC20	NDC80
CDC20	HMMR
CDC20	KIF20A
CDC20	CCNA2
CDC20	NUDT1
CDC20	CDCA8
CDC20	CENPF
CDC20	FAF1
CDC20	UQCRH
CDC20	ORC1L
CDC20	RPP25
CDC20	HMGA1
CDC20	TACC3
CDC20	ZNF777
CDC20	HJURP
CDC20	ZNF165
CDC20	CHID1
CDC20	TYMS
CDC25A	PFDN2
CDC25A	ZFPL1
CDC25B	ITPR3
CDC25B	RBM38
CDC25B	PLP2
CDC25B	SLCO4A1
CDC25B	LPCAT1
CDC25C	E2F8
CDC45L	CDC6
CDC45L	STARD13
CDC45L	MCM5
CDC45L	POLA2
CDC45L	CPS1
CDC45L	RRM2
CDC45L	RANBP1
CDC45L	ASNS
CDC45L	BLM
CDC45L	MRPS5
CDC45L	NCAPH
CDC45L	DONSON
CDC45L	CENPM
CDC45L	TRIP13
CDC6	HNRNPAB
CDCA3	NCAPD2
CDCA3	RAD51
CDCA3	CENPO
CDCA3	NCAPH
CDCA3	UBE2S
CDCA3	RAD51AP1
CDCA3	DIRAS3
CDCA3	UBE2C
CDCA3	MCM2
CDCA3	DLGAP5
CDCA3	CDCA8
CDCA7	EEF1A2
CDCA7	YBX1
CDCA8	MYBL1
CDCA8	RTN4R
CDCA8	BUB1
CDCA8	DHFR
CDCA8	RNFT2
CDCA8	RNASEH2A
CDCA8	HMGA1
CDCA8	AURKA
CDCA8	CHAF1B
CDCA8	RFC4
CDCA8	PDXK
CDCA8	SCG3
CDCA8	IMPA2
CDCA8	MCM10
CDCA8	CHEK1
CDCA8	LRP8
CDCA8	CACNA1C
CDK2	ANGPTL3
CDK2	KSR1
CDK2	CALB1
CDK2	AMELX
CDKN3	DSCC1
CDKN3	RUNX1
CDKN3	NM_207306
CDKN3	XRCC3
CDT1	PNMA3
