V1	V2
A2M	C3
A2M	DPYSL2
ABCA8	SDPR
ABCA8	PGM5
ABCA8	GPC3
ABCA8	MEOX2
ABCA8	RHBDD3
ABCA8	TXNIP
ABCA8	MAP1LC3C
ABCA8	DOCK3
ABCA8	VILL
ABCA8	HRASLS5
ABCA8	CAV1
ABCA8	NTRK2
ABCA8	FIGF
ABCA8	CHL1
ABCA8	CYTL1
ABCA8	FCER1A
ABCA8	SVEP1
ABCA8	APOD
ABCA8	ADH1C
ABCA8	LEPR
ABCA8	MYOM2
ABCA8	KLF15
ABCB1	PTGFR
ABCB1	MAB21L1
ABCB1	MAGEC2
ABCD1	ABCB9
ABHD2	RSL1D1
ACACB	AICDA
ACSL4	ECHDC1
ACSL4	VNN1
ACSL4	MASP1
ACSL4	SLC39A8
ACVR1	10-Sep
ACVR1	RIN2
ACVR1	MAF
ADAMTS1	PTGS2
ADAMTS1	NPAS3
ADAMTS1	CCDC52
ADH1B	ITGA7
ADH1B	GPAM
ADH1B	CHRDL1
ADH1B	TIMP4
ADH1B	PALMD
ADH1B	ALDH1L1
ADH1B	HBB
ADH1B	ACSL1
ADH1B	ADH1C
ADH1B	ABCA8
ADH1B	GPC3
ADH1B	PPP1R1A
ADH1C	FAM69A
ADH1C	TSPAN8
ADIPOQ	FABP4
ADIPOQ	AKR1C2
ADIPOQ	RBP4
ADIPOQ	G0S2
ADIPOQ	HP
ADIPOQ	TIMP4
ADIPOQ	TRHDE
ADIPOQ	PDE3B
ADIPOQ	EPHA3
ADIPOQ	FHL1
ADIPOQ	CIDEC
ADM	NDRG1
ADM	SLC2A3
ADM	P4HA1
ADM	ANGPTL4
ADM	RABEP1
AGPAT4	STX2
AHNAK	SP1
AHNAK	AW451236
AKAP12	ANK2
AKR1C1	CACNB4
AKR1C1	AKR1C3
AKR1C2	AKR1C3
AKR1C2	CLU
AKR1C2	AKR1C1
AKR1C2	CA4
ALDH1A2	C19orf26
ALDH1A2	BPNT1
ANGPT1	MAPK8IP3
ANGPTL4	ADFP
