"","genes","res"
"1","GPR50","r25_r26"
"2","POSTN","r25_r26"
"3","CERS3","r25_r26"
"4","F5","r25_r26"
"5","MANSC1","r25_r26"
"6","XDH","r25_r26"
"7","EDIL3","r25_r26"
"8","TNFSF13B","r25_r26"
"9","LOC101927416","r25_r26"
"10","CNR1","r25_r26"
"11","IRG1","r25_r26"
"12","TMPRSS11E","r25_r26"
"13","FYB","r25_r26"
"14","MCTP1","r25_r26"
"15","ALOX15","r25_r26"
"16","EREG","r25_r26"
"17","MAN1A1","r25_r26"
"18","PRR32","r25_r26"
"19","PLXDC2","r25_r26"
"20","HSD17B13","r25_r26"
"21","CLEC2B","r25_r26"
"22","GBP2","r25_r26"
"23","NGRN","r25_r26"
"24","SLC22A3","r25_r26"
"25","SNX10","r25_r26"
"26","DIO1","r25_r26"
"27","SLC39A2","r25_r26"
"28","GRM7-AS1","r25_r26"
"29","SAMD9","r25_r26"
"30","PRRG1","r25_r26"
"31","CPM","r25_r26"
"32","CEACAM7","r25_r26"
"33","PCDHAC2","r25_r26"
"34","IFIT2","r25_r26"
"35","DUSP4","r25_r26"
"36","HP","r25_r26"
"37","COL6A6","r25_r26"
"38","DDIT4L","r25_r26"
"39","EVI2A","r25_r26"
"40","MROH9","r25_r26"
"41","CHST5","r25_r26"
"42","NAIP","r25_r26"
"43","LOC101930010","r25_r26"
"44","CX3CR1","r25_r26"
"45","MS4A8","r25_r26"
"46","LRRK2","r25_r26"
"47","LRRC48","r25_r26"
"48","TMPRSS11A","r25_r26"
"49","KIAA1551","r25_r26"
"50","IVL","r25_r26"
"51","A2ML1","r25_r26"
"52","IGSF6","r25_r26"
"53","DNAH9","r25_r26"
"54","MYO15A","r25_r26"
"55","FAM201A","r25_r26"
"56","HEPHL1","r25_r26"
"57","CLEC7A","r25_r26"
"58","C15orf26","r25_r26"
"59","MAP6","r25_r26"
"60","SULT1B1","r25_r26"
"61","ADRA2A","r25_r26"
"62","BIN2","r25_r26"
"63","KCNE1","r25_r26"
"64","GBP5","r25_r26"
"65","FCGR3A","r25_r26"
"66","MYLK3","r25_r26"
"67","FGL2","r25_r26"
"68","HSPA7","r25_r26"
"69","DDX60L","r25_r26"
"70","ST8SIA4","r25_r26"
"71","CLEC5A","r25_r26"
"72","PTPRD","r25_r26"
"73","HIF1A-AS2","r25_r26"
"74","ALOX15P1","r25_r26"
"75","TMPRSS11D","r25_r26"
"76","DMRT3","r25_r26"
"77","SMCHD1","r25_r26"
"78","AIM2","r25_r26"
"79","EVI2B","r25_r26"
"80","FAM47E","r25_r26"
"81","AOAH","r25_r26"
"82","CYBB","r25_r26"
"83","PTPRC","r25_r26"
"84","MFAP2","r25_r26"
"85","FCGR1A","r25_r26"
"86","DYDC1","r25_r26"
"87","CNGA4","r25_r26"
"88","DNAH10","r25_r26"
"89","LINC00332","r25_r26"
"90","PCSK6","r25_r26"
"91","CDH19","r25_r26"
"92","EID2B","r25_r26"
"93","TTC30A","r25_r26"
"94","PDZRN3-AS1","r25_r26"
"95","PCDHAC1","r25_r26"
"96","ZNF117","r25_r26"
"97","AP1S2","r25_r26"
