Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	6	10.526315789473683	1.8683122947321229E-6	RPL21, RPL22, RPS6, RPS3A, RPL26, RPL7	49	88	20624	28.697588126159555	2.484548972965239E-4	2.4848553519937235E-4	2.4848553519937235E-4
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	6	10.526315789473683	2.0198969643956765E-6	RPL21, RPL22, RPS6, RPS3A, RPL26, RPL7	46	90	19414	28.13623188405797	7.107517457625168E-4	7.089838345028824E-4	7.089838345028824E-4
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	6	10.526315789473683	1.1616214593854214E-4	RPL21, RPL22, RPS6, RPS3A, RPL26, RPL7	49	190	18945	12.209452201933404	0.012008875823305898	0.012197025323546924	0.012197025323546924
GOTERM_BP_DIRECT	GO:0006412~translation	6	10.526315789473683	1.5405722664825456E-4	RPL21, RPL22, RPS6, RPS3A, RPL26, RPL7	46	221	19414	11.45819397993311	0.052787976617362675	0.027037043276768674	0.027037043276768674
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	4	7.017543859649122	4.063296587497295E-4	RPL21, RPL22, RPL26, RPL7	49	62	20624	27.154707044107962	0.05261794216353244	0.02702092230685701	0.02702092230685701
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	5	8.771929824561402	9.512665635023172E-4	RPL22, RPS6, RPS3A, RPL26, RPL7	49	188	20624	11.194094659140253	0.11889516751723161	0.04217281764860273	0.04217281764860273
GOTERM_BP_DIRECT	GO:0086029~Purkinje myocyte to ventricular cardiac muscle cell signaling	2	3.508771929824561	0.004630576207459573	RYR2, CASQ2	46	2	19414	422.04347826086956	0.8048034636345646	0.54177741627277	0.54177741627277
GOTERM_CC_DIRECT	GO:0005840~ribosome	4	7.017543859649122	0.007369635756995344	RPL21, RPL22, RPS6, RPS3A	49	171	20624	9.845566296694116	0.6261090553213087	0.2450403889200952	0.2450403889200952
GOTERM_MF_DIRECT	GO:0005515~protein binding	41	71.9298245614035	0.008384976915176142	RYR2, ANKRD37, MEAF6, DPY30, COX7A1, CYP3A5, RPL7, CCNB2, PPP1R7, FAM86B2, STMN1, MED31, SLIT1, DLGAP1, FGFBP2, RPL21, DYNLT1, FZD5, UBE2C, SERPINF1, RPL22, RPS6, PIPOX, RPS3A, TBCA, CTAG2, DYNLL1, GTF2H5, HRNR, DKK3, SQLE, MYL7, DES, CERCAM, CASQ2, UFC1, TFF3, BIRC5, TRIB3, RPL26, CCDC60	49	12648	18945	1.2533158424660187	0.5834355857057874	0.40135184285247055	0.40135184285247055
GOTERM_MF_DIRECT	GO:0015631~tubulin binding	3	5.263157894736842	0.011467195510070588	STMN1, BIRC5, TBCA	49	64	18945	18.1234056122449	0.698648789559601	0.40135184285247055	0.40135184285247055
