Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005930~axoneme	39	6.521739130434782	8.894359940935139E-32	CFAP61, DNAH2, CCDC103, TULP3, DNAH9, RSPH9, AK8, DNALI1, KIF19, AKAP14, CCDC96, HYDIN, DZIP1L, CFAP46, CFAP43, BBS5, CFAP45, DNAH12, CFAP74, CFAP52, RSPH4A, DNAI2, DNAH10, DNAH17, SPAG6, DNAAF1, CCDC113, DCDC2, LRRC43, WDR54, RP1, CFAP221, EFHC1, CCDC65, EFHC2, DRC1, CFAP54, GAS8, CCDC40	497	123	20624	13.15757962408598	3.7089480953699534E-29	3.7089480953699534E-29	3.566638336314991E-29
GOTERM_CC_DIRECT	GO:0031514~motile cilium	26	4.3478260869565215	8.531813191567451E-17	CFAP61, DNAH2, CCDC103, DNAH9, RSPH9, AK7, DNALI1, NPHP1, TEKT1, TEKT2, ROPN1L, LOC442028, SPA17, RSPH4A, DNAH17, IFT122, IQCD, RSPH1, RSPH14, DYDC1, CCDC65, DRC1, IFT46, TTLL9, GAS8, CFAP99	497	120	20624	8.99101274312542	4.629630012686903E-14	1.7788830504418134E-14	1.7106285449092738E-14
GOTERM_BP_DIRECT	GO:0060271~cilium assembly	30	5.016722408026756	1.7833595669347974E-13	SNX10, TCTN2, TEKT1, TCTN1, TEKT2, CCDC96, DZIP1L, LOC442028, CFAP43, CC2D2A, BBS5, CFAP52, RSPH4A, DNAI2, DNAAF1, CCDC113, ARMC9, DCDC2, IFT122, RABL2B, NME5, WDR54, TMEM231, IFT22, CFAP221, UBXN10, CCDC65, CEP41, IFT46, CFAP54	460	229	19414	5.528953863679513	4.1383851900889113E-10	4.13739419528873E-10	4.0981602848161645E-10
GOTERM_CC_DIRECT	GO:0097729~9+2 motile cilium	12	2.0066889632107023	3.958991914501047E-13	DNAH12, CFAP221, CFAP52, DNAH10, CETN2, DNAH9, RSPH9, CFAP43, DNAI1, AK8, DNALI1, CFAP45	497	21	20624	23.712561080770335	1.6509260625241495E-10	5.502998761156455E-11	5.291852525716399E-11
GOTERM_CC_DIRECT	GO:0005929~cilium	30	5.016722408026756	1.1726132802280626E-12	FANK1, STOML3, TULP3, CFAP126, DNALI1, KIF19, NPHP1, DZIP1L, ROPN1L, SPA17, DNAI1, DNAH12, ODF2, MOK, DAW1, DCDC2, IFT122, DLEC1, NME5, TBX3, TTLL6, IFT22, CFAP221, SNTN, UBXN10, CEP41, IFT46, TTLL9, GAS8, CCDC40	497	242	20624	5.144253953472903	4.889815219399907E-10	1.2224493446377554E-10	1.1755448134286328E-10
GOTERM_CC_DIRECT	GO:0036064~ciliary basal body	24	4.013377926421405	2.449574842567244E-11	FANK1, C11ORF97, ODF2, CETN2, CCDC113, ARMC9, IFT122, RABL2B, IQCD, CFAP126, TTLL6, AGBL2, CCDC170, DZIP1L, CCDC96, CCDC65, CEP41, EFHC2, IFT46, GAS2L2, SAXO2, BBS5, TTLL9, GAS8	497	171	20624	5.824137809312012	1.0214723067392129E-8	2.0429454187010817E-9	1.96455902373893E-9
GOTERM_BP_DIRECT	GO:0035082~axoneme assembly	12	2.0066889632107023	2.7004008437849576E-11	RSPH4A, RSPH1, RP1, CFAP74, LRGUK, DNAAF1, CFAP46, RSPH9, LRRC43, CC2D2A, GAS8, CCDC40	460	29	19414	17.463868065967013	6.267617669308834E-8	3.132464978790551E-8	3.102760569508916E-8
GOTERM_BP_DIRECT	GO:0003351~epithelial cilium movement	10	1.6722408026755853	2.846703206814179E-10	DNAAF2, SPAG6, CCDC103, ROPN1L, NME5, SPA17, DPCD, DNAI1, GAS8, CCDC40	460	20	19414	21.102173913043476	6.607195187635639E-7	2.2014504799362984E-7	2.180574656419661E-7
GOTERM_BP_DIRECT	GO:0003341~cilium movement	13	2.1739130434782608	8.518016455144734E-10	CFAP61, RSPH4A, DNAI2, DNAH17, CCDC103, DNAAF1, DNAH9, RSPH9, NME5, CFAP221, HYDIN, DNAI1, CCDC40	460	48	19414	11.430344202898551	1.9770296280086086E-6	4.940449543983946E-7	4.89360045348065E-7
GOTERM_CC_DIRECT	GO:0005879~axonemal microtubule	12	2.0066889632107023	9.33132716698471E-10	PACRG, CFAP52, SPAG8, TEKT1, TEKT2, EFHC1, EFHB, EFHC2, SAXO2, CFAP126, CFAP45, RIBC2	497	38	20624	13.104310070952028	3.8911625299675734E-7	5.682770470719238E-8	5.464726519804351E-8
