Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	120	37.61755485893417	2.346127574470949E-9	CPNE8, SPARC, SIRPD, GPR65, IL1RAP, ANTXR2, ENDOU, CYSLTR1, RASSF2, CAPNS2, LAMP2, DUOXA2, TGM5, CMKLR1, PDGFRB, PPP1R16B, UNC5A, PRKCB, OLFM4, ACE2, DOK3, CLEC4D, APLNR, CD300E, DSC2, S100A8, DSC3, COL17A1, CSF1R, PXK, PCDH10, SLC1A3, ITPR2, SLC41A1, FPR3, CACNA1I, FLRT2, MICAL1, PLCG2, S100A12, SLAMF7, PAG1, CLCA4, MFAP3L, ABCA1, LYN, MGAM, HSPA6, HTR1B, TRPV3, RAB27B, SLC16A10, PTPRE, SDK1, VNN1, SELL, PARVG, LPAR6, REEP2, XKR3, ITM2B, PICALM, SLC40A1, HIF3A, ARRB2, MS4A4A, ADGRE2, CLEC1A, RASGEF1B, CASP4, BLNK, CASP1, JAK3, RAB8B, CD53, TMPRSS11B, TMEM150B, IFNGR1, GPBAR1, TMPRSS11F, APBB1IP, MS4A6A, PLSCR1, CEACAM6, PECAM1, TLR7, CD48, DSG3, LCP1, RAPGEF6, HCN4, RGS18, OR10H1, ROCK1, GNAI3, ADCY7, LILRA5, FCHO2, CXCR2, GPR156, GBP1, MPP1, KCNJ16, LILRB1, LILRB2, SORBS1, ATP2B1, MCOLN2, LILRB4, GPR141, P2RX7, MARCKS, FCGR2A, TAOK3, STK17B, ATP13A4, FAS, PIK3AP1, IL18R1, ADGRL2	285	5333	20624	1.6283122958342788	7.789140692437968E-7	7.789143547243551E-7	7.577992065541165E-7
GOTERM_BP_DIRECT	GO:0007165~signal transduction	44	13.793103448275861	3.976590252616501E-8	ARHGAP9, CSF1R, COL15A1, ECM1, ROCK1, CRABP2, PDE1B, ITPR2, FPR3, ARRB2, HIF1A, SCUBE2, ENDOU, CACNA1I, CRHBP, CLEC1A, RASSF2, CCL7, MICAL1, CXCR2, CASP1, CCL2, PAG1, MPP1, CD53, LYN, PDGFRB, IFNGR1, PRKCB, GAB1, LILRB1, LILRB2, OLFM4, ARHGAP25, GPR141, GREM1, APBB1IP, ARHGAP30, GDNF, CEACAM6, RASA2, PECAM1, FAS, IL18R1	266	1283	19414	2.5029916959194556	7.28087183714532E-5	7.277160162288196E-5	7.237394259762032E-5
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	22	6.896551724137931	4.786194959990007E-7	CSF1R, ECM1, PXK, FPR3, IL1RAP, AIF1, P2RX7, POLB, ADGRE2, CRHBP, VNN1, CCL7, CASP4, CXCR2, BLNK, REL, S100A12, CCL2, TLR7, S100A8, IL18R1, CMKLR1	266	428	19414	3.7515634881596513	8.759686222510332E-4	4.379368388390856E-4	4.355437413590906E-4
GOTERM_BP_DIRECT	GO:0006952~defense response	9	2.8213166144200628	1.4750187962782635E-5	CYSLTR1, CLEC1A, CRISP3, MX2, RNASE6, CD48, INHBB, TPSAB1, MALT1	266	81	19414	8.109440267335003	0.026646344186484483	0.008233595495346167	0.008188603170234985
GOTERM_BP_DIRECT	GO:0045087~innate immune response	24	7.523510971786834	1.7996930044472495E-5	TMEM45B, LYN, ZBP1, CSF1R, RSAD2, CRISP3, MX2, RNASE6, IL1RAP, BCL10, NMI, MCOLN2, MPEG1, MALT1, IFIT3, LILRA5, VNN1, CASP4, REL, S100A12, TLR7, JAK3, GBP1, S100A8	266	627	19414	2.7936827715221066	0.03241565098679133	0.008233595495346167	0.008188603170234985
GOTERM_BP_DIRECT	GO:0002774~Fc receptor mediated inhibitory signaling pathway	4	1.2539184952978055	2.464295526644884E-5	LYN, LILRB1, LILRB2, LILRB4	266	5	19414	58.38796992481202	0.04411895832023027	0.009019321627520276	0.008970035716987379
GOTERM_CC_DIRECT	GO:0045121~membrane raft	14	4.38871473354232	3.754204531063588E-5	LYN, ABCA1, UNC5A, GNAI3, ATP2B1, BCL10, SORBS1, ACE2, PLSCR1, PECAM1, PLCG2, FAS, CD48, PAG1	285	245	20624	4.135137844611529	0.012386836684804114	0.006231979521565556	0.006063040317667695
GOTERM_CC_DIRECT	GO:0005576~extracellular region	53	16.614420062695924	5.9116800675726506E-5	ARHGAP9, ADAMDEC1, ECM1, SPARC, SIRPD, CRISP3, IL1RAP, CTSV, ANTXR2, PRB4, ENDOU, CRHBP, ADAMTS1, CASP4, LIPN, LIPM, TPSAB1, RNASE6, EPDR1, OLFM4, TMPRSS11F, MPEG1, GREM1, ACE2, COL6A1, S100A8, DSC3, COL17A1, COL15A1, ROCK1, LILRA5, SCUBE2, CCL7, ADAMTS18, ALOX5, S100A12, CCL2, GBP1, CLCA4, HSPA6, INHBB, LILRB1, ARPC5, TUBB4B, VNN1, BPIFB1, SEMG2, GDNF, CAPZA1, COL5A3, CAPZA2, HCG22, ITM2B	285	2184	20624	1.756108219266114	0.01943599541825136	0.006542259274780401	0.006364908872753221
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	13	4.075235109717868	9.45989299485586E-5	ZBP1, RSAD2, IFNGR1, MX2, RNASE6, LILRB1, LYST, IFIT3, PLSCR1, IRF1, CASP1, TLR7, GBP1	266	234	19414	4.054720133667502	0.15904643454480982	0.027218150743565334	0.027069417679392846
GOTERM_BP_DIRECT	GO:0032695~negative regulation of interleukin-12 production	5	1.5673981191222568	1.1192141655328378E-4	LILRB1, ARRB2, JAK3, CMKLR1, LILRA5	266	19	19414	19.20656905421448	0.18530346313699153	0.027218150743565334	0.027069417679392846
