Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005930~axoneme	39	6.467661691542288	1.2008960759231825E-31	CFAP61, DNAH2, CCDC103, TULP3, DNAH9, RSPH9, AK8, DNALI1, KIF19, AKAP14, CCDC96, HYDIN, DZIP1L, CFAP46, CFAP43, BBS5, CFAP45, DNAH12, CFAP74, CFAP52, RSPH4A, DNAI2, DNAH10, DNAH17, SPAG6, DNAAF1, CCDC113, DCDC2, LRRC43, WDR54, RP1, CFAP221, EFHC1, CCDC65, EFHC2, DRC1, CFAP54, GAS8, CCDC40	501	123	20624	13.052529088165134	4.995727675840439E-29	4.995727675840439E-29	4.80358430369273E-29
GOTERM_CC_DIRECT	GO:0031514~motile cilium	26	4.311774461028192	1.0284978392206381E-16	CFAP61, DNAH2, CCDC103, DNAH9, RSPH9, AK7, DNALI1, NPHP1, TEKT1, TEKT2, ROPN1L, LOC442028, SPA17, RSPH4A, DNAH17, IFT122, IQCD, RSPH1, RSPH14, DYDC1, CCDC65, DRC1, IFT46, TTLL9, GAS8, CFAP99	501	120	20624	8.919228210246175	4.618527782440651E-14	2.1392755055789272E-14	2.0569956784412764E-14
GOTERM_BP_DIRECT	GO:0060271~cilium assembly	30	4.975124378109453	2.2315272778553813E-13	SNX10, TCTN2, TEKT1, TCTN1, TEKT2, CCDC96, DZIP1L, LOC442028, CFAP43, CC2D2A, BBS5, CFAP52, RSPH4A, DNAI2, DNAAF1, CCDC113, ARMC9, DCDC2, IFT122, RABL2B, NME5, WDR54, TMEM231, IFT22, CFAP221, UBXN10, CCDC65, CEP41, IFT46, CFAP54	464	229	19414	5.481290468302967	5.215128329183472E-10	5.21284772107017E-10	5.163754120957352E-10
GOTERM_CC_DIRECT	GO:0097729~9+2 motile cilium	12	1.9900497512437811	4.3216928661463847E-13	DNAH12, CFAP221, CFAP52, DNAH10, CETN2, DNAH9, RSPH9, CFAP43, DNAI1, AK8, DNALI1, CFAP45	501	21	20624	23.52323923581409	1.7979928657041455E-10	5.99274744105632E-11	5.762257154861847E-11
GOTERM_CC_DIRECT	GO:0005929~cilium	30	4.975124378109453	1.4276887076682468E-12	FANK1, STOML3, TULP3, CFAP126, DNALI1, KIF19, NPHP1, DZIP1L, ROPN1L, SPA17, DNAI1, DNAH12, ODF2, MOK, DAW1, DCDC2, IFT122, DLEC1, NME5, TBX3, TTLL6, IFT22, CFAP221, SNTN, UBXN10, CEP41, IFT46, TTLL9, GAS8, CCDC40	501	242	20624	5.103182065620825	5.938964875440433E-10	1.4847962559749768E-10	1.4276887076682468E-10
GOTERM_CC_DIRECT	GO:0036064~ciliary basal body	24	3.9800995024875623	2.8771238598547567E-11	FANK1, C11ORF97, ODF2, CETN2, CCDC113, ARMC9, IFT122, RABL2B, IQCD, CFAP126, TTLL6, AGBL2, CCDC170, DZIP1L, CCDC96, CCDC65, CEP41, EFHC2, IFT46, GAS2L2, SAXO2, BBS5, TTLL9, GAS8	501	171	20624	5.777637707042057	1.1968822266616996E-8	2.393767051399158E-9	2.3016990878838055E-9
GOTERM_BP_DIRECT	GO:0035082~axoneme assembly	12	1.9900497512437811	2.963669976661202E-11	RSPH4A, RSPH1, RP1, CFAP74, LRGUK, DNAAF1, CFAP46, RSPH9, LRRC43, CC2D2A, GAS8, CCDC40	464	29	19414	17.313317479191436	6.926105311499953E-8	3.461566532740284E-8	3.4289661629970106E-8
GOTERM_BP_DIRECT	GO:0003351~epithelial cilium movement	10	1.658374792703151	3.0736290637165553E-10	DNAAF2, SPAG6, CCDC103, ROPN1L, NME5, SPA17, DPCD, DNAI1, GAS8, CCDC40	464	20	19414	20.920258620689655	7.183068695404415E-7	2.3933324976139574E-7	2.3707925511467031E-7
GOTERM_BP_DIRECT	GO:0003341~cilium movement	13	2.155887230514096	9.398936650174087E-10	CFAP61, RSPH4A, DNAI2, DNAH17, CCDC103, DNAAF1, DNAH9, RSPH9, NME5, CFAP221, HYDIN, DNAI1, CCDC40	464	48	19414	11.331806752873563	2.196529208631226E-6	5.488979003701667E-7	5.437284852125709E-7
GOTERM_CC_DIRECT	GO:0005879~axonemal microtubule	12	1.9900497512437811	1.0152702256036229E-9	PACRG, CFAP52, SPAG8, TEKT1, TEKT2, EFHC1, EFHB, EFHC2, SAXO2, CFAP126, CFAP45, RIBC2	501	38	20624	12.999684840844628	4.2235231478837676E-7	7.039206897518451E-8	6.76846817069082E-8
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	74	12.271973466003317	1.3669660703445653E-9	TUSC3, SLC23A1, PTPRJ, SLC8A1, MILR1, FCGR3A, FCGR3B, GRM7, CLEC5A, PLXNC1, SLC39A2, PCDHAC2, PCDHAC1, HS3ST3B1, TMPRSS11A, ENTPD1, CR1, MME, KCNH7, CYBB, PCDHA13, ATP11A, ADRA2C, TMPRSS11E, PCDHA12, PCDHA11, ADRA2A, PCDHA10, EREG, TMPRSS11D, TLR1, CEACAM1, CDHR4, TLR10, TLR6, TLR4, TLR2, CX3CR1, SLC22A3, SLC24A4, SLC26A2, IGSF6, NRXN3, CACNA1C, HRH1, PCDHA1, CNR1, PRRG1, PCDHA5, PCDHA4, PCDHA3, PCDHA2, PCDHA9, FCGR1A, PCDHA8, SLC38A5, PCDHA7, PCDHA6, GABRQ, MSR1, NTRK2, CD163, SEMA4D, KCNJ15, GPR50, MERTK, CALHM3, SELE, PTPRD, PTPRC, CLEC2B, TNFSF8, EVI2B, FCGR2C	501	1438	20624	2.118400195436665	5.686577345676014E-7	8.12368407519056E-8	7.811234687683231E-8
