Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0031514~motile cilium	14	5.490196078431373	7.397540667011509E-11	ADGB, SPAG17, DNAH11, DNAH5, CFAP70, DNAJB13, IQCG, IFT81, IQUB, ZBBX, CFAP36, CCDC181, TEKT3, MNS1	189	120	20624	12.730864197530865	1.7162288368233192E-8	1.7162294347466702E-8	1.6052663247414975E-8
GOTERM_CC_DIRECT	GO:0005930~axoneme	13	5.098039215686274	1.3792059060771415E-9	DNAH11, DNAH5, IFT172, CFAP70, DNAH6, DNAJB13, SPATA4, RPGRIP1L, LCA5L, CFAP36, WDPCP, MNS1, IFT57	189	123	20624	11.533187077902525	3.1997570870689884E-7	1.599878851049484E-7	1.4964384080936985E-7
GOTERM_BP_DIRECT	GO:0060271~cilium assembly	16	6.2745098039215685	3.036571124734807E-9	DNAH5, IFT172, ARL3, CFAP70, RFX3, FAM161A, IFT81, TMEM67, IQUB, TMEM107, CFAP47, TEKT3, WDPCP, IFT57, CFAP53, CLUAP1	178	229	19414	7.620430793385997	2.5810821127070227E-6	2.5780488848998514E-6	2.550719744777238E-6
GOTERM_CC_DIRECT	GO:0005929~cilium	16	6.2745098039215685	6.5755205264478715E-9	DNAH7, DNAH5, IFT172, ARL3, RPGRIP1L, MLF1, LZTFL1, FAM161A, IFT81, CFAP47, CFAP36, DYNLRB2, WDPCP, IFT57, CFAP53, CLUAP1	189	242	20624	7.214657396475578	1.5255196141872318E-6	5.085069207119687E-7	4.7562931807972935E-7
GOTERM_BP_DIRECT	GO:0003341~cilium movement	8	3.1372549019607843	2.4978771589729057E-7	DNAH11, DNAH7, DNAH5, CFAP70, ZBBX, ZMYND10, TTC29, CFAP53	178	48	19414	18.177902621722847	2.1229704677749872E-4	1.0603488539839984E-4	1.0491084067686204E-4
GOTERM_CC_DIRECT	GO:0036126~sperm flagellum	9	3.5294117647058822	3.703043000849125E-7	SPEF2, CFAP70, CCDC181, DNAJB13, TEKT3, MNS1, TTC29, TCP11, IQCG	189	74	20624	13.27155727155727	8.59069233215548E-5	2.1477649404924927E-5	2.0089008279606503E-5
GOTERM_CC_DIRECT	GO:0002177~manchette	6	2.3529411764705883	6.255581641573833E-7	SPAG17, SPEF2, MEIG1, CCDC181, LZTFL1, IQCG	189	19	20624	34.45948203842941	1.4511900869595973E-4	2.9025898816902587E-5	2.7149224324430437E-5
GOTERM_CC_DIRECT	GO:0005874~microtubule	15	5.88235294117647	1.8063102757447172E-6	SPAG17, DNAH11, DNAH7, DNAH5, LRRC49, DNAH6, DCDC1, TPPP3, KATNAL1, KATNAL2, KIF4A, CCDC181, DYNLRB2, NEK2, DNAL1	189	325	20624	5.036385836385836	4.1897656725986554E-4	6.984399732879572E-5	6.532822163943393E-5
GOTERM_BP_DIRECT	GO:0044782~cilium organization	6	2.3529411764705883	2.7279106465195573E-6	ARMC2, FAM161A, WDPCP, MNS1, TTC29, IQCG	178	25	19414	26.176179775280897	0.002316041040777317	7.719987129650348E-4	7.63814981025476E-4
GOTERM_BP_DIRECT	GO:0007288~sperm axoneme assembly	6	2.3529411764705883	4.935522703315835E-6	ARMC2, SPEF2, MEIG1, CFAP47, MNS1, IQCG	178	28	19414	23.37158908507223	0.004186417072412518	0.0010475646937787861	0.0010364597676963253
GOTERM_BP_DIRECT	GO:0042073~intraciliary transport	6	2.3529411764705883	1.1486979627105816E-5	IFT81, IFT172, ARL3, WDPCP, IFT57, LCA5L	178	33	19414	19.83043922369765	0.009716475788650425	0.0019504891406825677	0.0019298125773537771
GOTERM_MF_DIRECT	GO:0045505~dynein intermediate chain binding	6	2.3529411764705883	3.0059817888194686E-5	SPTBN5, DNAH11, DNAH7, DNAH5, DNAH6, DYNLRB2	183	38	18945	16.345987920621226	0.007934327199601743	0.007995911558259787	0.007725373197266034
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	14	5.490196078431373	7.775163143040983E-5	CDKL2, GUCY2C, NEK5, DAPK1, ULK4, GUCY2F, MAPK15, MYLK, STK33, MAP3K19, NEK2, CAMK2G, CDKL1, NEK11	183	378	18945	3.83424408014572	0.020394151252189352	0.010340966980244507	0.009991084638807662
GOTERM_CC_DIRECT	GO:0097224~sperm connecting piece	4	1.5686274509803921	1.1655166493611888E-4	SPATA6L, CFAP47, DNAJB13, SPATA6	189	11	20624	39.68061568061568	0.026679212635820626	0.0038628551807399405	0.003613101613019685
GOTERM_BP_DIRECT	GO:0007224~smoothened signaling pathway	7	2.7450980392156863	1.3564648134268588E-4	HHAT, IFT172, ARL3, IQUB, WDPCP, IFT57, CLUAP1	178	86	19414	8.877580350143717	0.1089077574118088	0.019193977109990053	0.018990507387976023
GOTERM_CC_DIRECT	GO:0097228~sperm principal piece	5	1.9607843137254901	2.225143552106622E-4	CATSPERD, IFT81, IFT172, EFCAB2, ENKUR	189	33	20624	16.5335898669232	0.05031893777302732	0.006452916301109204	0.006035701885089212
GOTERM_CC_DIRECT	GO:0035869~ciliary transition zone	5	1.9607843137254901	2.5039659546972903E-4	TMEM67, TMEM107, CFAP36, RPGRIP1L, CDKL1	189	34	20624	16.047307812013692	0.05644373761622157	0.006454667794330793	0.006037340135214578
GOTERM_MF_DIRECT	GO:0005524~ATP binding	30	11.76470588235294	3.655073634715529E-4	GUCY2C, ABCD2, DNAH7, DNAH5, ULK4, DNAH6, GUCY2F, MYLK, STK33, ERBB4, NEK2, CAMK2G, CDKL2, DNAH11, DAPK1, NEK5, ABCC6, MAT1A, MAPK15, NLRP10, KATNAL1, KATNAL2, KIF4A, MAP3K19, ALPK3, IDNK, TRIP13, GALK2, CDKL1, NEK11	183	1543	18945	2.0127917724679407	0.09233250016694772	0.03240831956114436	0.0313117974707297
GOTERM_CC_DIRECT	GO:0005879~axonemal microtubule	5	1.9607843137254901	3.8738182295336714E-4	TEKT3, MNS1, RPGRIP1L, CFAP53, ENKUR	189	38	20624	14.358117516012253	0.08596827212979574	0.008987258292518117	0.008406185558088067
GOTERM_BP_DIRECT	GO:0035720~intraciliary anterograde transport	4	1.5686274509803921	4.61159130993015E-4	IFT81, IFT172, IFT57, CLUAP1	178	17	19414	25.662921348314605	0.324347016616509	0.05593201460186711	0.0553390957191618
GOTERM_CC_DIRECT	GO:0030992~intraciliary transport particle B	4	1.5686274509803921	4.6134764924683893E-4	IFT81, IFT172, IFT57, CLUAP1	189	17	20624	25.67569249922191	0.10152585764464317	0.009141868053242885	0.008550798998076318
GOTERM_CC_DIRECT	GO:0032391~photoreceptor connecting cilium	5	1.9607843137254901	4.728552441332527E-4	SPTBN5, FAM161A, ARL3, RPGRIP1L, IFT57	189	40	20624	13.64021164021164	0.10392248860860365	0.009141868053242885	0.008550798998076318
GOTERM_MF_DIRECT	GO:0008569~ATP-dependent microtubule motor activity, minus-end-directed	4	1.5686274509803921	6.398896933636152E-4	DNAH11, DNAH7, DNAH5, DNAH6	183	18	18945	23.005464480874316	0.15601878790943646	0.04255266460868041	0.041112912798612275
GOTERM_CC_DIRECT	GO:0097728~9+0 motile cilium	3	1.1764705882352942	8.11750396818153E-4	DNAH11, DNAH5, ENKUR	189	5	20624	65.47301587301587	0.1717188013386497	0.014486622466293191	0.013549987393041477
GOTERM_BP_DIRECT	GO:0030185~nitric oxide transport	3	1.1764705882352942	8.117642409796735E-4	HBB, HBA2, HBA1	178	5	19414	65.44044943820224	0.49856425980213426	0.08614848007396785	0.08523524530286572
GOTERM_CC_DIRECT	GO:0097542~ciliary tip	5	1.9607843137254901	9.512665635065042E-4	IFT81, IFT172, DYNLRB2, IFT57, CLUAP1	189	48	20624	11.3668430335097	0.19812206118264242	0.015444061954923824	0.014445523466458922
GOTERM_CC_DIRECT	GO:0036064~ciliary basal body	8	3.1372549019607843	9.985384884649024E-4	FAM161A, IFT81, IFT172, CFAP70, RPGRIP1L, IFT57, MAPK15, MLF1	189	171	20624	5.10510845013769	0.20687676631908003	0.015444061954923824	0.014445523466458922
GOTERM_MF_DIRECT	GO:0004712~protein serine/threonine/tyrosine kinase activity	13	5.098039215686274	0.0011573105181398669	CDKL2, NEK5, DAPK1, ULK4, MAPK15, STK33, ERBB4, MAP3K19, ALPK3, NEK2, CAMK2G, CDKL1, NEK11	183	440	18945	3.058681073025335	0.2642499990372632	0.061568919565040924	0.059485760632389154
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	6	2.3529411764705883	0.0013319933328957412	DNAH11, DNAH7, DNAH5, KIF4A, DNAH6, DYNLRB2	178	89	19414	7.3528594874384545	0.6779179785467565	0.12551970486783937	0.12418910728973506
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	72	28.235294117647058	0.001457181160323617	CNTF, SPEF2, FRMPD2, DUSP19, TTC29, MYLK, SALL4, EFCAB2, CFAP47, NEK2, CDKL2, CCDC78, DAPK1, LRRC49, LMNTD1, RPGRIP1L, LZTFL1, MLF1, IQCG, TXLNB, KATNAL1, ESPL1, KATNAL2, IFT81, PIH1D2, WDPCP, MNS1, ZMYND10, CARD14, SKAP1, CDKL1, CERKL, SPTBN5, ARL3, TTC41P, DNAH5, CRIP3, NPAS2, CST4, CST2, STK33, CST1, ALS2CL, PPP1R7, UBD, RDH10, CCDC181, STAP1, CAMK2G, STOX1, CAP2, DNAH11, ZNF185, MAPK15, DCDC1, VEGFA, REEP1, IRAK1BP1, TPPP3, NLRP10, KIF4A, GIPC2, CFAP36, DYNLRB2, PLCH1, MYCBPAP, GALK2, CAPS, DZIP3, DNAL1, LGMN, NEK11	189	5687	20624	1.3815301397506425	0.28702760817583906	0.021129126824692444	0.019763019486889053
GOTERM_BP_DIRECT	GO:0036158~outer dynein arm assembly	4	1.5686274509803921	0.0014784417534492269	LRRC49, DNAH5, ZMYND10, DNAL1	178	25	19414	17.45078651685393	0.715665912516176	0.12551970486783937	0.12418910728973506
GOTERM_BP_DIRECT	GO:0030317~flagellated sperm motility	6	2.3529411764705883	0.0017797177413189599	DNAH11, CATSPERD, DNAH5, TEKT3, LZTFL1, ENKUR	178	95	19414	6.888468361916026	0.779995619706319	0.13736185112543609	0.1359057184279933
GOTERM_CC_DIRECT	GO:0030286~dynein complex	4	1.5686274509803921	0.001855893819110478	DNAH11, DNAH7, DNAH5, DNAH6	189	27	20624	16.16617675876935	0.3501199065467354	0.025327492119625344	0.023689938749821986
GOTERM_CC_DIRECT	GO:0005813~centrosome	14	5.490196078431373	0.0021631312468925936	CDKL2, ARL3, RPGRIP1L, ESPL1, FAM161A, KATNAL1, IFT81, TMEM67, DYNLRB2, NEK2, IFT57, CLUAP1, STOX1, NEK11	189	567	20624	2.694362793128225	0.39491722562128384	0.02788035829328232	0.02607774892087182
