Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005930~axoneme	40	4.1928721174004195	7.4844384756126E-25	CFAP61, DNAH2, CCDC103, IFT172, TULP3, DNAH9, RSPH9, AK8, DNALI1, KIF19, AKAP14, CCDC96, HYDIN, DZIP1L, CFAP46, CFAP43, BBS5, CFAP45, DNAH12, CFAP74, CFAP52, RSPH4A, DNAI2, DNAH10, DNAH17, IFT140, SPAG6, DNAAF1, CCDC113, DCDC2, LRRC43, WDR54, CFAP221, EFHC1, CCDC65, EFHC2, DRC1, CFAP54, GAS8, CCDC40	823	123	20624	8.149443341334994	4.049081215306417E-22	4.049081215306417E-22	3.8694546918917143E-22
GOTERM_CC_DIRECT	GO:0031514~motile cilium	28	2.9350104821802936	1.6867667769855916E-13	CFAP61, DNAH2, CCDC103, DNAH9, RSPH9, HIF1A, AK7, DNALI1, IFT52, NPHP1, TEKT1, TEKT2, ROPN1L, LOC442028, SPA17, RSPH4A, DNAH17, IFT122, IQCD, RSPH1, RSPH14, DYDC1, CCDC65, DRC1, IFT46, TTLL9, GAS8, CFAP99	823	120	20624	5.847225597407857	9.123579669534365E-11	4.5627041317460254E-11	4.360292118507754E-11
GOTERM_BP_DIRECT	GO:0060271~cilium assembly	38	3.9832285115303985	2.0199913025552822E-13	UNC119B, IFT172, ASAP1, SNX10, IFT52, WDR90, TCTN2, TEKT1, TCTN1, TEKT2, CCDC96, DZIP1L, LOC442028, CFAP43, CC2D2A, BBS5, CFAP52, RSPH4A, DNAI2, IFT140, DNAAF1, CCDC113, ARMC9, SCLT1, DCDC2, IFT122, RABL2B, NME5, WDR54, TMEM231, IFT22, CFAP221, TMEM17, UBXN10, CCDC65, CEP41, IFT46, CFAP54	761	229	19414	4.23329450447297	6.854168344005984E-10	6.853830489570072E-10	6.76495087225764E-10
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	114	11.949685534591195	2.0275194219456028E-12	TUSC3, GPR65, SLC23A1, IL1RAP, SLC8A1, MILR1, CYSLTR1, CLEC5A, PLXNC1, SLC12A6, SLC39A2, PCDHAC2, PCDHAC1, CMKLR1, PDGFRB, ENTPD1, KCNH7, CYBB, PCDHA13, ATP11A, PCDHA12, PCDHA11, PCDHA10, EREG, APLNR, COL17A1, CSF1R, SLC22A3, SLC26A2, IGSF6, PCDH10, SLC1A3, CACNA1C, HRH1, PCDHA1, PCDHA5, PCDHA4, PCDHA3, PCDHA2, PCDHA9, PCDHA8, CLCA4, SLC38A5, PCDHA7, PCDHA6, ABCA1, CCR1, MSR1, CD163, HTR1B, TRPV3, SLC16A10, CALHM3, SELE, PTPRD, PTPRC, SELL, LPAR6, REEP2, TNFSF8, SLC40A1, PTPRJ, ADGRE2, FCGR3A, CLEC1A, FCGR3B, GRM7, HS3ST3B1, TMPRSS11A, TMPRSS11B, CR1, FCER1G, MME, IFNGR1, TMPRSS11E, ADRA2C, TMPRSS11F, ADRA2A, TMPRSS11D, TLR1, CEACAM1, PLSCR1, PECAM1, CDHR4, TLR10, TLR6, TLR4, HBEGF, TLR2, CX3CR1, SLC24A4, MOSPD2, NRXN3, ADCY7, CNR1, PRRG1, CXCR2, FCGR1A, GABRQ, NTRK2, SEMA4D, IL10RA, KCNJ15, GPR50, LILRB2, ATP2B1, MERTK, TSPAN16, P2RX7, FCGR2A, CLEC2B, EVI2B, FCGR2C, ADGRL2	823	1438	20624	1.9866393347044382	1.0968717045756193E-9	3.656293357575237E-10	3.4940918038195887E-10
GOTERM_CC_DIRECT	GO:0005929~cilium	36	3.7735849056603774	3.9781192183970035E-11	FANK1, UNC119B, STOML3, IFT172, TULP3, CFAP126, DNALI1, IFT52, KIF19, NPHP1, DZIP1L, ROPN1L, SPA17, DNAI1, DNAH12, IFT140, ODF2, MOK, DAW1, DCDC2, IFT122, TTC21A, DLEC1, NME5, TBX3, ACE2, TTLL6, IFT22, CFAP221, SNTN, UBXN10, CEP41, IFT46, TTLL9, GAS8, CCDC40	823	242	20624	3.7278651978751394	2.1521617266095916E-8	5.3804062428819475E-9	5.141719089778127E-9
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	49	5.136268343815513	5.660257915628212E-11	CXCL6, ECM1, IL1RAP, PIK3CG, POLB, ADGRE2, IL18RAP, CASP4, NFKBIZ, BLNK, HAVCR2, CMKLR1, GBP5, CYBB, TLR1, AIM2, TLR8, TLR10, TLR7, TLR6, TLR4, S100A8, NAIP, CHST2, TLR2, CX3CR1, CSF1R, PXK, ALOX15, LY96, FPR3, NLRC4, AIF1, HRH1, CCL7, CLEC7A, CXCR2, SPP1, S100A12, CCL2, TAC1, CCR1, CARD8, SELE, P2RX7, VNN1, REL, HPSE, IL18R1	761	428	19414	2.9206712761123463	1.9210924495638437E-7	9.602627553863261E-8	9.478101879719441E-8
GOTERM_CC_DIRECT	GO:0097729~9+2 motile cilium	12	1.257861635220126	9.236881657408033E-11	DNAH12, CFAP221, CFAP52, DNAH10, CETN2, DNAH9, RSPH9, CFAP43, DNAI1, AK8, DNALI1, CFAP45	823	21	20624	14.319736156917202	4.9971508375712403E-8	9.994305953315491E-9	9.550935633759906E-9
GOTERM_CC_DIRECT	GO:0036064~ciliary basal body	29	3.039832285115304	1.9446360257037783E-10	FANK1, C11ORF97, CETN2, IFT172, CFAP126, IFT52, CCDC96, DZIP1L, BBS5, GAS2L2, IFT140, ODF2, CCDC113, ARMC9, IFT122, RABL2B, IQCD, MAPK15, TOPORS, TTLL6, AGBL2, CCDC170, CCDC65, CEP41, EFHC2, IFT46, SAXO2, TTLL9, GAS8	823	171	20624	4.2498632161611	1.0520477844444542E-7	1.7534134831762402E-8	1.6756280421480893E-8
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	293	30.712788259958074	2.5122327607276733E-10	ITSN2, CPNE8, SPARC, TTLL10, SLC23A1, ANTXR2, MILR1, ENDOU, STS, RASSF3, CAPNS2, MS4A14, SLC12A6, CMKLR1, ARL11, ENTPD1, UNC5A, ACTN2, ACSL1, PRKCB, DNAAF1, MCEMP1, EREG, ACE2, ARC, BIN2, PSG4, ANOS1, SKAP2, SLC22A3, IGSF6, PCDH10, FPR3, GNG10, PCDHA1, MICAL1, EPB41L3, PLCG2, PCDHA5, S100A12, PCDHA4, SLAMF7, PCDHA3, PCDHA2, PCDHA9, RHBDL2, PCDHA8, PAG1, PCDHA7, PCDHA6, ABCA1, CCR1, LYN, MSR1, PTK6, RAB27B, SLC16A10, VNN1, PARVG, VNN2, LPAR6, TNFSF8, RGL4, XKR3, ITM2B, SECTM1, PTPRJ, HIF3A, PCSK6, MS4A4A, SLC22A14, GLIPR1, DNER, JAK3, RAB8B, GPR135, VAV3, FCER1G, SYK, MME, SLC32A1, IFNGR1, IZUMO1, F5, APBB1IP, TLR1, MS4A6A, CEACAM1, PLSCR1, CEACAM7, CEACAM6, TLR8, TLR7, CLDN17, TLR10, CD48, TLR6, RAPGEF6, TLR4, GAS8, HBEGF, TLR2, GNAI3, ADCY7, STX11, LILRA5, CXCR2, GPR156, DUOX2, GABRQ, MPP1, P2RY13, GCA, IL10RA, GPR50, LILRB1, LILRB2, SORBS1, LILRB4, GPR141, SNX18, TAOK3, STK17B, LPCAT2, FAS, IL18R1, ADGRL2, RAB3B, CD86, STEAP4, ITPRIP, SIRPD, TUSC3, GPR65, ARID4A, IL5RA, IL1RAP, SLC8A1, CYSLTR1, RGS2, BEST4, IL18RAP, HEPHL1, CLEC5A, DUOXA2, LAMP2, PIM1, PLXNC1, TGM5, SLC39A2, PCDHAC2, PCDHAC1, PDGFRB, PPP1R16B, KCNH7, SPNS2, DIO1, TTC7B, CYBB, ATP11A, PCDHA13, OLFM4, PCDHA12, PCDHA11, GEM, PCDHA10, DOK3, CLEC4D, SLC9A7, APLNR, CD300E, SLC27A2, S100A8, DSC2, DSC3, COL17A1, CSF1R, PXK, KCNE1, SLC26A2, ALOX15, LY96, ITPR2, SLC1A3, LPL, SLC41A1, ALOX12, RASAL1, CACNA1C, CACNA1I, SDCBP, HRH1, CLEC7A, CD300LF, MPDZ, GAS2L2, SLC38A5, CLCA4, MFAP3L, PRPH, CD163, MGAM, MLKL, HSPA7, HSPA6, TRPV3, HTR1B, SELE, PTPRD, PTPRE, SDK1, DAB2, PTPRC, SELL, REEP2, CNTN3, TGFBI, IL7R, PICALM, OSCP1, CPM, LRRK2, MS4A8, DOCK8, MS4A7, SLC40A1, ARRB2, PIK3CG, RND1, TNFSF13B, ADGRE2, FCGR3A, CLEC1A, FCGR3B, HEPH, GRM7, PSTPIP2, RASGEF1B, CASP4, BLNK, CASP1, CNGA4, HS3ST3B1, TMPRSS11A, TMPRSS11B, PPP1R12A, CR1, MMP2, ADRA2C, TMPRSS11E, TMPRSS11F, ADRA2A, TMPRSS11D, CDHR3, PECAM1, CDHR4, DSG3, LCP1, DOCK2, HCN4, RGS18, CX3CR1, STOML3, SLC24A4, USP15, ROCK1, MOSPD2, NRXN3, TULP3, NLRC4, SH3TC2, CNR1, PRRG1, FCHO2, FCGR1A, GBP1, NTRK2, SEMA4D, KCNJ15, KCNJ16, ATP2B1, MERTK, MCOLN2, P2RX7, SLC4A8, MARCKS, FCGR2A, CLEC2B, APC, ATP13A4, PIK3AP1, EVI2B, FCGR2C	823	5333	20624	1.3767944336132185	1.3591177683291988E-7	1.941597033648102E-8	1.8554633389945817E-8
GOTERM_CC_DIRECT	GO:0005576~extracellular region	139	14.570230607966456	2.300187103665675E-8	ADAMDEC1, SPARC, SIRPD, HP, IL1RAP, ANTXR2, IFI30, ENDOU, LIPN, LIPM, ROPN1L, SPA17, RPTN, POSTN, IGFBP5, ACTN2, DNAAF2, HGF, SERPINF1, DNAAF1, RNASE6, EPDR1, OLFM4, MPEG1, PCDHA10, EREG, ACE2, BIN2, CRISPLD2, PSG4, ANOS1, PLBD1, S100A8, DSC3, COL17A1, LY96, LPL, PLA2G7, SCUBE2, SDCBP, PCDHA1, S100A12, A2M, TAC1, CLCA4, PCDHA6, CD163, HSPA6, INHBB, A2ML1, ARPC5, HRNR, BPIFB1, SCCPDH, VNN1, GDNF, VNN2, CELF2-AS1, PIP, LCN1, CNTN3, HPSE, TGFBI, IL7R, ITM2B, ARHGAP9, CPM, CXCL6, ECM1, TINAGL1, CRISP3, PZP, CTSV, PCSK6, TNFSF13B, NGRN, FCGR3B, PRB1, GM2A, ADAMTS1, ADAMTSL4, CASP4, TPSAB1, CFAP43, CFAP45, TMPRSS11A, ARG1, MMP2, NME5, TMPRSS11E, TMPRSS11F, CES4A, F5, TMPRSS11D, VCAN, CFAP221, CEACAM7, COL6A1, TFF3, COL6A6, DOCK2, CFAP54, GAS8, HBEGF, CCDC40, COL15A1, ASAH1, ROCK1, CCDC103, FGL2, TULP3, DNAH9, AOAH, DPCD, LILRA5, CHSY1, CCL7, ALOX5, PRRG1, SPP1, CCL2, GBP1, DNAI1, GCA, SPAG6, DAW1, VWA3A, LILRB1, TUBB4B, MAPK15, SEMG2, GLB1L, CAPZA1, QPCT, CAPZA2, MFAP2, NEK10, HCG22, MNDA	823	2184	20624	1.5949065110669	1.2443934968020542E-5	1.5555015288539126E-6	1.4864959157439425E-6
