Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0060271~cilium assembly	122	2.1665778724915645	2.693389867959441E-22	CEP126, TRAF3IP1, IFT172, CEP19, CDC14A, TBC1D31, WDR90, TEKT1, DZIP1L, TEKT2, CCDC96, TEKT3, NEK1, CEP250, TEKT4, LOC442028, DYNC2H1, DNAAF1, CEP131, ARMC9, RFX2, RFX3, IFT80, IFT88, FAM161A, IFT81, TMEM138, WDPCP, GMNC, ALPK1, UNC119B, NOTCH1, INTU, ARL6, ARL3, FBF1, TTBK2, KIF3B, STK36, KIF3A, TTC21B, BBS2, PLK4, BBS1, CFAP70, DCDC2, RABL2B, IFT122, FUZ, PARVA, FHDC1, WDR54, TMEM231, IFT20, EHD1, IFT22, EHD3, TMEM17, EHD4, TMEM237, UBXN10, MKS1, IFT27, CEP83, DZIP1, CEP89, SPAG16, CBY1, SNX10, IFT52, TCTN2, TMEM107, TCTN1, IQUB, CFAP47, BBS9, IFT57, CFAP43, BBS5, CC2D2A, BBS4, CFAP44, ACTR3, IQCB1, ACTR2, CFAP52, DNAI2, IFT140, CCDC113, KIF24, NME5, DYNLL1, WDR35, CFAP221, IFT43, RP2, CFAP58, EXOC4, IFT46, CFAP54, CFAP53, DNAH5, ASAP1, IFT74, ABLIM3, TMEM67, KIAA0753, POC1A, FLNA, CFAP20, RSPH4A, GSN, CCDC57, WDR19, SCLT1, FOXJ1, HYLS1, B9D1, CCDC65, B9D2, CEP41, CLUAP1	4549	229	19414	2.27364908646365	2.294498828514648E-18	2.294498828514648E-18	2.2613701331387464E-18
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	186	3.303143313798615	3.1151452580697525E-20	IL1RN, TRAF3IP2, PARK7, IL1RAP, CXCL13, NDST1, RPS6KA5, IL36A, IL18RAP, TBK1, ZC3H12A, CCRL2, C3AR1, PROK2, PTGDR, CMKLR1, GBP5, TICAM2, SPINK7, SLC11A1, WNT5A, CD180, CYBB, TICAM1, IL23A, ADAM8, PRKD1, S100A9, NAIP, S100A8, EPHA2, PTGFR, CSF1R, PXK, CUL3, C5AR2, C5AR1, ALOX15, FPR1, LY96, FPR3, FPR2, MEFV, AGER, HRH1, SCUBE1, FUT7, CLEC7A, IRAK2, HRH4, NLRP2, S100A12, RIPK1, NLRP1, NDP, CD14, TAC1, CCR1, IL36G, AZU1, PPBP, SELE, NFKB1, NFKB2, BMP2, MIR223, VNN1, BCL6, ACER3, REL, SDC1, TAB2, HPSE, MYD88, NFE2L2, SCYL3, CXCL6, ECM1, CXCL8, TNFAIP6, ITGB2, PIK3CD, TNFAIP3, ADM, TCIRG1, ITGAL, CXCL3, PIK3CG, LTB4R, CXCL5, POLB, IKBKB, ADGRE2, CYP26B1, PSTPIP1, MMP25, NKIRAS2, CASP4, NFKBIZ, STAB1, BLNK, FFAR4, OLR1, IKBKG, CCR5, PF4V1, CCR3, CCR2, HAVCR2, KDM6B, PTGIR, CHUK, RIPK2, NFAM1, SPHK1, PLA2G4B, FOS, TNFRSF1B, PJA2, IL17RA, TNFRSF1A, TLR1, IL1A, HCK, GAL, AIM2, ELF3, NFX1, IL1B, XCL2, CHST1, CHI3L1, TLR8, TLR7, TLR10, TLR6, CHST4, TLR5, TLR4, CHST2, TLR2, HDAC4, PTGER4, CCL14, CX3CR1, CEBPB, PTGER1, PTGER2, PTAFR, NLRC4, PTGS2, AIF1, RELA, RELB, IL1RL2, CCL8, IFI16, CCL7, CCL5, CXCR2, SPP1, CCL2, S1PR3, CCL18, CCL15, AOC3, CCL25, CCL23, NOS2, IL10RB, CCL20, CARD8, STAT3, P2RX7, ITCH, CD40LG, THEMIS2, NLRP10, TNIP3, PLP1, PTX3, FCGR2B, IL17C, IL18R1, PF4, CCL26	4549	428	19414	1.854676903417204	2.6537922453496223E-16	1.3268961226748112E-16	1.3077379793376822E-16
GOTERM_BP_DIRECT	GO:0007165~signal transduction	422	7.494228378618363	1.4719846277609243E-15	CNTF, GMFG, ENDOU, SYNGAP1, PPP4R1, DPYSL2, AKT3, NAMPT, PGLYRP1, PRKCH, CSNK2A1, PRKCB, FNBP1, DAPK1, STARD8, PRKCD, GTPBP1, ADCY9, ZFYVE16, PRKD1, CLOCK, ATF6, SKAP2, CDC42SE1, FPR1, FPR3, IQGAP1, IQGAP2, HIF1A, PIP5K1A, RHBDL1, LYN, CREBBP, BRAF, NOSTRIN, TNFSF9, CHRFAM7A, TNFSF8, GABRB3, GPR27, ARHGAP9, GABRB2, ADM, SHB, ARHGAP5, ARHGAP4, SMPD1, TCP11L2, TIMP1, JAK2, RIPK3, IFNGR1, RIPK2, NFAM1, ITPK1, APBB1IP, CD200R1, GPRC5A, CDC42EP3, ITPKA, RARA, RAPGEF1, HCLS1, RAPGEF3, HBEGF, GRN, LRRC18, NR1I2, WNT8B, OR1M1, TANK, GPNMB, SNX27, RASSF10, CHN2, CHRNE, NTF3, SPP1, STAT6, STX2, CCL18, IL12RB1, CCL15, CASP8AP2, CCL23, CCL20, CSNK1A1, IL10RB, STAT2, STAT3, GPR141, MKLN1, ZYX, PKN2, SIGLEC8, CCL26, CSF3R, FAM13A, SLA, IL5RA, IRS2, FGF1, METRNL, OLFML2A, FGF2, CXCL16, HPGDS, CLEC5A, GRB10, TNFRSF8, MAP3K6, TCP11, CDKL2, MAP2K4, TLE3, IGFBP5, IGFBP2, MAGI2, VRK1, OLFM4, MOB3B, MOB3A, TOM1L1, TOM1L2, MAPKAPK3, NSMAF, CSF1R, CREM, ITPR2, RASAL1, TNFRSF11A, CORO1C, RAP1B, ABL2, SRGAP3, SRGAP1, MCC, BMX, TNFRSF10D, NFKB2, STK24, SCGB3A1, MYD88, LMBR1L, LRRK2, RASGRF1, LRRK1, PIK3CD, ARRB1, ARRB2, LSP1, ITGAL, DUSP15, TNFSF13B, NRGN, PSTPIP1, CLEC1A, TAGAP, NCK2, PRKG1, PPP1R12A, KSR1, NRG2, TNFRSF1A, PECAM1, XCL2, CRK, ROCK1, CDNF, SRI, IL2RG, CCL8, SH3BP1, CCL7, SH3BP2, SH3BP5, CCL2, FCGR1A, SH2B3, P2RX6, P2RX1, FCGR2B, RHEBL1, IL1RN, CALML5, CRKL, RPS6KA3, RPS6KA6, EDNRA, RASSF2, RASSF3, RPS6KA2, RASSF5, RASSF6, SOX9, KIFAP3, CSNK1D, CSNK1E, INPP4A, IL23A, PSG4, ARHGAP19-SLIT1, ULK2, RIN3, PTGES, GRB7, PDE1B, KALRN, TTBK2, GNG10, MICAL1, INPP5D, TP53BP2, PAG1, TNFSF14, TCP11X2, LRRN2, RASSF9, PILRA, IGF1, OSGIN2, BST1, TG, GKAP1, ARTN, GNRH1, GRB2, BEX5, PTPRT, NRP1, TENM1, ECM1, TENM4, DIRAS1, SECTM1, VLDLR, GABRR2, GABRR1, AKAP10, SUFU, RAC2, CD38, CLIC2, CCR5, CD33, CAP1, IL10, PSD, ANKDD1B, CD53, ANKDD1A, GAB1, GAB3, IL16, RHOF, GAB2, CEACAM3, RAP2C, TLR1, CEACAM1, RAP2A, RAP2B, CEACAM7, CEACAM6, IL1B, CEACAM4, TLR6, RHOQ, TLR2, GUCY2C, CAB39, PRKX, LILRA2, GUCY2F, GNAI2, CXCR2, SHOC2, APBB1, GABRE, PAK2, MPZL1, CAP2, MPP1, GABRQ, GDF15, PTGES3, MOK, LILRB1, LILRB2, NLRP12, RIT1, TRIP10, FAS, SIPA1, IL18R1, RTKN, ARHGAP39, NR3C1, PLAU, RGS1, CAPN5, FAM3D, OSTF1, PDE8B, PDGFRB, CHRNB2, IL4R, GEM, DOK1, TYROBP, RAF1, CHRNA7, NPR2, C5AR1, NPR3, ARHGAP19, DAPP1, CSF2RB, ARHGAP17, NDRG2, ARHGAP15, STK4, RASGRP2, SCUBE2, SCUBE3, CACNA1I, ARHGAP20, SCUBE1, GRK4, NPHP1, GRK6, RHPN1, LPXN, NPHP4, RHPN2, FAM83C, FAM83B, FAM83A, ARHGAP27, ARHGAP26, ARHGAP25, IGF2R, ARHGAP24, NR4A2, ARHGAP33, NR4A1, ARHGAP32, ARHGAP30, FGF14, BMP1, GDNF, DLG4, GNB1, GNB4, RADIL, IL7R, YWHAE, CXCL6, GSK3B, CXCL8, TNFAIP6, YWHAB, CGB7, PDE3B, RND2, RND3, SIRPB1, CXCL5, PITPNC1, RND1, PDE4B, CASP1, YWHAG, PDE4C, ARAP2, PPP2R5A, ARAP3, OXSR1, IRAK4, YWHAZ, DNM2, ARHGAP10, HSH2D, CREB1, VGF, RASA4, RASA1, RASA2, PDE5A, ITGB1BP2, IL9R, ITGB3BP, DTHD1, CAMK2B, STOML3, RALA, RALB, CLEC12A, NRXN3, CBL, DLL4, GNA13, GNA14, IL1RL2, PDE11A, RASD1, MAPK7, ERBB3, ERBB4, PTK2B, MAPK1, PDE6B, PDE6A, MAPK6, CMTM3, MAPK14, OPN1SW, KRAS, CMTM1, CMTM2, CKLF, CSNK1A1L	4549	1283	19414	1.4037342065706286	1.2295386930816221E-11	4.179945681298438E-12	4.1195943115602395E-12
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	204	3.6228023441662227	2.2204313786664425E-14	MAML1, GMFG, ULK4, TESK2, MYLK, RABGEF1, RPS6KA6, EDNRA, RPS6KA5, PPP4R1, TBK1, CHEK1, AKT3, CDK20, PDK4, SOX9, EPHB2, PRKACA, EPHB3, PDK1, CDON, PRKCH, CSNK2A1, DAPK1, PRKCB, PRKCD, CSNK1D, CSNK1E, PASK, BTK, SIK1, ALPK3, PRKD2, TRIB3, PRKD1, ANKK1, ALPK1, EPHA2, EPHA10, PRKDC, TXK, KALRN, NUAK2, STK38L, ST3GAL1, SRPK2, LYN, PLK4, CDK19, PLK2, EIF2AK2, PTK6, BRAF, SRPK1, MEX3B, WNK3, CDK13, CDK14, SMG1, PRKAG2, AATK, IKBKB, JAK2, JAK3, JAK1, MAP4K2, BRD2, EDN1, SYK, RIPK2, TEX14, PAX6, TYK2, GAK, HCK, RARA, STK40, GUCY2C, RNASEL, GUCY2F, CAMKK1, CAMKK2, PAK1, PAK2, MAP4K4, MAP3K2, MAP3K1, RIOK3, CSNK1A1, MOK, TAOK3, STK17A, STK17B, TAOK1, NEK10, PKN2, NEK11, CCNT2, CSF2, MYLK3, STK10, NRBP2, SLK, PIM1, NEK1, NEK2, MAP3K8, MAP3K9, MAP3K6, MAP3K5, CDKL2, CDKL3, MAP2K4, MORC3, CDKL5, WNT5A, ADAM10, LMTK2, VRK1, NRBP1, ERN1, RAF1, TSSK2, CDKL1, NPR2, CSF2RB, STK4, CSF2RA, STK35, GRK5, STK36, IRAK2, GRK4, STK38, GRK6, ABL2, NDP, MARK3, MARK2, NEK4, MLKL, NEK5, NEK7, BMX, CLK3, BMP2, PAN3, STK24, FES, STK26, MAP3K19, CDK1, COPS8, MAP3K11, SCYL3, GSK3B, DYRK3, LRRK2, LRRK1, PIK3CD, PIK3CG, GRM5, RB1CC1, SPEG, SCYL2, PRKG1, CHUK, KSR1, IRAK3, OXSR1, IRAK4, YWHAZ, TGFBR2, FGR, CREB1, LATS2, BMP2K, CAMK2B, CAMK2D, ROCK1, TTN, ACVR1C, ERBB3, MKNK1, PTK2B, CCL2, MAPK1, CSK, MAPK6, BUB1, CAMK2G, MAPK3, NTRK1, CDK11A, TAF12, TAF13, LIMK2, MERTK, CDC42BPA, P2RX7, SNRK, TEC, TAF8, TAF7	4549	536	19414	1.624293349694701	1.8915979893563417E-10	4.728963728714856E-11	4.660685463820863E-11
GOTERM_BP_DIRECT	GO:0030036~actin cytoskeleton organization	92	1.6338128218788848	8.262969880083219E-14	TESK2, FHL3, ARHGEF10L, RND3, AMOT, CAPZB, POF1B, PHACTR3, RAC2, PHACTR2, PHACTR1, PRKG1, PHACTR4, ARHGEF11, CAP1, GAS2L3, ACTN2, STARD8, TMOD3, ACTN1, RHOG, ARHGEF18, SPTB, ADRA2A, MTSS1, TYROBP, INF2, CLDN3, PIK3CA, DAAM2, EHBP1L1, SPECC1L, ITPKA, FSCN1, ELMO1, DOCK2, SMTNL2, CRK, PFN2, SPTBN5, TNXB, ROCK1, EPB41, KLHL17, PDGFA, CORO1A, PRICKLE4, FGD2, CORO1C, FGD3, FGD4, SDCBP, FGD5, FGD6, PDLIM2, NUAK2, DNAJB6, ABLIM3, NPHP1, PACSIN2, FLNA, INPP5K, DMD, NPHP4, FLNC, PDLIM5, PDLIM7, SH2B2, SPTBN2, SPECC1, VASP, IQSEC1, LIMK2, FOXJ1, ARPC5, CDC42BPA, ARHGAP26, SSH2, SSH1, TJP1, DIAPH1, SMTN, DIAPH3, BCL6, CAPZA1, TRPV4, CAPZA2, TRIP10, SPIRE1, KRAS, AMOTL2, AMOTL1	4549	189	19414	2.077423842207311	7.036744520405591E-10	1.407844808168579E-10	1.3875179022635743E-10
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	170	3.019001953471852	4.854616294545773E-11	DGKG, TRAF3IP2, DGKB, CRKL, RPS6KA3, NRBP2, PREX1, DEPTOR, RPS6KA5, RASSF3, RPS6KA2, RASSF5, AKT3, CHEK1, STK32C, WSB1, PRKCH, WSB2, IGFBP5, DAPK1, PRKCB, ACOT11, PRKCD, PASK, SDCBP2, NRBP1, ADCY9, TYROBP, MAPKAPK3, BTK, PRKD2, SIK1, PRKD1, RAF1, TSSK2, NOTCH2, ANP32A, NPR2, TGFA, RASAL1, PSEN1, STK4, KALRN, SOCS3, SDCBP, NUAK2, IRAK2, INPP5D, STK38, PLCG2, DVL3, HMOX1, STK38L, PLCG1, DRD2, MARK3, PDZD8, PAG1, MARK2, SRPK2, LYN, DCDC2, DCLK2, BRAF, NFATC1, BMX, DCDC1, SRPK1, WNK3, PLEKHM1, PLXNB1, RGL2, YWHAE, GSK3B, DDX3X, CXCL8, CAB39L, MAST3, LRRK2, LRRK1, PRKAG2, TREM1, AKAP13, BLNK, JAK2, JAK3, JAK1, VAV3, MAP4K2, RASA4B, KSR1, SYK, NFAM1, SPHK1, IRAK3, NRG2, TYK2, IRAK4, OXSR1, GMIP, MASTL, VAV1, LAT2, HCK, CD200R1, RP1, LATS2, PLCB4, RASA4, RASA1, RASA2, RAPGEF2, HCLS1, LCP2, MYZAP, ARHGEF2, GCOM1, GUCY2C, CAB39, RGS14, ROCK1, TUFT1, NLRC5, NLRC3, NOD2, ADCY7, CAMKK1, ADCY5, PAK1, MAPK7, CHN2, MKNK1, DCDC2B, SH3BP5, MAPK1, MAPK6, GPR155, SH2B3, PAK2, SH2B2, MAPK3, MAP4K4, MAP3K2, MAP3K3, PNPLA8, PLCL1, PLCL2, MOK, STAC3, CDC42BPA, MAPK14, MAPK15, MAPK13, RP1L1, SNRK, PIKFYVE, TEC, TAOK3, STK17A, STK17B, ASB8, TAOK1, ASB9, PTPN6, PKN2, PLCD3, CAPS, SIPA1, ASB1, NEK11	4549	459	19414	1.5806485755925195	4.135647119207775E-7	6.89274603553924E-8	6.793226401501052E-8
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	86	1.527259811756349	7.120105518359777E-11	CD86, CXCL6, CSF2, CXCL8, SERPINE1, TNFAIP3, CXCL13, CXCL3, LITAF, FCAR, CDC73, CXCL5, IL36A, EDNRB, MRC1, ZC3H12A, NFKBIZ, PDE4B, CASP1, SIRPA, HMGCS2, EPHB2, JAK2, CCR5, B2M, CAMP, PF4V1, HAVCR2, IL10, GBP5, MEF2C, TICAM2, ARG1, WNT5A, CD180, ARID5A, MIR21, TICAM1, TNFRSF1B, IL1A, IL1B, RARA, IRF8, CARD16, TLR5, TLR4, PPARD, CX3CR1, CEBPB, CTR9, LY96, BCL10, NOD2, PPM1E, GATA1, NUGGC, RELA, EFNB2, SBNO2, CCL2, STAP1, CD14, DEFA1B, GBP2, ABCA1, CDK19, NOS2, DEFA4, DEFA3, IL36G, LILRB1, DEFA1, LILRB2, AZU1, PPBP, NR1D1, MAPK14, NFKB1, MIR224, MIR223, TNIP3, PDCD4, VIM, CD68, MYD88, PF4	4549	190	19414	1.9317189434346473	6.065615189010387E-7	8.665168415843848E-8	8.540057990306954E-8
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	199	3.5340081690641094	1.1660569094005076E-10	ICAM2, ICAM3, CLDN1, ICAM1, SCN1B, HABP2, CDON, ENTPD1, ACTN2, CLDN5, AZGP1, CFDP1, CLDN3, ANOS1, MXRA8, PRKD2, TLN1, GNE, EPHA2, PCDH10, CD99L2, PCDH12, FPR2, PCDHA1, FLRT1, CHST10, PCDHA5, PCDHA4, SLAMF7, PCDHA3, PCDHA2, PCDHA9, PCDHA8, PCDHA7, PCDHA6, SLAMF1, CCR1, CDSN, SIGLEC14, JUP, LRRN2, FN1, PARVA, GP5, FERMT1, PPFIBP1, PARVG, FAT1, PCDHB6, PCDHB9, PTPRT, ROBO2, SRPX, COL18A1, SIGLEC9, SLC7A11, ARHGAP5, CLDN22, CLDN25, STAB1, CLDN23, CCR3, CD33, MYBPC3, GP1BB, IZUMO1, GP1BA, MTSS1, HCK, CEACAM1, CLDN14, PXDN, CLDN18, CLDN17, CLDN16, CHST4, DSCAML1, ARF6, ENG, SELPLG, TNXB, AMIGO2, ADAM22, NEXN, PRKX, RELN, GPNMB, SPP1, MPZL3, FARP2, LMLN, AOC3, MYBPH, PCDHB15, PCDHB14, PCDHB13, PCDHB12, PCDHB10, SLURP1, THEMIS2, PCDHB16, PKN2, SIGLEC8, SIGLEC7, SIGLEC5, SEMA5A, PCDHB18P, COL16A1, CSF3R, CIB1, COMP, MAEA, SIRPA, SVEP1, PLXNC1, PCDHAC2, CD177, PCDHAC1, POSTN, CD300A, PCDHA13, OLFM4, PCDHA12, ATP1B1, PCDHA11, PCDHA10, CLEC4A, ADAM17, SPECC1L, COL4A6, LY6D, DSC2, DSC3, FBLN7, PSEN1, AGER, NID2, DPP4, EFNB2, ABL2, LPXN, IGFBP7, COL28A1, BMX, SELE, PTPRD, SELL, FES, PRPH2, CASS4, CNTN3, TGFBI, ITGB1, ITGAM, LDB1, TNFAIP6, ITGB2, LAMC2, ITGAL, RND3, ADGRE2, PSTPIP1, ITGAX, EMILIN2, ITGB8, FLOT2, PGM5, DGCR6, EDIL3, SCARF1, EGFL6, ITGA2, VCAN, COL6A1, MMRN2, ITGA7, COL6A3, CDHR4, SPACA4, COL6A6, ITGA5, ITGB3BP, ITGA9, NLGN3, CX3CR1, LAMA2, LAMA4, THBS3, CCL2, HES1, PCDH1, CTNNAL1, SEMA4D, PCDH9, TPBG, LAMB4, LAMB1, APC, COL7A1	4549	563	19414	1.5084946352857205	9.933636785364186E-7	1.2417048513978655E-7	1.2237767264158327E-7
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	211	3.7471141893091815	7.166241021874971E-10	ARL6IP1, NUDT2, TP53AIP1, RPS6KA3, EVA1A, RASSF5, CHEK1, ZC3H12A, RASSF6, TNS4, MEF2C, UNC5A, CSNK2A1, DAPK1, PRKCB, PRKCD, RRAGC, CDIP1, PRKD1, NAIP, PDE1B, BCL10, NUAK2, CHST11, INPP5D, RAD21, EPB41L3, CD14, GSDMA, TNFSF14, DDIAS, TPX2, TP73, HRK, CSRNP1, RARG, HIP1, SH3KBP1, HIF3A, CTSV, PTPRH, SHB, CTSS, ADAMTSL4, RFK, PEA15, KIF1B, IKBKG, JAK2, RNF152, PARP1, RIPK2, EMP1, SERPINB9, EMP3, DYNLL1, RNF144B, IL1A, PLSCR1, CEACAM6, CEACAM5, IL1B, FATE1, PPARD, TLR2, ASAH2, PRUNE2, PPP2CA, PAK1, PLAGL1, MFN2, APBB1, BID, RNF130, MEF2D, PAK2, RELT, DEDD, EGLN3, CDKN2A, CARD8, CARD6, NLRP12, ITCH, RYBP, STK17A, STK17B, FAS, PKN2, STEAP3, RTKN, ZFAND6, GPR65, UBE2D3, PDCD5, BUB1B, CIB1, AHR, NR3C1, COMP, SLK, PIM1, EP300, MAP3K9, PHLDA1, ZBP1, SH3GLB1, MAP2K4, AREL1, ELMO1, MAL, RAF1, S100A9, CARD14, S100A8, FAIM, NOTCH2, RTN3, PSEN1, STK4, FOXO3, FOXO1, RTN4, ZFP36L1, BCL2L11, GRK5, ZMAT3, NLRP2, PMAIP1, RIPK1, NLRP1, MCL1, UBE2B, TNFRSF9, ZBTB16, BMX, NFKB1, TNFRSF10D, GULP1, NR4A1, DAB2, STK26, LCN2, CDK1, MYD88, PLEKHF1, CGB7, ITGB2, PTEN, SLC40A1, SIX1, TNFAIP3, TCIRG1, NR2E1, TNFAIP1, CASP9, CASP8, CASP5, CASP3, CASP4, MYO18A, CASP1, CASP2, TRIM69, IFT57, NKX3-1, SRGN, PEG3, APAF1, AKTIP, TNFRSF19, NGB, TRAF1, MMP9, TGFBR2, TNFRSF1A, ALDH1A3, AIM2, ESPL1, NOA1, IRF1, CHI3L1, BIRC7, BIRC2, ITGB3BP, BIRC3, RALB, BCL2A1, ROCK1, NLRC4, TP53INP1, BNIP1, PTK2B, BNIP2, MAPK1, RFFL, SMNDC1, BUB1, MAPK3, CDK11A, FEM1B, BNIP3, CFLAR, MAPK14, SOD1, MARCKS, TRIM39, P2RX1, PDCD4, PMP22, BNIPL	4549	616	19414	1.4618433336283414	6.104902018910785E-6	6.783245251705875E-7	6.685306624406917E-7
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	376	6.67732196767892	1.0845280317122104E-9	RB1, SPI1, MAML1, ZNF292, FOXI1, BACH1, SOX2, RPS6KA3, RPS6KA5, TBK1, ZNF606, ZMIZ1, GPBP1, CREB3L2, ZC3H12A, NAMPT, MYB, HOXA1, SOX9, ZNF721, PKNOX1, IER5, JUNB, SOX4, IER2, CDON, MEF2C, SLC11A1, SERPINF2, RFX2, RFX3, HNF1B, SOX12, SOX10, ISL1, RUNX2, JMJD6, IL23A, DDIT3, HOXB3, PRKD2, MAML3, PRKD1, CLOCK, ATF6, SKAP1, ATF3, CTBP2, PRKDC, TXK, ARX, CTR9, HIF1A, GATA1, PRDM10, HELZ2, PPP3R1, NHLH1, PCBP1, MYO6, HIVEP1, ZNF148, RREB1, PPARGC1A, ZNF267, STAT5A, ZNF143, STAT5B, EGR1, ZNF384, CREBBP, EGR2, EGR3, JUP, FZD5, BCL11B, EGR4, MICAL2, PBX2, NFATC1, NR1D1, NR2F2, IGF1, TRERF1, FLI1, ELL3, FOSL2, SETX, FOSL1, AGO2, CREBRF, ID4, REL, CD28, TNFSF8, CDK13, EZH1, NODAL, TP73, TOP2A, CSRNP1, ZNF131, RARG, GMEB1, GMEB2, CITED2, HEXB, RSF1, WASL, GLI1, EFCAB7, LITAF, MED12, IKBKB, PPP3CA, NIPBL, MED13, IKBKG, JAK2, GABPA, VENTX, TEAD3, IL10, NCOA1, NCOA2, EDN1, PARP1, ATMIN, NCOA6, RIPK2, NCOA3, TFE3, TET2, PAX6, FOS, SIRT7, SIRT1, ZFX, MMP12, KAT2B, IL1A, ZEB2, PLSCR1, ZEB1, GAL, NR5A2, IL1B, TET3, TFEC, PAX9, RARA, HCLS1, TLR7, ARHGEF2, TLR4, RHOQ, PPARD, TLR2, ENG, FOXC2, ZNF473, SP100, FOXC1, ASCL3, RNASEL, SATB2, NR1I2, WAS, RELA, RELB, RXRA, EPCAM, PLAGL1, HSF2, LEO1, PLAGL2, ZNF107, STAT6, TBL1X, APBB1, MEF2D, SF3B1, BRD4, EGLN1, NFYA, CDKN2A, DMRT2, STAT2, NFYC, STAT3, LILRB1, WWP2, GRHL3, GRHL1, VEGFA, BATF, ZNF33A, GFI1B, NFIA, NFIB, TTC5, CRLF3, ZNF335, FOXA3, ZNF212, PF4, CRTC2, CRTC3, CCNT2, KDM1A, FHOD1, PRDM5, IHH, ARID4A, ARID4B, NUCKS1, RORA, PARK7, AHR, RORB, FGF1, NR3C1, FGF2, ETS2, YY1, RUVBL2, SALL4, CHP2, EP300, PITX2, HMGN3, OSR2, HGF, ZBTB38, WNT5A, LMO2, ARID5A, MITF, LMO7, ADCYAP1, MYCN, MAF, DMTF1, LMX1A, KAT6A, PHIP, RAF1, KMT2D, DLX3, NOTCH1, MAX, KMT2C, GLIS3, CREM, ADRB2, FOXO4, FOXO3, RLF, NPAS2, FOXO1, SLC9A1, NPAT, SBNO2, DVL3, RIPK1, CAMTA2, DRD2, TFAP2A, AKIRIN2, DR1, AKIRIN1, TFAP2C, POU2F1, VDR, ZBTB16, GLMP, INHBA, MAFA, POU2F2, POU2F3, COQ7, NFKB1, NFKB2, BMP4, NR4A2, NR4A1, DAB2, BMP2, MAFB, GDNF, SP1, CCPG1, MAFG, TLX1, SP3, BCL3, MAFF, TCF4, ZNF410, MYD88, NFE2L2, RNF10, DDX3X, LDB1, SLC40A1, SIX1, ARRB1, NR2E1, CDC73, FLCN, HHEX, SIX4, ZNF407, NFKBIZ, NCK2, MYBL1, NKX3-1, KDM6B, ACTR3, ACTR2, PPP1R12A, PEG3, CHUK, ATRX, ARNT, ETV4, KLF15, TNFRSF1A, ELF1, CREB1, ELF3, IRF4, IRF1, IRF2, IRF8, CDH13, IRF6, ZNF750, HDAC4, CEBPB, NLRC5, MOSPD1, DDX21, NOD2, BARX2, DLL1, IFT74, MAPK7, IFI16, ABLIM3, NRIP1, ZNF746, E2F2, HES1, E2F3, E2F7, STOX1, MAPK3, SPAG8, EYA1, TAF12, IRX3, CNBP, FOXJ2, FOXJ1, ARID3A, ARID3B, KLF4, MAPK14, TBX3, KLF7, KLF6, POU2AF1, ASXL3, TAF7, SSBP4	4549	1222	19414	1.3131542012614779	9.23905155214566E-6	9.23909430215632E-7	9.105697354255719E-7
