Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005930~axoneme	40	4.1928721174004195	7.4844384756126E-25	CFAP61, DNAH2, CCDC103, IFT172, TULP3, DNAH9, RSPH9, AK8, DNALI1, KIF19, AKAP14, CCDC96, HYDIN, DZIP1L, CFAP46, CFAP43, BBS5, CFAP45, DNAH12, CFAP74, CFAP52, RSPH4A, DNAI2, DNAH10, DNAH17, IFT140, SPAG6, DNAAF1, CCDC113, DCDC2, LRRC43, WDR54, CFAP221, EFHC1, CCDC65, EFHC2, DRC1, CFAP54, GAS8, CCDC40	823	123	20624	8.149443341334994	4.049081215306417E-22	4.049081215306417E-22	3.8694546918917143E-22
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	62	6.498951781970649	1.158886759215471E-24	IFT172, DNALI1, IFT52, SLC22A14, KIF19, EFCAB2, TEKT1, TEKT2, DZIP1L, CFAP46, ROPN1L, CFAP43, CC2D2A, BBS5, CFAP45, CFAP52, DNAI2, IFT140, DNAAF1, NME5, IQCD, TCTE1, KIF9, CFAP221, SNTN, DYDC1, CFAP54, IFT46, GAS8, CFAP99, CCDC40, DNAH3, UNC119B, DNAH2, CCDC103, TULP3, DNAH9, RSPH9, AK7, NPHP1, DNAI1, DNAH12, RSPH4A, CFAP74, DNAH10, DNAH17, ODF2, SPAG6, DAW1, RABL2B, IFT122, TMEM231, TTLL6, IFT22, RSPH1, TMEM17, UBXN10, RSPH14, CCDC65, CEP41, DRC1, TTLL9	751	306	17708	4.777490579010122	5.678545120155808E-23	5.678545120155808E-23	4.5196583609403373E-23
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	128	13.417190775681343	2.4853965385252035E-22	WIPF1, IFT172, KNDC1, DOCK10, TEKT1, DZIP1L, TEKT2, ROPN1L, PPP1R16B, UNC5A, DNAAF1, ARMC9, SRCIN1, ACE2, ARC, SNTN, BIN2, DYDC1, CFAP99, CFAP61, UNC119B, C11ORF97, CACNA1C, AK7, AK8, CFAP126, NPHP1, MAP6, MPDZ, GAS2L2, RSPH10B2, PRPH, DNAH12, CFAP74, DNAH10, DNAH17, ODF2, DCDC2, RABL2B, IFT122, PTK6, ARPC5, TMEM231, IFT22, TMEM17, UBXN10, RSPH14, EFHB, CNIH2, DRC1, FANK1, RSPH10B, LRGUK, DOCK8, LRRK2, PTPRJ, EFCAB6, DNALI1, ADGRE2, IFT52, TRIM9, SLC22A14, KIF19, TCTN2, EFCAB2, TCTN1, HYDIN, NEFL, CFAP46, CFAP43, BBS5, CC2D2A, CFAP45, CFAP52, DNAI2, PACRG, SLC32A1, IFT140, IQCD, NME5, TCTE1, APBB1IP, CEACAM1, KIF9, VCAN, CFAP221, NME9, EFHC1, LCP1, EFHC2, IFT46, CFAP54, TLR4, GAS8, CCDC40, DNAH3, DNAH2, ROCK1, CCDC103, NRXN3, TULP3, DNAH9, RSPH9, AIF1, RAB21, CAMK2N1, CNR1, DNAI1, RIBC2, MPP1, NTRK2, RSPH4A, SPAG8, SPAG6, SPRY4, MOK, DAW1, PTPN12, ATP2B1, MAPK15, TTLL6, RSPH1, APC, MYO15A, AGBL2, CCDC65, CEP41, TTLL9	751	1209	17708	2.4963946609924017	1.2178443038773497E-20	6.0892215193867485E-21	4.846523250124147E-21
UP_SEQ_FEATURE	REPEAT:PXXP 4	15	1.5723270440251573	7.391556646088416E-19	PCDHA13, PCDHA12, PCDHA11, PCDHA10, PCDHA1, PCDHA5, PCDHA4, PCDHA3, PCDHA2, PCDHA9, PCDHA8, PCDHAC2, PCDHA7, PCDHAC1, PCDHA6	868	15	20543	23.667050691244242	2.319470475542545E-15	5.798676188856363E-16	5.724760622395478E-16
UP_SEQ_FEATURE	REPEAT:PXXP 1	15	1.5723270440251573	7.391556646088416E-19	PCDHA13, PCDHA12, PCDHA11, PCDHA10, PCDHA1, PCDHA5, PCDHA4, PCDHA3, PCDHA2, PCDHA9, PCDHA8, PCDHAC2, PCDHA7, PCDHAC1, PCDHA6	868	15	20543	23.667050691244242	2.319470475542545E-15	5.798676188856363E-16	5.724760622395478E-16
UP_SEQ_FEATURE	REPEAT:PXXP 2	15	1.5723270440251573	7.391556646088416E-19	PCDHA13, PCDHA12, PCDHA11, PCDHA10, PCDHA1, PCDHA5, PCDHA4, PCDHA3, PCDHA2, PCDHA9, PCDHA8, PCDHAC2, PCDHA7, PCDHAC1, PCDHA6	868	15	20543	23.667050691244242	2.319470475542545E-15	5.798676188856363E-16	5.724760622395478E-16
UP_SEQ_FEATURE	REPEAT:PXXP 3	15	1.5723270440251573	7.391556646088416E-19	PCDHA13, PCDHA12, PCDHA11, PCDHA10, PCDHA1, PCDHA5, PCDHA4, PCDHA3, PCDHA2, PCDHA9, PCDHA8, PCDHAC2, PCDHA7, PCDHAC1, PCDHA6	868	15	20543	23.667050691244242	2.319470475542545E-15	5.798676188856363E-16	5.724760622395478E-16
UP_KW_CELLULAR_COMPONENT	KW-0206~Cytoskeleton	127	13.31236897274633	2.556946425164891E-17	WIPF1, DIXDC1, RASSF3, WDR90, RUVBL1, TEKT1, DZIP1L, TEKT2, CCDC96, SYBU, CEP135, DNAAF1, ARMC9, FRMD4B, WDR73, SRCIN1, TUBA4B, ARC, MAP1A, DYDC1, PPP1R42, CCDC81, S100A8, CFAP61, C11ORF97, BOD1L1, AK8, CFAP126, SDCBP, MICAL1, NPHP1, EPB41L3, MAP6, S100A12, CEP72, TPPP, GAS2L2, RSPH10B2, PRPH, DNAH12, CFAP74, DNAH10, DNAH17, ODF2, DCDC2, RABL2B, IFT122, ARPC5, SSH2, PARVG, RSPH14, EFHB, DRC1, FANK1, RSPH10B, LRGUK, CETN2, LRRK2, SNX10, EFCAB6, LMOD2, RND1, TRIM9, KIF19, TCTN2, EFCAB2, TCTN1, HYDIN, NEFL, CFAP46, CFAP43, BBS5, CC2D2A, CFAP45, CFAP52, DNAI2, PACRG, NUDC, PPP1R12A, IFT140, CCDC113, IQCD, NME5, KIF6, TCTE1, MTSS1, APBB1IP, KIF9, CFAP221, NME9, EFHC1, MYZAP, LCP1, EFHC2, DOCK2, IFT46, CFAP54, GAS8, DNAH3, DNAH2, ROCK1, GNAI3, DNAH9, RSPH9, AIF1, FGD3, DNAI1, RIBC2, RSPH4A, SPAG8, SPAG6, SCLT1, LRWD1, SORBS1, TUBB4B, MAPK15, TTLL6, RSPH1, MARCKS, APC, KATNBL1, MYO15A, CAPZA1, AGBL2, CCDC65, CEP41, TTLL9	751	1372	17708	2.182625304259044	1.2529037483307966E-15	4.176345827769322E-16	3.3240303527143583E-16
UP_SEQ_FEATURE	REPEAT:PXXP 5	12	1.257861635220126	8.186438310063123E-15	PCDHA1, PCDHA5, PCDHA4, PCDHA3, PCDHA2, PCDHA13, PCDHA9, PCDHA12, PCDHA11, PCDHA8, PCDHA10, PCDHA7	868	12	20543	23.66705069124424	2.5780710899425685E-11	5.137808683395616E-12	5.072317176915111E-12
UP_KW_BIOLOGICAL_PROCESS	KW-0970~Cilium biogenesis/degradation	36	3.7735849056603774	4.825183683468113E-14	UNC119B, CCDC103, DNAH9, RSPH9, ASAP1, SNX10, AK7, CFAP126, IFT52, WDR90, TCTN2, NPHP1, TCTN1, TEKT2, CFAP46, CFAP43, CC2D2A, DNAI1, BBS5, RSPH4A, TTC12, DNAI2, DNAAF3, IFT140, SPAG6, CCDC113, ARMC9, DCDC2, IFT122, RABL2B, TMEM231, CFAP221, TMEM17, UBXN10, CEP41, CFAP54	447	197	11262	4.604094981773583	5.360711874402568E-12	5.355953888649605E-12	5.211198378145562E-12
