"dds","results","design","source_cell","samples","filter_method","n_filtered_genes"
"dds1","res1","~ BAL_Eos_ct_log + Batch","BAL_Eos_ct","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B109,B110,B115,B134,B144,B157,B158,B165,B171,B176,B184,B207,B222,B242,B256,B261,B274,B277,B279,B281,B284,B296,B302,B307,B324,B328,B329,B330,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds2","res2","~ BAL_Eos_perc_log + Batch","BAL_Eos_perc","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B109,B110,B115,B134,B144,B157,B158,B165,B171,B176,B184,B207,B222,B242,B256,B261,B274,B277,B279,B281,B284,B296,B302,B307,B324,B328,B329,B330,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds3","res3","~ BAL_neut_ct_log10 + Batch","BAL_neut_ct","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B109,B110,B115,B134,B144,B157,B158,B165,B171,B176,B184,B207,B222,B242,B256,B261,B274,B277,B279,B281,B284,B296,B302,B307,B324,B328,B329,B330,B331,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds4","res4","~ BAL_neut_perc_log + Batch","BAL_neut_perc","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B109,B110,B115,B134,B144,B157,B158,B165,B171,B176,B184,B207,B222,B242,B256,B261,B274,B277,B279,B281,B284,B296,B302,B307,B324,B328,B329,B330,B331,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds5","res5","~ BAL_WBC_log + Batch","BAL_WBC","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B109,B110,B115,B134,B144,B157,B158,B165,B171,B176,B184,B207,B222,B242,B256,B261,B274,B277,B279,B281,B284,B296,B302,B307,B324,B328,B329,B330,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds6","res6","~ serum_Eos_log10 + Batch","serum_Eos","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B144,B157,B158,B165,B171,B184,B207,B222,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds7","res7","~ serum_Eos_perc_log + Batch","serum_Eos_perc","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B144,B157,B158,B165,B171,B184,B207,B222,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds8","res8","~ serum_Neut_log10 + Batch","serum_Neut","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B144,B157,B158,B165,B171,B184,B207,B222,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds9","res9","~ serum_Neut_perc_log + Batch","serum_Neut_perc","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B144,B157,B158,B165,B171,B184,B207,B222,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
"dds10","res10","~ serum_WBC_log10 + Batch","serum_WBC","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B144,B157,B158,B165,B171,B184,B207,B222,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508"
