"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC6A13",78.7450140713935,-0.860803798031536,0.137717875703926,-6.25048704557529,4.09174673693825e-10,6.39294510179232e-06
"NCAPH",125.103971186119,0.521300210638764,0.104602716587938,4.98362019308089,6.24055185142125e-07,0.00243755955316514
"APOBEC3A",111.228513142576,0.975527790971091,0.194256778493501,5.02184684898254,5.11769841773524e-07,0.00243755955316514
"ABLIM2",99.7362079602065,0.597639621406654,0.119813110710785,4.98809869688875,6.09764170960803e-07,0.00243755955316514
"C4BPB",54.8577653895559,0.651376398400272,0.134333651416489,4.84894433771281,1.24120240547416e-06,0.00387850927662566
"TCF7",673.169917225766,0.414629164977731,0.0872944914289232,4.7497746786844,2.03643420884537e-06,0.00530287467983335
"ANLN",329.750921646222,0.679970936457477,0.145223434180138,4.68223975211897,2.83757321373217e-06,0.00595849577898532
"SERPINE1",474.601276335517,0.741434486052036,0.158855217375653,4.66735999170068,3.05094509932684e-06,0.00595849577898532
"BUB1",190.791334298246,0.594575821552679,0.132490597209884,4.48768315694724,7.20019038576974e-06,0.0113619142258353
"AOC1",157.732790659163,0.750799280344937,0.167381198902904,4.48556519648582,7.27209051832774e-06,0.0113619142258353
"CCNA1",1110.05072257475,0.613425261590149,0.139484119122174,4.39781435657811,1.09346443741056e-05,0.0155311712455478
"DLK2",802.017414922375,-0.560445230939434,0.129125311008187,-4.3403204729079,1.42275066563859e-05,0.0185242136666144
"PXDN",345.353021784415,0.5736636669391,0.133207387022711,4.30654545337861,1.65823868007997e-05,0.0199294777981304
"NEK2",524.492798400967,0.492497477531484,0.117821407613114,4.18003389629055,2.91465646994374e-05,0.0325275662045721
"CYP26A1",544.31152826384,-0.614782172514267,0.148621962368259,-4.13654996016635,3.52566620324075e-05,0.0344281304746459
"LINC00654",65.7471692927837,0.505782633094764,0.122055962438003,4.14385846452746,3.41510566514474e-05,0.0344281304746459
"DKK3",433.731482411391,-0.589578861718642,0.144043468508016,-4.09306210011065,4.25713646832358e-05,0.0379376131317898
"SLC25A15",311.336360724767,0.186479788853383,0.0459034397808455,4.06243605585298,4.85632528568738e-05,0.0379376131317898
"DUOX2",2828.49588990536,0.689129310062999,0.169151191833465,4.07404347905198,4.62038498015818e-05,0.0379376131317898
"NGFR",772.060792948099,-0.428076942231884,0.104764260312558,-4.08609711894822,4.38690211522055e-05,0.0379376131317898
"COCH",90.0668769433635,0.667119871277612,0.166085965429325,4.01671429342711,5.90151998939812e-05,0.0383595421708839
"MIR6510",455.53147945201,-0.566939169513162,0.141471484936709,-4.00744482018265,6.13791957419416e-05,0.0383595421708839
"ATP10B",520.64391193798,0.616654890142245,0.153193886825449,4.02532309167707,5.6897141460801e-05,0.0383595421708839
"SOSTDC1",76.3505801241307,-0.464831570637996,0.114953751193903,-4.04363986220792,5.26277378616369e-05,0.0383595421708839
"MELK",159.868920082748,0.566197518793183,0.141009953722982,4.01530178433712,5.93697776983338e-05,0.0383595421708839
"E2F7",509.612607889,0.480809659900049,0.121183238028186,3.9676251247571,7.25924012907524e-05,0.0435923035276186
"EGFEM1P",463.590938632885,-0.624771271416713,0.158166411393297,-3.95008817556818,7.81224077555889e-05,0.0435923035276186
"TRO",128.039728724849,-0.386551932640699,0.0977692073715984,-3.95371858924358,7.69459025147943e-05,0.0435923035276186
