"results","n_sig_deg","design","source_cell"
"res1.sig",45,"~ BAL_Eos_ct_log + Batch","BAL_Eos_ct"
"res2.sig",61,"~ BAL_Eos_perc_log + Batch","BAL_Eos_perc"
"res3.sig",28,"~ BAL_neut_ct_log10 + Batch","BAL_neut_ct"
"res4.sig",0,"~ BAL_neut_perc_log + Batch","BAL_neut_perc"
"res5.sig",836,"~ BAL_WBC_log + Batch","BAL_WBC"
"res6.sig",0,"~ serum_Eos_log10 + Batch","serum_Eos"
"res7.sig",0,"~ serum_Eos_perc_log + Batch","serum_Eos_perc"
"res8.sig",0,"~ serum_Neut_log10 + Batch","serum_Neut"
"res9.sig",0,"~ serum_Neut_perc_log + Batch","serum_Neut_perc"
"res10.sig",6,"~ serum_WBC_log10 + Batch","serum_WBC"
