"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS6",23339.0424517704,0.254678808711492,0.0487695569098875,5.22208576104284,1.76918994050138e-07,0.00274189056978904
"ANKRD37",950.467600943012,0.583882430791823,0.116799556603624,4.99901239157365,5.76246999180252e-07,0.00297689199776518
"LOC100506990",941.409038451103,0.597941302200812,0.11934016938873,5.01039428101633,5.431863176503e-07,0.00297689199776518
"PPP1R7",3100.25505371084,0.209122419523772,0.0433382119010793,4.82535873886768,1.39751488714627e-06,0.0048945513469695
"DYNLT1",9785.2899758066,0.365555838254998,0.076142284467274,4.80095706101535,1.57909128499468e-06,0.0048945513469695
"HSPB11",1347.31278775104,0.398247856321579,0.0860430296402729,4.62847319517416,3.68371532553076e-06,0.00951503668584594
"TFF3",16763.2544540174,0.895896111711357,0.195031625806134,4.59359402870332,4.35676571910848e-06,0.00964587930210617
"LOC400684",47.6169312713368,0.668698724738746,0.150922389885648,4.43074566500977,9.39077959309713e-06,0.0181922877667274
"RPL21",12693.3202252215,0.27629672621095,0.0636255165585962,4.34254590226381,1.40841046824702e-05,0.0218524844658315
"RPL21P28",12693.185378584,0.276287911854414,0.0636271615096855,4.34229510320615,1.41001964549178e-05,0.0218524844658315
"TBCA",1826.43704926732,0.225249497879905,0.0524912149474014,4.29118468882108,1.77722422468215e-05,0.0250394736673854
"FAM86B2",120.607776240674,0.589630331383872,0.138399514465791,4.26034971047253,2.04107291028049e-05,0.0263604566362726
"RPS3A",14479.5667106411,0.273756037147973,0.0654117630450965,4.18511937920461,2.85016272677505e-05,0.0315513013853998
"LY6G5C",177.9686929724,0.544670198553487,0.129868382254828,4.19401696622919,2.74057470324342e-05,0.0315513013853998
"MEAF6",2507.31008602952,0.172758780688646,0.041594872817382,4.15336720578822,3.27618368747083e-05,0.0338495298589486
"FZD5",1671.48065582376,-0.287554682433649,0.0702783586339554,-4.09165336275676,4.28308547480377e-05,0.0390466227579464
"TM4SF19-TCTEX1D2",396.358288535935,0.630551443124144,0.154035192731096,4.09355441405469,4.2481032441111e-05,0.0390466227579464
"MED31",780.598328708065,0.262107764260434,0.0645541097113271,4.06028005703319,4.90138896510592e-05,0.0399798558848482
"DPY30",1731.422899887,0.290443189909272,0.071378650550321,4.06904848536628,4.72055241273911e-05,0.0399798558848482
"UFC1",5818.44411699469,0.3270527844001,0.0809975167062897,4.03781248733892,5.39519507321595e-05,0.0418073666223504
"SERPINF1",5922.9721669721,0.553441352683645,0.137536925396933,4.02394739511886,5.72307059351929e-05,0.0422362609801724
"SLIT1",197.635340345287,0.656144407020747,0.164050529524777,3.99964821156916,6.34367097943137e-05,0.0427321476699301
"LOC100288798",209.439528389018,0.592560484723676,0.148524906130935,3.9896371602571,6.6174444707596e-05,0.0427321476699301
"CYP3A5",1756.68170780932,-0.711303395260183,0.177769848918643,-4.00126005386725,6.30060656900496e-05,0.0427321476699301
"SQLE",1857.42299900422,0.442071730728763,0.111457669252083,3.96627467356177,7.30047268910777e-05,0.0452570902943169
"RPL22",6841.23935346479,0.240662256045057,0.0617555485833559,3.89701430180346,9.73858701907659e-05,0.0474630476473259
"CCDC60",882.599080920096,0.465455164950169,0.119485688052714,3.89548884503072,9.80008726748244e-05,0.0474630476473259
"DYNLL1",13517.6258438515,0.38050833379998,0.0966917396302136,3.93527239508969,8.31023878529599e-05,0.0474630476473259
"RPL26",7942.40725682747,0.254970198380738,0.0654208997194764,3.89738140982538,9.72384120145143e-05,0.0474630476473259
"TRIB3",285.272916991742,0.478856318951803,0.122205638400472,3.91844701455242,8.91213144343447e-05,0.0474630476473259
"GTF2H5",983.479308529365,0.268721087912045,0.0685980512380308,3.91732830688732,8.95357726824801e-05,0.0474630476473259
"RPL7",11807.6152730773,0.216536797539151,0.0549831997858727,3.93823564984277,8.20829601880239e-05,0.0474630476473259
