"results","n_sig_deg","design","source_cell"
"res1.sig",3,"~ BAL_Eos_ct_log + Batch","BAL_Eos_ct >0"
"res2.sig",38,"~ BAL_Eos_perc_log + Batch","BAL_Eos_perc >0"
"res3.sig",763,"~ BAL_neut_ct_log10 + Batch","BAL_neut_ct >0"
"res4.sig",120,"~ BAL_neut_perc_log + Batch","BAL_neut_perc >0"
"res5.sig",836,"~ BAL_WBC_log + Batch","BAL_WBC >0"
"res6.sig",1,"~ serum_Eos_log10 + Batch","serum_Eos >0"
"res7.sig",11,"~ serum_Eos_perc_log + Batch","serum_Eos_perc >0"
"res8.sig",0,"~ serum_Neut_log10 + Batch","serum_Neut >0"
"res9.sig",0,"~ serum_Neut_perc_log + Batch","serum_neut_perc >0"
"res10.sig",6,"~ serum_WBC_log10 + Batch","serum_WBC >0"
