"dds","results","design","samples","filter_method","n_filtered_genes","source_cell","df_name","n_sample_pos"
"dds1","res1","~ BAL_eos_ct_log + Batch","B060,B066,B067,B078,B090,B106,B110,B134,B157,B171,B176,B184,B207,B277,B279,B284,B296,B302,B324,B329,B330,B331,B333,B335,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","BAL_eos_ct >0","bal.pos.e.c",25
"dds2","res2","~ BAL_eos_p_log + Batch","B060,B066,B067,B078,B090,B106,B110,B134,B157,B171,B176,B184,B207,B277,B279,B284,B296,B302,B324,B329,B330,B331,B333,B335,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","BAL_eos_p >0","bal.pos.e.p",25
"dds3","res3","~ BAL_neut_ct_log + Batch","B009,B060,B066,B067,B078,B090,B103,B106,B108,B109,B110,B115,B134,B144,B157,B158,B165,B171,B176,B184,B207,B222,B242,B256,B261,B274,B277,B279,B281,B284,B296,B302,B307,B324,B328,B329,B330,B331,B333,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","BAL_neut_ct >0","bal.pos.n.c",42
"dds4","res4","~ BAL_neut_p_log + Batch","B009,B060,B066,B067,B078,B090,B103,B106,B108,B109,B110,B115,B134,B144,B157,B158,B165,B171,B176,B184,B207,B222,B242,B256,B261,B274,B277,B279,B281,B284,B296,B302,B307,B324,B328,B329,B330,B331,B333,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","BAL_neut_p >0","bal.pos.n.p",42
"dds5","res5","~ BAL_wbc_log + Batch","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B109,B110,B115,B134,B144,B157,B158,B165,B171,B176,B184,B207,B222,B242,B256,B261,B274,B277,B279,B281,B284,B296,B302,B307,B324,B328,B329,B330,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","BAL_wbc >0","bal.pos.w.c",47
"dds6","res6","~ blood_eos_log + Batch","B002,B009,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B157,B165,B171,B184,B207,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B334,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","blood_eos >0","ser.pos.e.c",34
"dds7","res7","~ blood_eos_p_log + Batch","B002,B009,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B157,B165,B171,B184,B207,B222,B242,B261,B274,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","blood_eos_p >0","ser.pos.e.p",37
"dds8","res8","~ blood_neut_log + Batch","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B144,B157,B158,B165,B171,B184,B207,B222,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","blood_neut >0","ser.pos.n.c",41
"dds9","res9","~ blood_neut_p_log + Batch","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B144,B157,B158,B165,B171,B184,B207,B222,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","blood_neut_p >0","ser.pos.n.p",41
"dds10","res10","~ blood_wbc_log + Batch","B002,B009,B045,B060,B066,B067,B075,B078,B090,B103,B106,B108,B110,B115,B134,B144,B157,B158,B165,B171,B184,B207,B222,B242,B261,B274,B277,B279,B281,B284,B296,B302,B328,B329,B331,B332,B333,B334,B335,B336,B337","TMM normalized LCPM cutoff","analyzed n_genes: 15856 , filtered n_genes: 10508","blood_wbc >0","ser.pos.w.c",41
