"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGFBP5",1697.61628492692,2.02866196293647,0.370276007027957,5.4787831899227,4.28260733981024e-08,0.000663718485523791
"CST1",14656.8871788808,5.11557134985134,0.972671285864026,5.25930129139894,1.44603794006579e-07,0.000747023199837989
"TFF3",17769.4927078608,2.29393902743872,0.433460088019956,5.2921574346497,1.20881758175322e-07,0.000747023199837989
"COL6A6",646.872786983688,-2.22402409086275,0.439532967132425,-5.05997105375871,4.19320130167531e-07,0.0016246558443341
"ADRA2A",350.000896011702,2.55470310402412,0.518364918318125,4.92838734595128,8.29111180166152e-07,0.00183565215288786
"TPSB2",1807.6485892391,3.53468444080022,0.713995545056954,4.95056932115489,7.39966935717101e-07,0.00183565215288786
"COL6A1",757.093277154084,1.98481512922147,0.399980541317151,4.96227922159764,6.96707397735133e-07,0.00183565215288786
"KIAA1875",160.39372424836,2.40542703886559,0.497983865718139,4.83033127066624,1.36306080036624e-06,0.00264058953550949
"TP53AIP1",290.525634408782,1.64980329008779,0.349096348389959,4.72592537188294,2.29069771359747e-06,0.00355012331653335
"ZNF497",113.614146985182,1.66654745955255,0.352358769000564,4.72968918661958,2.24863826860838e-06,0.00355012331653335
"MAT1A",156.781374641476,1.80225779142412,0.389602427216,4.6258895364246,3.72994064556503e-06,0.00361291375781042
"MYO15A",112.991911202751,1.29005360800122,0.278351408043715,4.63462217442286,3.57589992200055e-06,0.00361291375781042
"COL7A1",741.748706254671,1.97788069464674,0.425839414897547,4.64466328257238,3.40631554679902e-06,0.00361291375781042
"MFAP3L",316.882225734489,-1.46271989124081,0.312169756905116,-4.68565534900745,2.79065531129496e-06,0.00361291375781042
"MAN1A1",2721.85931164674,-1.08108485969259,0.233315628000639,-4.63357242271668,3.59408942964946e-06,0.00361291375781042
"CYP3A5",1660.90014290154,-1.76696778660791,0.380045427061732,-4.64935942071181,3.32967537485744e-06,0.00361291375781042
"FAM95C",308.366041307442,2.38911240844241,0.518150291903275,4.61084833063916,4.01029055958748e-06,0.00365596959367569
"TPSAB1",1950.98942383776,3.26163186678519,0.712142306015159,4.580028232048,4.64913169401951e-06,0.0040029023885508
"PDE5A",348.136185236164,-1.28323695093851,0.281613814868215,-4.55672585359145,5.19571664756758e-06,0.0042380640317896
"CPM",1624.01859231059,-1.48077493835315,0.327749877741742,-4.51800302278055,6.24255933213354e-06,0.00466847148769254
"C14orf132",298.464992546775,1.86820683965158,0.413759912588828,4.5151953652603,6.32584212424463e-06,0.00466847148769254
"PTHLH",266.129460150043,2.5703144018288,0.571452920495709,4.49785854554593,6.86413401004183e-06,0.00483547040398311
"LGR6",293.721839873096,2.30922964143553,0.523406231001216,4.41192615727605,1.02455058613052e-05,0.00678014430665646
"EDIL3",413.191559827029,-1.78576650925244,0.405246365839933,-4.40661942902604,1.04996427513069e-05,0.00678014430665646
"VAV3",1235.43874116873,-0.999171024797848,0.228684408858679,-4.36921358034212,1.24694767348217e-05,0.00743276732447181
"WDR38",4837.10764537824,2.11490868328188,0.483151652314755,4.37731853580435,1.20148319285646e-05,0.00743276732447181
"MANSC1",1348.79782550442,-1.11036300118146,0.254847813544949,-4.35696498916839,1.31878352880411e-05,0.00756981745533558
"ALOX15P1",2081.55134192918,1.78076128257052,0.410471497484911,4.33833114718515,1.43568724047162e-05,0.00767251063890659
"HEPH",180.235579989138,-1.53584600845676,0.353870777525316,-4.34013234773783,1.42396926697166e-05,0.00767251063890659
"C1orf189",307.276877392189,2.03006156512507,0.470151924839227,4.31788419417675,1.57532042243251e-05,0.00813810530228633
"DNAJC22",202.283060149909,1.3996982834021,0.325072635422364,4.30580162979109,1.66382107480105e-05,0.00821361117836954
"XDH",3394.95563902228,-1.38799356068533,0.323683566878676,-4.28811871442823,1.80192786207617e-05,0.00821361117836954
"SLC23A1",169.288433855193,1.59931736548335,0.372317308889752,4.29557618541159,1.74240184028615e-05,0.00821361117836954
"ID4",1077.6008477741,-1.11519971500205,0.259856965249799,-4.29159062151756,1.77397777393078e-05,0.00821361117836954
"MFAP2",269.05392102093,1.59619408261123,0.373467637572603,4.2739823267844,1.92012262077959e-05,0.00826612788245616
"ASB9",47.8866049870579,1.65803592616575,0.387639538910418,4.27726214623559,1.89205946654331e-05,0.00826612788245616
"SNORA7B",67.4091467854201,2.18383230056505,0.512880776187844,4.25797261655449,2.06289210203577e-05,0.00854988106515803
"RDH10",39089.2906754485,-0.74953608667215,0.176287851876425,-4.25177389533093,2.12083924692709e-05,0.00854988106515803
"STS",2576.19392733413,-1.05027183173756,0.247537548437517,-4.24287886167973,2.20670565625449e-05,0.00854988106515803
"COL4A6",337.629801598978,1.69623906449933,0.399279197367753,4.24825304118467,2.15443969158044e-05,0.00854988106515803
"TTLL10",1527.80767382435,1.89227622285409,0.449259146643285,4.21199264832458,2.53127784539105e-05,0.00956823025557816
"DERL3",595.512850596853,1.80646361372987,0.430448503426838,4.19670088140267,2.70831246475542e-05,0.0099936729949475
"ATP8B2",237.186284764113,1.15330260092324,0.275375341247654,4.18811138171604,2.81285468111401e-05,0.010138051592536
"ECI2",229.411825110236,1.3648048353812,0.328713573345323,4.1519576496083,3.29643273439059e-05,0.011610935117633
"KRT42P",69.8744788017438,1.87568760616082,0.452426146586978,4.14584263157793,3.38566305535367e-05,0.011660223562638
"GAMT",187.25263676733,1.84182284829663,0.447440688103013,4.1163508310013,3.84918254342286e-05,0.0129683980560799
"CLCNKB",284.89555896032,1.85919429887251,0.45531164098628,4.08334453045213,4.43921322101499e-05,0.0137298908527018
"MEX3A",63.9597666066288,1.26549609375734,0.309000367182037,4.0954517475114,4.21345981074962e-05,0.0137298908527018
"PCSK6",515.030143829477,1.42289657798333,0.348155629108492,4.08695554234432,4.37070832196789e-05,0.0137298908527018
"LPPR3",741.99482663256,2.16889860871849,0.531690782426001,4.07924809006888,4.51815997862816e-05,0.0137298908527018
"LOC100507291",117.093838941393,1.01610452155276,0.248895219179859,4.08245897571256,4.456168008742e-05,0.0137298908527018
"LOC100129534",129.660908446573,1.61029298281623,0.398900389435083,4.03682980880692,5.41783421763189e-05,0.0140740819500495
