"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNFRSF6B",616.438915822016,2.97717202457596,0.485552399255909,6.1315154227193,8.70458947502124e-10,9.72949843566943e-06
"CFB",20225.2392035072,1.61066035232052,0.265069441888151,6.07637131178688,1.22932572312457e-09,9.72949843566943e-06
"EPS8L3",160.757519523336,2.42625077137893,0.430321400175565,5.63822940339256,1.71807532894749e-08,9.06513812730329e-05
"CCNB2",203.147691951741,1.24633582674401,0.230770212181473,5.40076561425492,6.63570795575043e-08,0.000262591553078934
"NEK2",551.858932939635,1.40793581451838,0.268058392185467,5.25234745698336,1.5017282540377e-07,0.000475417130663257
"LINC01605",180.579516613654,-1.70320785505887,0.332170085413037,-5.12751728663652,2.93588030561921e-07,0.000774534155960776
"DUOX2",3005.52665940297,1.84849868896733,0.366449455440319,5.04434830376867,4.5506969394161e-07,0.00102904259791454
"CDC20B",3663.0068519499,1.58096529497814,0.319217684467825,4.95262440617537,7.32192158426315e-07,0.00115898696757301
"ANLN",353.098412387711,1.68025016510186,0.337965974665933,4.97165481454967,6.63838230966217e-07,0.00115898696757301
"IGFBPL1",90.1163039873986,1.91088607345514,0.383685208163465,4.98034855865756,6.34698535862492e-07,0.00115898696757301
"RTEL1-TNFRSF6B",1574.17136994037,1.27363854419407,0.260212066437775,4.89461753880131,9.8497093943974e-07,0.00141737318185379
"NCAPH",132.201313301496,1.19439245021179,0.247894567848464,4.8181469266479,1.44897656949827e-06,0.00191132084321568
"IL23A",131.830504674256,1.44263544138154,0.302091400979105,4.77549323385515,1.79267319012186e-06,0.00218278645587991
"KIF20A",249.512679688901,1.23583588178934,0.262677517890697,4.70476457868611,2.5415906551308e-06,0.00287363132000467
"CHRM4",71.5073937127687,1.96531737516715,0.42069504163484,4.67159624113903,2.98868005806844e-06,0.00315385444261102
"M1AP",301.323289777181,1.12817705156041,0.24344536533705,4.63421043156215,3.58302382583324e-06,0.00354473025869465
"CEACAM7",137.942069282363,1.32758814795121,0.287578342926834,4.61643993925153,3.90378932874262e-06,0.00363488713439218
"TROAP",94.6289870677217,0.885277747745497,0.195010720072314,4.53963632059415,5.63513385290097e-06,0.00469465967145102
"TACC3",479.77294724415,0.980316797150669,0.215685242518295,4.54512689743951,5.49021675395121e-06,0.00469465967145102
"SULT1E1",172.481714640474,-1.96663843625588,0.435466615390359,-4.5161635054227,6.29700506973939e-06,0.00498376466244524
"BUB1",203.455874035404,1.40138871361013,0.313887360487212,4.46462295084108,8.02098779123336e-06,0.00604591503559204
"MIR6510",453.854027036159,-1.46180111495663,0.329031908458621,-4.44273359931735,8.88231149695775e-06,0.0063908231220611
"FFAR2",239.342547871459,2.15545555365527,0.490296697488806,4.39622694726489,1.10148769124952e-05,0.00740169571422958
"MELK",169.692238920505,1.45189034378921,0.330563322804511,4.39217010366218,1.12224838676802e-05,0.00740169571422958
"TCF7",697.550303405967,0.930747538016416,0.212643664797508,4.37702923763438,1.20307841207141e-05,0.00761741127387133
"KRT15",8167.53997471205,-1.37743648416635,0.316575868288281,-4.35104700688058,1.35488998756704e-05,0.00824867446661489
"CYP26A1",512.043856576824,-1.50169174139127,0.349814672140607,-4.29282091629269,1.76417295664084e-05,0.0096769418310224
"HYLS1",500.402174720685,0.91297590750264,0.212729291667841,4.29172635486501,1.77289350622054e-05,0.0096769418310224
"IDO1",2256.63231026535,1.94395469066712,0.451430652929893,4.3062088895612,1.66076237616236e-05,0.0096769418310224
"CHAF1B",406.184787493978,0.909635177042848,0.212400057571259,4.28265033185158,1.84680275115919e-05,0.00974434691603296
"NETO2",159.691422915011,1.46713793039516,0.343801144813794,4.26740269055759,1.97761988771139e-05,0.010097982323414
"CDC20",1098.02007834644,1.37399126388456,0.324310870541499,4.23664881041583,2.26880574600337e-05,0.0112227894229648
"SSPN",292.196368760557,-0.987295096413764,0.233944546677344,-4.22020991912857,2.44074937176447e-05,0.0117074611532302
"LCN2",104126.599875568,1.62802540665712,0.387234359699702,4.20423799148312,2.61963191403004e-05,0.0121959275197593
"IL1RN",1196.14149496656,1.76430479282896,0.420959240929498,4.19115349251696,2.77539811094502e-05,0.012551936199471
"COCH",96.4563851544056,1.63113407826231,0.392173566756451,4.15921473686492,3.19343571482562e-05,0.0126372234824937
"ASF1B",506.437521542675,1.0837287898121,0.26023560374453,4.16441399339032,3.12153266153999e-05,0.0126372234824937
"PLEKHG2",207.361452610864,1.11656097392555,0.267104916370916,4.18023370402901,2.91209655210536e-05,0.0126372234824937
"AURKA",181.426729546566,0.898680615246135,0.215473787193377,4.17071898606216,3.03640110290334e-05,0.0126372234824937
"ATP10B",550.447491290139,1.5085407899743,0.361880716052795,4.16861336638401,3.06458325678581e-05,0.0126372234824937
"CCDC87",93.4116385996152,0.96695469797478,0.232906656908684,4.15168338599224,3.30038647382954e-05,0.0127419067059141
"KIFC1",217.720206734452,0.726430466199054,0.176456783070507,4.1167613596854,3.84233556324776e-05,0.0144810308644402
"MRI1",1666.02615480119,-0.459827773884305,0.111982302178299,-4.10625397888464,4.02127323830916e-05,0.014802961416092
"PXDN",368.291673167643,1.28320721589513,0.313805144758673,4.08918476107828,4.32891946335602e-05,0.0155732877694233
"CDCA8",183.393663366196,0.781700939155289,0.192083290483503,4.0695936496487,4.70952064335876e-05,0.016033817561812
"DEPDC1",97.2448232655471,1.28387328503406,0.315596632393452,4.0680829681144,4.74015045881213e-05,0.016033817561812
"SLC26A4",1669.70452240639,2.5233743153127,0.62044049882018,4.06706899390209,4.76081512038135e-05,0.016033817561812
"LPCAT1",718.161973389185,0.922284148687954,0.227082736647291,4.06144545510063,4.87698136546311e-05,0.0160828620903991
"CCNB1",683.80931129056,0.763771481404736,0.188358331292379,4.05488557986412,5.01588490718442e-05,0.0162033555501678
"SOCS2",81.7153284209717,1.34806584390237,0.333501121174394,4.04216285437145,5.29604285561156e-05,0.0167361838248174
"TNFRSF10C",234.666122670023,1.43643460721035,0.356136666733273,4.03338027613472,5.49801982999876e-05,0.0167361838248174
"ERCC6L",52.0207020613716,1.06068016559564,0.262822812026855,4.03572337353752,5.44343220962335e-05,0.0167361838248174
"SPARCL1",225.752517143411,-1.58310798712421,0.393207079933523,-4.02614313911097,5.66991818589062e-05,0.0169337990498986
"TEX30",317.312210786303,0.832035523207204,0.209222408189514,3.97679928458497,6.98490735968466e-05,0.0173035271631733
"C15orf48",1604.74973957779,1.73532870226265,0.436263126575196,3.97771114851151,6.95818259655683e-05,0.0173035271631733
"WDR62",203.030014535699,1.09727813446205,0.275073711190739,3.98903308394014,6.63431692295661e-05,0.0173035271631733
"RRM2",373.681302207805,1.31793997838412,0.331099583762571,3.9804942168976,6.87721379822279e-05,0.0173035271631733
"REM1",295.03351088164,-1.16763925950593,0.291712426173549,-4.00270662042783,6.26219368341883e-05,0.0173035271631733
"APOBEC3A",120.622873686278,1.86170045569374,0.467893306180881,3.97889952923165,6.9234988929052e-05,0.0173035271631733
"POC1A",733.108416129376,1.03387601043359,0.259800302351431,3.97950272219111,6.90595693855082e-05,0.0173035271631733
"USP13",680.715709837888,0.912506651756576,0.227599090033042,4.00927196863617,6.09062364498311e-05,0.0173035271631733
