"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS6",23339.0424517704,0.25467440622032,0.048769790525133,5.22197047553601,1.77029199032255e-07,0.00274359852660189
"ANKRD37",950.467600943012,0.583863543443948,0.116802235115439,4.99873605044373,5.770733204327e-07,0.00298116077335533
"LOC100506990",941.409038451103,0.597883445874004,0.119350382471269,5.00948076993327,5.45770794912837e-07,0.00298116077335533
"PPP1R7",3100.25505371084,0.209101270127997,0.0433415619039735,4.82449780170075,1.40356465398743e-06,0.00491635385354476
"DYNLT1",9785.2899758066,0.365515940870213,0.0761480908146104,4.80006703989592,1.58612525924144e-06,0.00491635385354476
"HSPB11",1347.31278775104,0.398198019345967,0.0860505716108188,4.62748836982628,3.70127010072141e-06,0.0095603806701634
"TFF3",16763.2544540174,0.895867543908121,0.19503618308492,4.59334021891751,4.3620703435871e-06,0.00965762374070184
"LOC400684",47.6169312713368,0.668632514432005,0.150929487487178,4.43009862131021,9.41900035379501e-06,0.0182469584353894
"RPL21",12693.3202252215,0.276282075156366,0.0636269011707982,4.34222113716843,1.41049456121493e-05,0.0218848139308005
"RPL21P28",12693.185378584,0.276273261877161,0.0636285458373094,4.34197038831532,1.41210568659185e-05,0.0218848139308005
"TBCA",1826.43704926732,0.225207877275859,0.0524968879639951,4.28992814641351,1.78730935304294e-05,0.0251815639576905
"FAM86B2",120.607776240674,0.589566513998334,0.138407400126682,4.25964589652513,2.04751016772226e-05,0.026443593816133
"RPS3A",14479.5667106411,0.273741262527146,0.0654131422040901,4.1848052746506,2.85410654744796e-05,0.031594959480249
"LY6G5C",177.9686929724,0.544650972642233,0.12987030152687,4.19380694615194,2.74311462492821e-05,0.031594959480249
"MEAF6",2507.31008602952,0.172727499874013,0.0415992412649016,4.15217909322177,3.29324372294727e-05,0.0340257941454912
"FZD5",1671.48065582376,-0.287555473325393,0.0702772931367959,-4.09172665153254,4.28173180029981e-05,0.039034282024145
"TM4SF19-TCTEX1D2",396.358288535935,0.63050500298184,0.154041430752385,4.09308716429251,4.2566761381733e-05,0.039034282024145
"MED31",780.598328708065,0.262061933511929,0.0645597688670604,4.05921424612841,4.92381219118214e-05,0.0401627585994426
"DPY30",1731.422899887,0.290391462044099,0.0713851538585335,4.06795315759322,4.74279122532874e-05,0.0401627585994426
"UFC1",5818.44411699469,0.327014346161421,0.081002414226813,4.03709382347242,5.41174296846732e-05,0.0419355962626532
"SERPINF1",5922.9721669721,0.553402440980822,0.137541394736178,4.02353372991685,5.73313687971901e-05,0.0423105501723263
"SLIT1",197.635340345287,0.656069750822049,0.164059408735423,3.99897668703712,6.3616945365307e-05,0.0428546207530888
"LOC100288798",209.439528389018,0.592491265125887,0.148532832614005,3.98895823030322,6.63641049215468e-05,0.0428546207530888
"CYP3A5",1756.68170780932,-0.711261233498606,0.177770520300234,-4.00100777281502,6.30732857303984e-05,0.0428546207530888
"SQLE",1857.42299900422,0.442009648452643,0.111465503478396,3.96543894442027,7.32610038697184e-05,0.0454159615189158
"RPL22",6841.23935346479,0.240633471931492,0.0617586951981694,3.89634967447668,9.76533717517495e-05,0.0475558580233824
"CCDC60",882.599080920096,0.465416462682127,0.119490276493669,3.89501536308508,9.81925059200049e-05,0.0475558580233824
"DYNLL1",13517.6258438515,0.380451547170933,0.0966982652464025,3.93441957000451,8.33979893874348e-05,0.0475558580233824
"RPL26",7942.40725682747,0.254932796860756,0.0654249779914775,3.89656679584919,9.75659077690313e-05,0.0475558580233824
"TRIB3",285.272916991742,0.478851562377728,0.122204669861354,3.91843914738288,8.91242227211558e-05,0.0475558580233824
"GTF2H5",983.479308529365,0.268670137408134,0.0686039790404387,3.91624715018011,8.99380486509346e-05,0.0475558580233824
"RPL7",11807.6152730773,0.216515013089739,0.0549855428351051,3.93767164832837,8.22760743610432e-05,0.0475558580233824
