"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DQX1",332.829313143591,2.69325194560814,0.502453857777645,5.36019756624102,8.3130987911478e-08,0.0013181249443244
"CXCL6",2606.65786058984,-3.08838906412177,0.662809534172414,-4.65954230422763,3.16913262049845e-06,0.0251248834153117
"SEMA3B",350.164432417119,2.95863773006852,0.654501189598112,4.52044668075429,6.17092865069525e-06,0.0326154148951413
"SHC2",238.356905371167,3.66569848625088,0.839828573998258,4.36481753508245,1.27228912752807e-05,0.0504335410152126
"BPIFA1",37430.9394906263,-7.93115915749439,1.85628793959563,-4.27259100720232,1.93214654886871e-05,0.0612722313577246
"FTO-IT1",685.919075837627,-4.80942691622804,1.14013502123814,-4.21829592692032,2.46155618068054e-05,0.0650507246681178
"SHISA2",284.492183004661,-3.56382605406037,0.857799198590635,-4.15461574214075,3.25834651657414e-05,0.0721633150373175
"TMEM45A",897.184817281601,-3.80424658878716,0.921312811227196,-4.12915846000217,3.64093415929957e-05,0.0721633150373175
"ANO7",232.561308613034,3.77461082649113,0.92752880548931,4.06953488037481,4.71070870291053e-05,0.0746929971933494
"GSTA1",24141.3503839077,-2.49266767019409,0.611409213034255,-4.0769219976645,4.5635793457993e-05,0.0746929971933494
"ITGA10",161.498841259625,3.00527539735061,0.747833146682321,4.01864428005522,5.85339622529757e-05,0.0785737471427757
"CYP2B7P",10977.5168158826,2.7948359927469,0.696112181023605,4.01492183147436,5.94654998557838e-05,0.0785737471427757
"MFSD2A",2316.00411718062,2.14938398370286,0.550227676738657,3.90635381419345,9.36992856943174e-05,0.0873938749393586
"STARD5",475.682079209516,1.11432623675358,0.28346885440676,3.9310358772417,8.45806478041275e-05,0.0873938749393586
"HOXB3",161.697265415988,3.66870709272391,0.935382946091086,3.9221445163772,8.77643229897705e-05,0.0873938749393586
"LINC00342",1149.72330165444,3.44562439625329,0.881466365313585,3.90896865931748,9.26909867566375e-05,0.0873938749393586
"SLC29A4",506.652484645457,3.50674787175891,0.896647055305289,3.91095677057116,9.1931226895206e-05,0.0873938749393586
"BMP8A",360.119020837664,2.66336354750372,0.691333142471527,3.85250378418451,0.00011691616928612,0.102990154455595
"TFF1",834.184828392655,4.80541747339352,1.25593974090054,3.8261528932494,0.000130161465139942,0.108623167960996
