"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLCB4",2286.83932726539,2.26621571305661,0.455375627915054,4.97658542560243,6.47157225142075e-07,0.00506141665783617
"TFF1",834.184828392655,6.06629739484386,1.20751476734525,5.02378733485865,5.06623348162532e-07,0.00506141665783617
"CGREF1",128.209635853366,5.10523697761595,1.08770688352579,4.69357788843569,2.68467706178486e-06,0.00839874372008776
"ANKRD36B",1419.18159804127,2.42266075510572,0.512573819502533,4.72646214638308,2.28465357763789e-06,0.00839874372008776
"SLC29A4",506.652484645457,4.31099983146032,0.917662881371846,4.69780342974716,2.62974336988385e-06,0.00839874372008776
"BPIFA1",37430.9394906263,-9.11603885673253,1.9717687013604,-4.62328002794802,3.7771926306909e-06,0.00844040673275244
"SEMA3B",350.164432417119,3.21883801625993,0.694046801943203,4.63778236171938,3.52167322807823e-06,0.00844040673275244
"PRR4",1334.51921073907,6.56244127203385,1.44418505435726,4.54404458226061,5.51849782807455e-06,0.00992670768920969
"TF",223.995332636572,-4.18427193117494,0.922419396561346,-4.53619248117866,5.72789077130174e-06,0.00992670768920969
"CXCL6",2606.65786058984,-3.20854542204438,0.71071766195116,-4.5145148260926,6.34618826825834e-06,0.00992670768920969
"TTC3",4858.12121742202,2.00672315499622,0.448051555987939,4.47877733751301,7.50717896011725e-06,0.0106752084812867
"ANO7",232.561308613034,4.32209244320443,0.978576436054115,4.41671420234915,1.0021258947133e-05,0.0130627110375879
"PCAT19",543.897940147528,4.13402741770749,0.945043611801059,4.37443030785519,1.21750010367294e-05,0.0146493358628094
"ANKRD36C",2905.14531777102,3.08339822371244,0.710686661178194,4.33861839843836,1.43381234202347e-05,0.0149517951026207
"PHLDB2",313.520060888589,2.95011658292685,0.677990992699151,4.35126220657023,1.35356066156521e-05,0.0149517951026207
"SHC2",238.356905371167,3.88792622966561,0.902983085406435,4.30564679726603,1.66498534260933e-05,0.0162773129556845
"LINC00342",1149.72330165444,3.87615587782958,0.903322339930332,4.29099968692075,1.77870565621592e-05,0.0163661846320762
"PTHLH",67.5165888514129,4.50771092210323,1.05905722929769,4.25634309214104,2.07797750688e-05,0.0171072232434826
"DNAJC10",6876.05209459019,1.85951723322128,0.436563990308999,4.25943796213041,2.04941568357417e-05,0.0171072232434826
"SHISA2",284.492183004661,-3.80870342677847,0.902712440476836,-4.21917684524943,2.45195893692936e-05,0.0191767708457245
"MIA3",2482.74511097061,1.8975153881839,0.455867086671255,4.16243120783202,3.14877018648271e-05,0.0214143753291141
