"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EPS8L3",160.757519523336,2.26137636206226,0.279851273863208,8.08063629957828,6.44297001367646e-16,1.02159732536854e-11
"TNFRSF6B",616.438915822016,2.5364767209812,0.333432953635267,7.60715668120729,2.8019156286896e-14,2.17693388380731e-10
"CFB",20225.2392035072,1.38138779544774,0.182791286653293,7.55718623540228,4.11882041588164e-14,2.17693388380731e-10
"DUOX2",3005.52665940297,1.7786584267403,0.24510359763361,7.25676180975155,3.96466952190341e-13,1.57159499848251e-09
"TCF7",697.550303405967,0.938785481629142,0.13063781525493,7.18616948543704,6.66343203397159e-13,2.11310756661307e-09
"CD177",1384.32607911981,3.14412041191725,0.453422579854987,6.93419461581027,4.08541910406429e-12,1.07964008856739e-08
"RTEL1-TNFRSF6B",1574.17136994037,1.20251652724416,0.174112365630637,6.90655441322984,4.96566522895683e-12,1.12479411243342e-08
"IL23A",131.830504674256,1.34552928014263,0.202734564431251,6.63690123051961,3.20346144406283e-11,6.34926058213252e-08
"IGFBPL1",90.1163039873986,1.72691158254593,0.261020319517415,6.61600440049538,3.69037387217367e-11,6.50161867968731e-08
"FFAR2",239.342547871459,2.04882833805856,0.312826304173169,6.54941196033311,5.77640823969034e-11,9.15907290485301e-08
"TACC3",479.77294724415,0.913893092823979,0.14373752637362,6.35806887651928,2.04305865960004e-10,2.94497619151075e-07
"CHRM4",71.5073937127687,1.75995163714483,0.287076188179908,6.13060821346106,8.75437474629237e-10,1.15674471647677e-06
"CDC20",1098.02007834644,1.31490125541169,0.218105187901235,6.02874818368427,1.65234507143877e-09,1.80346974331547e-06
"ECI2",1091.69826916581,-1.12990680147193,0.187260114075961,-6.03388931512448,1.60059717950128e-09,1.80346974331547e-06
"SERPINE1",506.114823048206,1.58986938366074,0.263941360754126,6.02357045943164,1.70610785505374e-09,1.80346974331547e-06
"ASF1B",506.437521542675,1.04197436273257,0.174385494449664,5.97512061436584,2.29920010297518e-09,2.16293966780291e-06
"CTNNAL1",1081.29762911977,-0.809575554735989,0.135522781301987,-5.97372299297787,2.318994346156e-09,2.16293966780291e-06
"IL1RN",1196.14149496656,1.64289583692932,0.275994264904114,5.95264484028351,2.6384345274767e-09,2.32416765931503e-06
