"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNFRSF6B",616.438915822016,2.97717202457596,0.485552399255909,6.1315154227193,8.70458947502129e-10,9.72949845397273e-06
"CFB",20225.2392035072,1.61066035232051,0.265069441901316,6.07637131148507,1.2293257254372e-09,9.72949845397273e-06
"EPS8L3",160.757519523336,2.42625077137825,0.430321400190706,5.63822940319261,1.71807533094196e-08,9.06513813782678e-05
"CCNB2",203.147691951741,1.24633582674397,0.230770212182034,5.4007656142416,6.63570795624329e-08,0.000262591553098438
"NEK2",551.858932939635,1.40793581451804,0.268058392194867,5.25234745679787,1.50172825555055e-07,0.000475417131142193
"LINC01605",180.579516613654,-1.70320785505886,0.332170085421071,-5.12751728651245,2.93588030755328e-07,0.000774534156471015
"DUOX2",3005.52665940297,1.84849868896732,0.366449455462938,5.0443483034573,4.55069694682595e-07,0.00102904259959011
"CDC20B",3663.0068519499,1.58096529497805,0.319217684485882,4.95262440589495,7.32192159481822e-07,0.00115898696924378
"ANLN",353.098412387711,1.68025016510144,0.337965974679676,4.97165481434627,6.63838231662825e-07,0.00115898696924378
"IGFBPL1",90.1163039873986,1.91088607345486,0.38368520816758,4.98034855860342,6.34698536040048e-07,0.00115898696924378
"RTEL1-TNFRSF6B",1574.17136994037,1.27363854419402,0.260212066449069,4.89461753858871,9.84970940504479e-07,0.00141737318338595
"NCAPH",132.201313301496,1.19439245021193,0.247894567846874,4.8181469266794,1.44897656926955e-06,0.00191132084291397
"IL23A",131.830504674256,1.44263544138135,0.302091400981677,4.77549323381385,1.79267319048976e-06,0.00218278645632787
"KIF20A",249.512679688901,1.23583588178907,0.262677517895576,4.70476457859771,2.541590656232e-06,0.00287363132124974
"CHRM4",71.5073937127687,1.96531737516721,0.420695041638549,4.67159624109801,2.98868005866548e-06,0.00315385444324105
"M1AP",301.323289777181,1.1281770515604,0.243445365341438,4.63421043147853,3.58302382728133e-06,0.00354473026012726
"CEACAM7",137.942069282363,1.3275881479511,0.287578342928728,4.61643993922074,3.90378932932144e-06,0.00363488713493113
"TROAP",94.6289870677217,0.88527774774707,0.195010720063251,4.5396363208132,5.63513384704701e-06,0.00469465966657406
"TACC3",479.77294724415,0.98031679715062,0.215685242521819,4.54512689736502,5.49021675589288e-06,0.00469465966657406
"SULT1E1",172.481714640474,-1.9666384362564,0.435466615406349,-4.51616350525806,6.29700507463265e-06,0.00498376466631801
"BUB1",203.455874035404,1.40138871360985,0.313887360494856,4.46462295073144,8.02098779534045e-06,0.00604591503868781
"MIR6510",453.854027036159,-1.46180111495675,0.32903190847291,-4.44273359912479,8.88231150490991e-06,0.00639082312778268
"FFAR2",239.342547871459,2.15545555365527,0.490296697488806,4.39622694726489,1.10148769124953e-05,0.00740169571760287
"MELK",169.692238920505,1.45189034378875,0.330563322811863,4.39217010356312,1.12224838727948e-05,0.00740169571760287
"TCF7",697.550303405967,0.930747538016377,0.212643664802476,4.37702923753193,1.20307841263669e-05,0.00761741127745046
"KRT15",8167.53997471205,-1.37743648416635,0.316575868306481,-4.35104700663046,1.35488998911282e-05,0.00824867447602568
"CYP26A1",512.043856576824,-1.50169174139132,0.349814672157449,-4.29282091608615,1.7641729582825e-05,0.00967694183571198
"HYLS1",500.402174720685,0.912975907502333,0.212729291673102,4.29172635475743,1.77289350707971e-05,0.00967694183571198
"IDO1",2256.63231026535,1.94395469066712,0.451430652929893,4.3062088895612,1.66076237616234e-05,0.00967694183571198
"CHAF1B",406.184787493978,0.909635177042779,0.212400057574076,4.28265033179447,1.84680275163338e-05,0.00974434691853491
"NETO2",159.691422915011,1.46713793039453,0.343801144821699,4.26740269045761,1.97761988859742e-05,0.0100979823279382
"CDC20",1098.02007834644,1.37399126388447,0.32431087055842,4.23664881019449,2.26880574823885e-05,0.0112227894340227
"SSPN",292.196368760557,-0.987295096413894,0.233944546680579,-4.22020991907077,2.44074937239028e-05,0.0117074611562321
"LCN2",104126.599875568,1.62802540665713,0.387234359699702,4.20423799148313,2.61963191402988e-05,0.0121959275197585
"IL1RN",1196.14149496656,1.76430479282896,0.420959240929498,4.19115349251696,2.77539811094503e-05,0.0125519361994711
"COCH",96.4563851544056,1.63113407826175,0.392173566762221,4.15921473680231,3.19343571570087e-05,0.0126372234859573
"ASF1B",506.437521542675,1.08372878981194,0.260235603752923,4.16441399325541,3.12153266338554e-05,0.0126372234859573
"PLEKHG2",207.361452610864,1.11656097392557,0.267104916374885,4.18023370396696,2.91209655290004e-05,0.0126372234859573
"AURKA",181.426729546566,0.898680615246264,0.215473787191865,4.17071898609203,3.03640110250527e-05,0.0126372234859573
"ATP10B",550.447491290139,1.50854078997432,0.361880716070879,4.16861336617575,3.06458325958552e-05,0.0126372234859573
"CCDC87",93.4116385996152,0.966954697975085,0.23290665690184,4.15168338611555,3.30038647205091e-05,0.0127419066990473
"KIFC1",217.720206734452,0.72643046619904,0.176456783067185,4.11676135976283,3.84233556195737e-05,0.014481030859577
"MRI1",1666.02615480119,-0.459827773884293,0.11198230217564,-4.10625397898206,4.02127323661418e-05,0.0148029614098525
"PXDN",368.291673167643,1.28320721589504,0.313805144770531,4.08918476092347,4.32891946624497e-05,0.0155732877798163
"CDCA8",183.393663366196,0.781700939155538,0.192083290480287,4.06959364971812,4.70952064195548e-05,0.0160338175618116
"DEPDC1",97.2448232655471,1.28387328503407,0.315596632393289,4.06808296811653,4.74015045876876e-05,0.0160338175618116
"SLC26A4",1669.70452240639,2.52337431531271,0.62044049882018,4.0670689939021,4.76081512038123e-05,0.0160338175618116
"LPCAT1",718.161973389185,0.922284148687896,0.227082736653744,4.06144545498496,4.87698136788004e-05,0.0160828620983694
"CCNB1",683.80931129056,0.763771481404649,0.188358331295,4.05488557980723,5.0158849084051e-05,0.0162033555541111
"SOCS2",81.7153284209717,1.34806584390251,0.333501121173194,4.04216285438641,5.29604285527346e-05,0.0167361838348971
"TNFRSF10C",234.666122670023,1.43643460721014,0.356136666745714,4.03338027599326,5.49801983331005e-05,0.0167361838348971
"ERCC6L",52.0207020613716,1.06068016559981,0.262822812013015,4.03572337376589,5.44343220432811e-05,0.0167361838348971
"SPARCL1",225.752517143411,-1.58310798712458,0.39320707994872,-4.0261431389563,5.66991818961837e-05,0.0169337990610319
"TEX30",317.312210786303,0.832035523207057,0.209222408191041,3.97679928455525,6.98490736055726e-05,0.0173035271631737
"C15orf48",1604.74973957779,1.73532870226265,0.436263126575196,3.97771114851152,6.95818259655673e-05,0.0173035271631737
"WDR62",203.030014535699,1.09727813446197,0.275073711195152,3.98903308387584,6.63431692475465e-05,0.0173035271631737
"RRM2",373.681302207805,1.31793997838376,0.331099583776203,3.98049421673263,6.87721380299592e-05,0.0173035271631737
"REM1",295.03351088164,-1.16763925950598,0.291712426182084,-4.00270662031089,6.26219368651493e-05,0.0173035271631737
"APOBEC3A",120.622873686278,1.86170045569406,0.467893306195258,3.97889952911007,6.92349889644514e-05,0.0173035271631737
"POC1A",733.108416129376,1.03387601043347,0.25980030236104,3.97950272204344,6.90595694284017e-05,0.0173035271631737
"USP13",680.715709837888,0.912506651756496,0.227599090039386,4.00927196852407,6.09062364787419e-05,0.0173035271631737
"SLC23A1",2442.80495713395,-1.1520077254292,0.288074699056647,-3.99898959957837,6.36134751041063e-05,0.0173035271631737
"SERPINE1",506.114823048206,1.66094084116348,0.417698003889849,3.9764155578811,6.99618256644838e-05,0.0173035271631737
