"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA10",122.921680579237,4.52045727286681,0.76478409748895,5.91076264230524,3.40527422149285e-09,5.38476012644665e-05
"ARHGAP40",268.425471201759,6.93511480194945,1.2126444103486,5.71900117030662,1.07152057123762e-08,8.47197739649021e-05
"CEACAM21",428.511910831438,8.31912087123604,1.47404367695181,5.64374109214946,1.66394242613507e-08,8.77064052815797e-05
"SERPINB2",2822.34990799282,9.26333994315904,1.72136218977667,5.38140084531591,7.39084105198024e-08,0.000292178423887409
"THBS1",997.487774222221,5.39203088706142,1.06258473820011,5.07444789409912,3.88622701037542e-07,0.00102421512858444
"CD274",353.270725207911,3.95242820264907,0.774177044184042,5.10532859678732,3.30220187945508e-07,0.00102421512858444
"CDH26",5618.07482010701,4.95729903569881,0.995430689511638,4.98005445073316,6.35663858676015e-07,0.0013687754073236
"ADAMTS9",101.823178002853,5.62203261659453,1.13268405092434,4.96346056255192,6.92481076240361e-07,0.0013687754073236
"CD44",5490.84241906023,3.37208907964354,0.714882872587382,4.71698121321457,2.39369784207256e-06,0.00389110012093119
"NTRK2",300.522862801005,8.0843985962845,1.71593752685646,4.71135951615608,2.46069697143565e-06,0.00389110012093119
"SCG2",91.2886231846801,-3.90091225344748,0.831948651616508,-4.68888584153344,2.74696570996996e-06,0.00394888807015954
"CX3CR1",95.5786823983806,-5.09741719249428,1.13225092600823,-4.50202077596464,6.73104000092254e-06,0.00886982796121568
"SERPINB10",531.220558794699,7.76165346890068,1.74942732728565,4.43668242049436,9.13559191475704e-06,0.0111123934575425
"TLR4",362.792267661971,3.87125177178284,0.899697894548128,4.30283520195095,1.68626276744592e-05,0.0190463379583017
"NOS2",7937.41236248857,7.50798914295578,1.75819922267307,4.27027213192658,1.95234602000175e-05,0.0191639154263368
"SLC13A2",622.280247459886,-4.17993745951562,0.978605254183386,-4.27132129287784,1.94318210605345e-05,0.0191639154263368
"KIF1A",129.826505575486,-6.02165159295931,1.41411092801324,-4.25825971193042,2.0602451289934e-05,0.0191639154263368
"MUC2",10601.5159436153,7.0926214438012,1.69151594969035,4.19305620210058,2.75221221746945e-05,0.0241781843304691
"BPIFA1",31673.0621496582,-9.01876499516223,2.17350421177493,-4.14941224696192,3.3333003880343e-05,0.0263547395179932
"TMEM45A",1375.23901194853,-6.29615534853859,1.51735394501852,-4.14943090187288,3.33302877080089e-05,0.0263547395179932
"HSD17B2",120.621488225433,-5.5836802983747,1.35938048154249,-4.10751836898446,3.99932980304957e-05,0.0301149534169633
"CISH",459.947583419369,3.58280923270411,0.87755258648557,4.08272881634658,4.45099515787609e-05,0.0306015593180411
"TTPA",65.8003738453199,3.05552744539484,0.747323443312726,4.08862785282145,4.33932358625188e-05,0.0306015593180411
"FKBP5",1809.1378603838,5.16494802314394,1.27425833621797,4.05329741728325,5.05007324319585e-05,0.0332736700811066
"SLC39A8",506.701104219694,3.36626124975508,0.835064687586375,4.03113830556617,5.55073667326378e-05,0.0351095196057281
"PLXDC1",119.123692407206,-2.88865908877341,0.722764929962334,-3.99667854515844,6.4237436052497e-05,0.0375083376744367
"STOM",12733.2663543329,2.04551867090153,0.510663949254967,4.00560617973099,6.18586384709442e-05,0.0375083376744367
"ITM2A",353.356483735015,-3.88579502233305,0.974182945542475,-3.9887734024837,6.64158258954169e-05,0.0375083376744367
