"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEZ1",180.348163736472,-1.74362782225325,0.293828995204082,-5.93415847555206,2.95356443756933e-09,4.68317177220993e-05
"DUOX2",2636.62143252303,-1.98049280928889,0.384889019573596,-5.1456204478969,2.66638051577135e-07,0.0015435411309527
"OLFM1",63.3693855443057,-2.06105604138181,0.401881932872826,-5.12851131835783,2.92042343141908e-07,0.0015435411309527
"TNFRSF6B",672.191037016485,-2.92497565132225,0.602651479998524,-4.85351110616937,1.21294545630451e-06,0.00466990168707245
"LY6D",1686.28585044266,-2.61301258046694,0.542690893639405,-4.81491878911676,1.47259765611518e-06,0.00466990168707245
"CD177",1365.58932423572,-3.35679555687789,0.729655233467729,-4.60052282627307,4.21431833857295e-06,0.0111370385960688
"ZSCAN5A",523.886479580068,-0.516170467236506,0.114907024397035,-4.49207061052242,7.05340282683326e-06,0.0159769650317526
"PDZK1IP1",2579.74663467901,-1.61308015624549,0.373636629090094,-4.31724309303876,1.57990129021904e-05,0.0278343498419034
"C15orf26",2793.51064474009,-0.489559481992066,0.113329256441291,-4.31979788242657,1.56172170815639e-05,0.0278343498419034
"TTPA",64.8471625874281,1.07808516712901,0.251201857304362,4.29170858328002,1.77303543360199e-05,0.0281132498351932
"CES3",803.445039935193,-1.21897791416837,0.288433442801206,-4.22620172726818,2.37668945722093e-05,0.03425889821245
"CD200R1",421.158391828167,1.78035317454046,0.428281910242814,4.15696561531419,3.2250250733269e-05,0.0426133313022262
"PRSS30P",41.1734651039785,-1.11650326407592,0.273526768782324,-4.08187933139533,4.46729908904441e-05,0.0482953833232105
"RTEL1-TNFRSF6B",1600.51035785205,-1.27791359959746,0.313471083007302,-4.07665545203635,4.56881148996063e-05,0.0482953833232105
"SLC6A20",397.654214895033,-1.30592419236872,0.320204393073967,-4.07840810624686,4.53451185409221e-05,0.0482953833232105
"MPPED2",53.6381045824478,0.966075721829267,0.241528185666673,3.99984672249607,6.33835225713855e-05,0.0591181843465817
"RNF128",267.340279915479,0.783028079814934,0.195603585335177,4.00313766474768,6.25079044912743e-05,0.0591181843465817
"SLC16A9",1890.65354539093,0.999129616298561,0.251611383866247,3.97092373542877,7.15944968556051e-05,0.063066796785693
"CCNA1",1007.06787181712,-1.29022915934378,0.327469524884512,-3.93999765260234,8.14824064172184e-05,0.0635930324710831
"KCNJ16",758.86570591455,1.43452110885445,0.363146611004992,3.95025332849582,7.80685195660093e-05,0.0635930324710831
"ADAMTS9",100.406661492982,1.5234743621392,0.38745021540953,3.93205191673182,8.42238699478271e-05,0.0635930324710831
"TMEM254",5465.18298331103,-0.38520504567213,0.0992531995005744,-3.88103403830222,0.000104013280605029,0.066926658520813
"CSF3",811.121529106534,-2.69538923163432,0.695130584097968,-3.87752933519962,0.000105522607405419,0.066926658520813
"SLC24A3",122.33462690524,1.39073617029047,0.356842678750096,3.89733698660083,9.72562445027542e-05,0.066926658520813
"LCN2",116193.128912299,-1.80750339412606,0.465586099616879,-3.8822108211852,0.000103511075798181,0.066926658520813
"RND1",113.809631058547,-1.44447896027277,0.375227365595887,-3.8496098438312,0.000118306120262536,0.0695674320404636
"IL17RB",125.323351345141,0.858729257965188,0.223225465574628,3.84691439999753,0.000119614736544754,0.0695674320404636
"ADRB2",624.624283949161,-0.943763879542763,0.246301142699065,-3.83174787254588,0.00012723609543223,0.0695674320404636
