"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LY6D",1650.59085994635,1.11967920395908,0.251196884043124,4.45737696239441,8.29686289611014e-06,0.131555058080722
"GZMB",423.106652964942,0.75468073183716,0.19459710375672,3.87817042118284,0.000105244983340253,0.834382227921529
"WASH7P",1195.58225107647,0.0853313719183935,0.0691662102829333,1.23371472239601,0.217309225943767,0.950646316099776
"MIR6723",7347.85383803243,0.331172453854905,0.453904995898126,0.729607421922346,0.46563018422599,0.950646316099776
"LINC00115",51.7165224552454,0.0750757308045319,0.117628033542828,0.638246925867355,0.523312954896369,0.950646316099776
"LINC01128",349.893065822149,0.0842709221034395,0.0626544442206071,1.34501108663131,0.178621654332791,0.950646316099776
"NOC2L",4991.07299947672,0.0686014040067444,0.0790910399938058,0.86737263806516,0.385737868843647,0.950646316099776
"KLHL17",309.864635748374,0.0463773973686257,0.0739570519844601,0.62708553307899,0.530603169665377,0.950646316099776
"PLEKHN1",99.5697250437098,0.145518659775626,0.123301424858953,1.18018635990693,0.237926102835083,0.950646316099776
"ISG15",4953.10659775756,0.798402196241414,0.229593719972061,3.4774565974129,0.000506194996212713,0.950646316099776
"C1orf159",755.869994842515,0.0365624870941029,0.0691741973423971,0.528556723443088,0.597112988056608,0.950646316099776
"MIR429",128.903834932016,0.0804584688319124,0.0963931922267807,0.834690365296968,0.403892067772832,0.950646316099776
"TNFRSF18",420.995136604042,0.107411147851261,0.152535032934092,0.704173630051736,0.481324650938276,0.950646316099776
"SDF4",7804.7806949455,0.0917227179518615,0.0826561922326123,1.10968961277256,0.267132800449507,0.950646316099776
"UBE2J2",3126.11603284348,0.0775763088967983,0.081725174707239,0.949233931584692,0.342501647493245,0.950646316099776
"ACAP3",1426.01362132537,0.0557786639823229,0.0705855312556189,0.790228011181578,0.429394620067117,0.950646316099776
"PUSL1",1328.55362595583,0.0533127204829117,0.103298370332873,0.516104177743701,0.605781650242782,0.950646316099776
"CPSF3L",6660.93316416171,0.119890974991886,0.0863927286526798,1.38774381665704,0.165215068437163,0.950646316099776
"CPTP",3024.46741310555,0.0709510593311071,0.106467345960218,0.66641145875486,0.505148140280365,0.950646316099776
"MXRA8",94.2282828349406,-0.178522830322553,0.111999331367107,-1.59396335802576,0.110944242125595,0.950646316099776
"AURKAIP1",5830.16778020083,0.102226551255761,0.125878816633934,0.812102893793833,0.416732592850038,0.950646316099776
"CCNL2",3660.20518614826,-0.0473459918889748,0.0606922066006414,-0.780100025041344,0.435332001722689,0.950646316099776
