"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LY6D",1650.59085994635,1.09366418670282,0.244569157694075,4.47179929396844,7.75642079245659e-06,0.122985808085192
"WASH7P",1195.58225107647,0.029060380427593,0.0694837767502491,0.418232597402512,0.675777064744905,0.99912042871117
"LOC729737",585.197313186771,-0.026413106265699,0.120802465220312,-0.218647079904606,0.82692497554632,0.99912042871117
"LOC100133331",972.881904424809,-0.0425954311199171,0.0940969464886003,-0.452676018823602,0.650782050327134,0.99912042871117
"MIR6723",7347.85383803243,-0.304282446187801,0.447830279620184,-0.679459295262194,0.496846890409016,0.99912042871117
"LOC100288069",288.256246920126,-0.0295822238112765,0.12944873558646,-0.228524625422225,0.819238414233029,0.99912042871117
"LINC01128",349.893065822149,0.0363894048390155,0.0632993545464229,0.574877976241101,0.565373825767532,0.99912042871117
"NOC2L",4991.07299947672,0.0579389131231846,0.0782633363041992,0.740307222503059,0.459113599490937,0.99912042871117
"KLHL17",309.864635748374,0.0440685428900761,0.0731853364545793,0.602149898121001,0.5470743624212,0.99912042871117
"PLEKHN1",99.5697250437098,0.094175569347911,0.123248308348392,0.764112470263691,0.444800221562531,0.99912042871117
"ISG15",4953.10659775756,0.559479476796732,0.237201279644098,2.35866972402589,0.018340570789519,0.99912042871117
"AGRN",19225.8700842904,0.0730785514148079,0.09771495634642,0.747874779329882,0.454535691401604,0.99912042871117
"RNF223",101.081349008799,0.0940362919914347,0.114906742915433,0.818370529052778,0.41314564456045,0.99912042871117
"MIR429",128.903834932016,0.101684034709473,0.094409507775815,1.07705290605827,0.281456630577934,0.99912042871117
"TNFRSF18",420.995136604042,0.0569133621780941,0.151125870025476,0.376595761986348,0.706474037733017,0.99912042871117
"SDF4",7804.7806949455,0.0656161834212886,0.082194776665511,0.798301134004069,0.424695760126172,0.99912042871117
"UBE2J2",3126.11603284348,0.0588530719589101,0.0810491962191316,0.726140106310122,0.46775288451489,0.99912042871117
