"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SERPINB7",1074.71018195585,-0.713446288036867,0.158185020785052,-4.51020131044092,6.47661345953067e-06,0.102693183014318
"ADGRG3",283.629656745739,1.14657843083135,0.270946371070798,4.23175415230696,2.31875783605274e-05,0.102895349907737
"HSD17B2",130.874149728496,-0.887480735334081,0.207552748336672,-4.27592861306994,1.9034221352631e-05,0.102895349907737
"CXCR1",359.037704186735,1.2325821351173,0.293031717676254,4.2063096271342,2.59574545680468e-05,0.102895349907737
"GZMB",423.106652964942,0.822011281502188,0.198092025150813,4.1496434845187,3.32993503227262e-05,0.105598899743429
"KRT6A",1395.22952530018,1.03929473726663,0.259634560040719,4.00291369956156,6.25671296998861e-05,0.124008051065174
"IL1R2",349.326591426393,1.13144295712747,0.281444508484839,4.02012802885587,5.81665222953005e-05,0.124008051065174
"LY6D",1650.59085994635,1.08149606115807,0.269530483716755,4.01251853313407,6.00743609132812e-05,0.124008051065174
"ADORA3",68.8874905467498,0.508655143274773,0.128298252794582,3.96463032188896,7.35097783359134e-05,0.127864644436594
"FPR1",1333.86629461028,1.04959290120603,0.266226120863246,3.94248655166777,8.06411733328671e-05,0.127864644436594
"APOBEC3A",134.906962552534,1.07324975466767,0.277402660673375,3.86892379497167,0.00010931679883724,0.140779120253561
"AMACR",1004.91067570312,-0.233531345558589,0.0599778979266355,-3.89362337846923,9.87579374322841e-05,0.140779120253561
"C1QTNF3-AMACR",946.51276473029,-0.220460075252877,0.057178424040105,-3.85565147962535,0.000115421831691239,0.140779120253561
"TMIGD3",40.2549594474126,0.636917179864238,0.167474609896656,3.80306710526009,0.000142915622562483,0.161862150810766
"CXCR4",1080.74001493201,0.793487251055799,0.216926812281513,3.65785696433904,0.000254332906433665,0.26884683762748
"FFAR2",215.276370216961,0.984763799443219,0.277034909908065,3.55465598097373,0.000378473942039371,0.353004872057428
"LILRA5",144.109228876384,0.90464692803925,0.254442912911173,3.55540234030832,0.000377401112146467,0.353004872057428
"ISG15",4953.10659775756,0.812233766965373,0.232989356048037,3.48614108705425,0.000490042478617706,0.409010048365876
"CSF3R",1318.8798709913,0.910923543679346,0.263412801439475,3.45815973521944,0.000543878813315642,0.409010048365876
"C17orf53",94.0968417703176,0.410399234876065,0.1190704880714,3.44669146421885,0.000567496283050535,0.409010048365876
"APOBEC3A_B",125.920885869952,0.755418558176414,0.218644203118562,3.45501297268229,0.000550266345476726,0.409010048365876
"SPP1",234.731276758254,0.992839011754188,0.285035094587688,3.48321673578602,0.000495427100043216,0.409010048365876
"SEMA4G",924.591519196713,0.374218135748368,0.109330855333984,3.42280442794677,0.000619786525323953,0.427275441110287
"CMTM2",60.6513272063559,0.718130152339284,0.214009464907753,3.35559996212704,0.000791930305940341,0.523201955457918
"TNFRSF10C",213.796875418399,0.682543904911649,0.206873493834896,3.29932990572673,0.00096915940611981,0.614679661737428
"LOC254896",56.9616039181536,0.714064507431232,0.21869776803409,3.26507450830465,0.00109435285758846,0.667386881150869
"NPNT",773.849955238128,-0.298300530434634,0.0922689428666927,-3.23294622401396,0.00122520623820276,0.719513707886776
"IFI6",15859.9890110605,0.610685338138011,0.192353196770406,3.17481252399943,0.00149933336875616,0.742919684218678
"HCAR3",1119.74840439621,0.621680776769962,0.195632344206305,3.17780160173497,0.0014839625792755,0.742919684218678
"SLC7A5",392.380066800666,0.500275287893001,0.157331803454763,3.17974673211474,0.0014740382249646,0.742919684218678
"SOCS3",1590.31392548769,0.678270872021878,0.211723551121698,3.20356837219309,0.00135735805808603,0.742919684218678
"FGFBP1",866.175675095156,0.629199929251084,0.197871525736992,3.1798406916183,0.00147356038122192,0.742919684218678
"IFITM1",8574.68697551632,0.590573711267136,0.187696736305544,3.14642504122056,0.0016527962148641,0.77078637596721
"SOCS1",262.666539034487,0.523106404656859,0.165927884079517,3.15261300147823,0.00161816177239075,0.77078637596721
"AMY1A",2423.22344885919,-0.479044388552981,0.153648435308961,-3.11779542427298,0.00182209231698454,0.780840426435321
"AMY1C",2420.18765599454,-0.47900674604379,0.15356967881907,-3.11914923393269,0.00181374072358243,0.780840426435321
"AMY1B",2419.88382928643,-0.479938805295236,0.153577779558336,-3.12505368078287,0.00177772615107648,0.780840426435321
"CIT",705.490991051022,0.328367903596727,0.10658670681445,3.08075850554573,0.00206474037229308,0.861540087975765
