"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEC16B",416.27258627564,-0.583839818876866,0.125783310748689,-4.64163183018262,3.45668371052827e-06,0.0315958174560836
"CYP2A6",3124.2886908967,1.28135586836658,0.270027605405299,4.74527730764164,2.08220878554011e-06,0.0315958174560836
"XDH",3286.71765663759,-0.831979086049271,0.192376846746966,-4.32473605903093,1.52714596574468e-05,0.0930591846659281
"AC013264.1",331.878646482677,1.39558766657293,0.349993466807299,3.98746776419491,6.67822749116438e-05,0.203474461276627
"CST1",9163.50501317852,2.66581500205034,0.664417845756587,4.01225677346868,6.01410314684932e-05,0.203474461276627
"CDH26",3215.7457043366,1.21770173933499,0.299881772969748,4.06060604242802,4.89455002611653e-05,0.203474461276627
"TNRC6C-AS1",573.659841437593,-0.45271940820951,0.114865089606641,-3.94131419528651,8.1036394879495e-05,0.211632333541721
"CRYZL2P-SEC16B",555.624971659299,-0.442723208665639,0.117707260657331,-3.76122259742748,0.000169084871783408,0.258261970541193
"CCL26",186.372893971614,1.37675775052101,0.36610369171069,3.76056778910873,0.000169528124637291,0.258261970541193
"DUOX2",48212.1174961087,-0.857335728926343,0.227379905006286,-3.77049910766143,0.000162921385127871,0.258261970541193
"CCL3",682.121946462075,1.95625264331058,0.515569427553258,3.7943534638863,0.000148028673471565,0.258261970541193
"GJB1",201.36122335967,1.00862158303716,0.267939019988264,3.76436990432128,0.000166969567487437,0.258261970541193
"PTHLH",239.036267802527,1.23723682790002,0.332720509466062,3.71854692662468,0.000200372072583452,0.281769373761391
"ESYT3",157.184285970139,-0.727524390921726,0.198069136601303,-3.67308306284071,0.000239641543002801,0.282263033603351
"AC069257.3",768.063180254918,0.510411707616189,0.139837407096753,3.65003698375954,0.000262202553561613,0.282263033603351
"ATP6V0D2",33.8637169332524,-0.80202347435243,0.21795489478348,-3.67976812426798,0.000233446124553523,0.282263033603351
"AC243829.4",516.754377955804,1.86035060757478,0.509718428699853,3.64976132473768,0.000262484085731468,0.282263033603351
"ACBD3-AS1",593.199295839377,0.476515818119647,0.133752225878875,3.5626757983914,0.000367093919797667,0.361390993225689
"AC104532.1",9417.26260815059,1.18079006316542,0.333259693195905,3.5431529443055,0.000395373331027503,0.361390993225689
"CEACAM7",789.169737437029,-1.17378020425672,0.331032599792966,-3.5458145360633,0.000391401571524424,0.361390993225689
"TCTEX1D4",902.600377733516,1.09648229320679,0.312206154988371,3.51204572903962,0.000444671479553091,0.377913560697654
"SLC9B2",505.153136009313,0.512513853251325,0.146179474607842,3.50605893629221,0.000454794504422536,0.377913560697654
"TNNC1",249.530826254727,0.988705506367641,0.294647259198512,3.35555643401225,0.00079205494455307,0.402209901149296
"LINC02265",137.137238788118,1.10698473928695,0.326907392830166,3.3862334213471,0.000708590837094737,0.402209901149296
