"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CYP2A6",3124.2886908967,0.65864095101207,0.132608745292703,4.96679875492581,6.80671587032089e-07,0.0123807354965267
"SEC16B",416.27258627564,-0.294724192147955,0.0623852340820683,-4.72426202264855,2.30952485688916e-06,0.0210039738109784
"XDH",3286.71765663759,-0.422327081677065,0.0954282055533045,-4.42560015907625,9.61745198415861e-06,0.0583106113799537
"AC013264.1",331.878646482677,0.711875897395602,0.173778778777801,4.09644895885606,4.19535934685862e-05,0.190773477900028
"CRYZL2P-SEC16B",555.624971659299,-0.224549190386627,0.0583993934373576,-3.84506031946189,0.000120522787686208,0.2455495597315
"CCL26",186.372893971614,0.694066685280118,0.181828231117259,3.81715579046975,0.000134998933273682,0.2455495597315
"TNRC6C-AS1",573.659841437593,-0.221667571548093,0.0573641309048225,-3.86421912180418,0.000111445145952553,0.2455495597315
"CDH26",3215.7457043366,0.598347307264063,0.150282115959283,3.98149376221305,6.84835186982831e-05,0.2455495597315
"SPIN4",750.509762758709,-0.286593501984886,0.0747670463400002,-3.83315265232778,0.000126511391374415,0.2455495597315
"GJB1",201.36122335967,0.5164541901686,0.132141561185707,3.90834030969857,9.29323422568355e-05,0.2455495597315
"TCTEX1D4",902.600377733516,0.558556968962141,0.154922268895514,3.60540142449666,0.000311670782199123,0.295024947610225
"ACBD3-AS1",593.199295839377,0.243446319495477,0.0661795081472635,3.678575533589,0.000234540233164479,0.295024947610225
"AC069257.3",768.063180254918,0.252475023696702,0.0697803487080863,3.61813932390746,0.000296728655902596,0.295024947610225
"PLA2G7",128.214530969412,-0.602873160069646,0.16302082623459,-3.69813583941784,0.000217188657645755,0.295024947610225
"ATP6V0D2",33.8637169332524,-0.396740298077147,0.108430004096805,-3.65895308574315,0.000253247690661866,0.295024947610225
"PTHLH",239.036267802527,0.605874755946538,0.166678810245718,3.63498368540882,0.000277998227645329,0.295024947610225
"HSD11B1L",292.865702016812,0.412696574324324,0.11359093078546,3.63318243340911,0.000279946937837238,0.295024947610225
"AC104532.1",9417.26260815059,0.612552428132521,0.164981454175614,3.71285627947303,0.000204933273652822,0.295024947610225
"CAPS",31654.502506243,0.594326550812439,0.16532060531784,3.59499379807985,0.000324399304645913,0.295024947610225
"TFF3",11289.000377381,0.559047656343863,0.150958783875165,3.70331319578042,0.000212801894199853,0.295024947610225
