"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CYP2A6",3124.2886908967,0.655772137981781,0.132617744013995,4.9448295388932,7.62105207976156e-07,0.0139808200403226
"SEC16B",416.27258627564,-0.292371382675436,0.0623814048773739,-4.68683549609318,2.77461810491952e-06,0.0254501845673743
"XDH",3286.71765663759,-0.40092829609766,0.0963654910034875,-4.16049658360741,3.17556367488221e-05,0.194185718719047
"AC013264.1",331.878646482677,0.691192551978421,0.174240090340601,3.96689734622664,7.28143353221418e-05,0.267155796296938
"CDH26",3215.7457043366,0.600016363337246,0.149883696092472,4.00321301769247,6.24879901422279e-05,0.267155796296938
"TNRC6C-AS1",573.659841437593,-0.2237688641678,0.0571212240748345,-3.91743818155297,8.94949858822386e-05,0.273630919334944
"CRYZL2P-SEC16B",555.624971659299,-0.223576910362024,0.0583116929606501,-3.83416942658307,0.000125989282345443,0.315858131422798
"CCL26",186.372893971614,0.693034393061527,0.181794330923067,3.81218924453046,0.00013774134921681,0.315858131422798
"PLA2G7",128.214530969412,-0.60297244076496,0.162594352803103,-3.70844639047914,0.000208534797784362,0.382557086535412
"GJB1",201.36122335967,0.494818443659058,0.133345129246609,3.7108100344928,0.000206597099802334,0.382557086535412
"ATP6V0D2",33.8637169332524,-0.39865450261197,0.108271036565964,-3.68200504267907,0.000231406832465688,0.385923485598459
"PTHLH",239.036267802527,0.60437416231485,0.166430526682026,3.63139007226443,0.000281898729345757,0.408751944302834
"SPIN4",750.509762758709,-0.272841006870923,0.0752794062147055,-3.62437777594512,0.000289657959985655,0.408751944302834
"TCTEX1D4",902.600377733516,0.549159095346285,0.155031938783633,3.54223200493356,0.00039675634931582,0.42611144303831
"ACBD3-AS1",593.199295839377,0.234914094267629,0.0665782943784278,3.52838859061766,0.000418097899955824,0.42611144303831
"TNNC1",249.530826254727,0.511432053848416,0.14490115031053,3.52952376673611,0.000416308310042095,0.42611144303831
"AC104532.1",9417.26260815059,0.590428860462932,0.16555310888403,3.56640152784161,0.000361916714387589,0.42611144303831
"TFF3",11289.000377381,0.544987603602199,0.151697099295082,3.59260398606625,0.000327389941115755,0.42611144303831
"ESYT3",157.184285970139,-0.342243191356171,0.0997678036834981,-3.43039716943052,0.000602698363471872,0.44226005911566
"AC069257.3",768.063180254918,0.242892671857472,0.0702037269569031,3.4598258865456,0.000540524772161858,0.44226005911566
"LFNG",1534.68602592862,0.43587625942161,0.126752007332274,3.43881149178951,0.000584273931308095,0.44226005911566
"TYW1B",155.886376668873,-0.344727826837744,0.0988276524333804,-3.48817176518611,0.000486335542592674,0.44226005911566
"HSD11B1L",292.865702016812,0.398206167452215,0.114209177674857,3.48663895108213,0.000489131213965543,0.44226005911566
"CAPS",31654.502506243,0.570023625019261,0.165974903093717,3.43439649244681,0.000593874831768066,0.44226005911566
"CEACAM7",789.169737437029,-0.572009807997664,0.165034257678589,-3.46600648885686,0.000528250530557642,0.44226005911566
"LINC02265",137.137238788118,0.552812258619033,0.162227939364861,3.40762670587661,0.00065530476269705,0.445243180432496
"TNS3",627.891837738564,-0.237482749546279,0.0694958508319225,-3.41722198812469,0.000632636714959546,0.445243180432496
"CD164L2",1257.35526491164,0.532699925217373,0.15834082180162,3.36426146559208,0.000767487957843915,0.450223717385016
"ANKRD36B",1517.36066205963,-0.391985406553529,0.117174694085179,-3.34530770158085,0.000821913314166615,0.450223717385016
"COL6A3",91.9126465109717,-0.394917151528441,0.118199242538206,-3.34111406340688,0.000834429348110686,0.450223717385016
"CCDC153",689.497559308246,0.475355429920306,0.142043750905721,3.34654236380884,0.000818261752811087,0.450223717385016
"DUOX2",48212.1174961087,-0.385590652269153,0.114573584470776,-3.36544111847618,0.00076421376085343,0.450223717385016
"CCL3",682.121946462075,0.881181207861197,0.260173085990211,3.38690377795016,0.000706861747165764,0.450223717385016
"B3GALT5",5174.78587062814,-0.393549037219002,0.116331073280476,-3.38300873636873,0.000716963515191785,0.450223717385016
"AC105446.1",183.479231793721,0.579727959210621,0.174143866124547,3.32901739298703,0.000871529615643411,0.456806022827953
"FAM183A",1410.8721924796,0.592234614720514,0.188833527411651,3.13627893752926,0.00171106377812851,0.484202873697158
"ANKRD36",2152.06733592309,-0.400388196689022,0.125441188638728,-3.19183994534797,0.00141369645997852,0.484202873697158
"IGFBP2",7583.24184942451,0.354326643038691,0.113138397571117,3.1317983164466,0.0017373918020356,0.484202873697158
"SLC9B2",505.153136009313,0.237915428758781,0.0737754925647783,3.22485720511971,0.00126035515962404,0.484202873697158
"SLC23A1",166.421290397876,0.371464850578209,0.117150078270336,3.17084594447315,0.0015199572840399,0.484202873697158
"ZSCAN31",1010.41101001154,-0.224160002246474,0.071872037905801,-3.11887639168196,0.00181542103980462,0.484202873697158
"GNMT",88.9493711603687,0.377676995766766,0.116240771904453,3.24909228989985,0.00115773909783141,0.484202873697158
"LCAL1",104.278458524862,-0.45564908008612,0.138908778029679,-3.28020364550876,0.00103732181266679,0.484202873697158
"METTL27",383.216624105836,0.426333072748367,0.134065159925279,3.18004374131193,0.00147252823209621,0.484202873697158
"MUC12",279.607715494886,0.530672616447916,0.165376488150593,3.20887583466329,0.00133255024683362,0.484202873697158
"ADAMDEC1",155.600898197393,-0.427130293355544,0.136983407947522,-3.11811700231007,0.0018201053219725,0.484202873697158
"SORBS1",322.940829796163,-0.268799183958211,0.0822114051824318,-3.26960940956708,0.00107696079742143,0.484202873697158
"SCGB2A1",1390.13858046144,0.401874498094567,0.127964230210132,3.14052213993429,0.00168646959731011,0.484202873697158
"ACAD8",3613.85986513748,-0.214900299638807,0.0667913183950403,-3.21748851202142,0.00129318205660346,0.484202873697158
"A2M",1072.50222165572,-0.309159958076018,0.0981979135698527,-3.14833530405001,0.00164203223734281,0.484202873697158
"CPM",1672.35477504402,-0.305220453268493,0.0962434440716519,-3.17133760343469,0.00151738683006386,0.484202873697158
"WASF3",119.199138524634,-0.265831019243575,0.0843578102245254,-3.15123186028707,0.00162583369491383,0.484202873697158
"CRIP1",6439.36449682651,0.36338530624607,0.115612895431125,3.14312088535618,0.00167156791650246,0.484202873697158
"AL928654.3",6390.43714233843,0.359478968506507,0.11313505854455,3.17743211636694,0.00148585469453445,0.484202873697158
"DUOXA2",10713.0200469752,-0.402167364931062,0.125714335053196,-3.19905732914934,0.0013787774823109,0.484202873697158
"CIB1",13026.2195552053,0.254778993942995,0.0812837357122684,3.13444001694106,0.00172182451900926,0.484202873697158
"HAGHL",1033.10481711719,0.321094779892397,0.0986675237730454,3.25431071556004,0.0011366788091033,0.484202873697158
"CD19",155.943862988888,0.456220685186993,0.145200674739982,3.14200113741875,0.00167797384019342,0.484202873697158
"HP",111.244419506962,-0.528294952742471,0.162794751961795,-3.24515960358754,0.00117384811764409,0.484202873697158
"AC012146.1",56.8466321574517,0.447834909013654,0.136376339305249,3.28381676246106,0.00102411484460896,0.484202873697158
"AC243829.4",516.754377955804,0.834546181279891,0.2570864557081,3.2461693829077,0.00116969222541236,0.484202873697158
"CCDC200",203.948308074711,-0.204183697250081,0.0639519074245818,-3.19276946494323,0.00140915398414392,0.484202873697158
"AC018761.4",358.794302955619,0.447543881607003,0.138111265767807,3.24045890911907,0.00119337470532918,0.484202873697158
"FOXA3",641.926258034468,0.441550605296506,0.141169683493828,3.1278004906472,0.00176119686514371,0.484202873697158
"C20orf202",36.5208289352797,-0.340764587022982,0.106352781477954,-3.20409661399987,0.00135487002722334,0.484202873697158
"B3GALT5-AS1",336.225484884021,-0.432957058593014,0.132841477205857,-3.2592008738512,0.00111726530292938,0.484202873697158
"AL021707.2",611.687875735534,0.280560559059739,0.0891010163921825,3.1487919040658,0.00163946895113791,0.484202873697158
"AC097625.2",314.186647331814,-0.248667607474786,0.079753838389409,-3.11793905467762,0.00182120459444556,0.484202873697158
"SPIN4-AS1",55.8694179627261,-0.293183937231847,0.0905759789834281,-3.23688400083965,0.00120842521870955,0.484202873697158
"PTGER2",230.711454118772,0.329166936633808,0.105883030660353,3.10877894768328,0.00187862214653755,0.492333189689019
"UFC1",4200.37914892911,0.193113727175886,0.0623158571389748,3.09895002720111,0.00194207774418444,0.501794594606529
"COL6A6",805.577457614477,-0.491234254186525,0.159385470468244,-3.08205166219588,0.00205579154837608,0.516623232259716
"LRRC73",465.973298958201,0.470270466562186,0.152419772693718,3.08536391474075,0.00203303234883967,0.516623232259716
"CATIP-AS1",292.335841441951,0.495608915047779,0.161234881461625,3.07383185669869,0.00211328503072263,0.516909518514756
"GPNMB",2924.29984045281,-0.315162871054968,0.102476606167629,-3.07546163794137,0.00210176964131202,0.516909518514756
"TTLL10-AS1",485.267690874721,0.448114662960373,0.151223194147957,2.96326674942428,0.00304392658883729,0.525229434341223
"DCDC2B",882.080659905957,0.424434938368644,0.138551612351648,3.06337061810162,0.00218858821265114,0.525229434341223
"AL592166.1",839.673833051396,0.20143442161593,0.0676266746272991,2.97862378604398,0.00289546047819253,0.525229434341223
"CCDC17",4642.83284575474,0.44891078779456,0.151694777140556,2.95930285970632,0.00308335911295552,0.525229434341223
"DIO1",56.6687965449739,0.418959237340803,0.140749598437236,2.97662829587133,0.0029143711523394,0.525229434341223
"PPOX",2172.00002267328,0.351430472329317,0.116084634948154,3.02736423719015,0.00246696501772337,0.525229434341223
"LINC02159",252.742973091861,-0.349818129923013,0.11768361153915,-2.97253054480434,0.00295355820317035,0.525229434341223
"HIST1H3E",151.252708651617,-0.324831826591552,0.108519934180036,-2.99329177672236,0.00275985760469849,0.525229434341223
"HIST1H2BH",123.944059216823,-0.335686839713461,0.110770598354235,-3.03046877692185,0.00244174431798448,0.525229434341223
"LY6G5C",203.744744710602,0.295441400196206,0.0966080895747921,3.05814348981077,0.00222712905906803,0.525229434341223
"VNN1",934.602651954353,-0.425420775905512,0.143799538809666,-2.95842934843207,0.00309211114248308,0.525229434341223
"DYNLT1",7229.95630428017,0.199411073555618,0.0670096083094558,2.9758579192811,0.00292170189477107,0.525229434341223
"GADD45G",550.906609089462,0.283758048151421,0.0937359407124734,3.02720649085737,0.00246825286052569,0.525229434341223
"PRKCQ-AS1",32.8955554915391,-0.284084673438311,0.0959622755689166,-2.96037866707623,0.00307261124882042,0.525229434341223
"CFAP73",2788.34864886009,0.366505005858626,0.122990179863472,2.9799534098208,0.00288292227474401,0.525229434341223
"AL161772.1",83.5808762813919,-0.245888180510242,0.082074695568773,-2.99590731109327,0.00273629593071371,0.525229434341223
"AL159978.1",53.0501529720323,-0.287583260420495,0.0965864731552256,-2.97746931869347,0.00290638732530199,0.525229434341223
"AL357093.2",2306.83558133011,0.494980655122779,0.162622402600678,3.04374211183075,0.00233655342950368,0.525229434341223
"NGRN",4770.0133963594,0.155446619647371,0.0509048267265438,3.05367152082485,0.00226059453488303,0.525229434341223
"NHLRC4",932.561323892734,0.584227696351628,0.194686714096495,3.00086063429094,0.00269217750219474,0.525229434341223
"SMIM22",2339.81082150805,0.334433479975844,0.11191470429371,2.98828900175758,0.00280544135894944,0.525229434341223
"AC020663.2",1223.67740080819,0.338744351740053,0.11300086434986,2.99771469615731,0.0027201218824038,0.525229434341223
"MT1F",242.172049642055,0.359966509249626,0.119414494866969,3.01442894056234,0.00257463515012608,0.525229434341223
"ALOX15",66413.7137034895,0.416081117790427,0.138896013588307,2.99563037873576,0.00273878190951653,0.525229434341223
"B9D1",1466.30920654093,0.398618756722497,0.134062805750934,2.97337322227213,0.0029454605708512,0.525229434341223
"CCL4",928.374928552945,0.738005897475428,0.242561295794787,3.04255423379582,0.00234579542257401,0.525229434341223
"AC139769.2",211.15912642952,-0.305951624337513,0.100439961111409,-3.04611452406028,0.00231819518268752,0.525229434341223
"COX7A1",153.812229326941,0.471972199907229,0.157282317301987,3.00079632601691,0.00269274609608032,0.525229434341223
"TMEM190",3720.87371048665,0.631332004941875,0.211214263843232,2.98905951451491,0.00279837618141335,0.525229434341223
"AC020922.3",3239.05374072538,0.63046408942029,0.211760890928321,2.97724516862604,0.00290851322767217,0.525229434341223
"NAT14",800.485469651071,0.398757486214664,0.134734508748805,2.95957947164149,0.00308059234943376,0.525229434341223
"KCNE1",411.136835136072,0.352007777531221,0.118137906710921,2.97963445714822,0.0028859254359455,0.525229434341223
"STS",2484.79401011056,-0.25222638430429,0.0833272343481359,-3.02693814666288,0.00247044503886428,0.525229434341223
"TTLL10",1329.61068438176,0.433854194308752,0.149744346762986,2.89729932172634,0.00376390454647584,0.526477296355341
"AL590714.1",798.977836150478,0.178804105567622,0.0614325325083277,2.91057682740628,0.00360762261112685,0.526477296355341
"RASAL2-AS1",69.740181553343,-0.276552348088308,0.0940410152872909,-2.94076310473099,0.00327404819978708,0.526477296355341
"TLR5",477.895253871902,-0.16092122752962,0.0560699953264557,-2.87000608066203,0.00410463905534926,0.526477296355341
"LBH",1967.510754068,0.263622621314976,0.0924642201392965,2.85107710764046,0.00435714019493815,0.526477296355341
"CAPN14",2772.71497921731,0.597363886679279,0.20433051896849,2.92351768935407,0.00346100559324104,0.526477296355341
"PROC",159.697200821024,0.335255496108972,0.116291863004126,2.88288008677853,0.00394057416872816,0.526477296355341
"SLC40A1",2556.70608071513,-0.239435503663659,0.0818965915990444,-2.92363209492168,0.00345973394571777,0.526477296355341
"HECW2",606.23032120313,-0.26358394768402,0.0922386331528774,-2.85763067680277,0.00426816848464713,0.526477296355341
"IGFBP5",1427.54763940022,0.374840695630892,0.130677053714228,2.86845077216553,0.00412487383097468,0.526477296355341
"PRRT3",1443.77858781797,0.253095910537884,0.0860822512054025,2.94016370382748,0.00328038882202306,0.526477296355341
"AC078795.2",95.2420713986307,0.425795053079162,0.144562337303848,2.94540791896721,0.00322529133381754,0.526477296355341
"TCTEX1D2",586.97170969094,0.367237171695986,0.126355034332223,2.90639129368138,0.00365623915270165,0.526477296355341
"ZNF718",284.387739150563,-0.176546106512374,0.0607944016338923,-2.90398625148982,0.00368444339108599,0.526477296355341
"ENC1",3496.08924885634,-0.173225195673344,0.059290688131562,-2.92162565711785,0.00348209780723281,0.526477296355341
