"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCL3L1",983.508135181069,1.22024908376739,0.297576624581849,4.10062142979838,4.12042153345643e-05,0.754366774345203
"AL627309.6",145.922385996421,0.356298290273261,0.178565830655637,1.99533297588372,0.0460065756413208,0.999182098538708
"AL627309.7",138.265449682785,0.490592561686662,0.165328674981912,2.96737732725636,0.00300352110041372,0.999182098538708
"WASH9P",87.0347203797859,-0.051073622831976,0.0936654147900059,-0.545277282404408,0.585562826085984,0.999182098538708
"AL732372.2",116.726787766671,0.428861464892065,0.162417325581481,2.6404908673177,0.00827860238672636,0.999182098538708
"AL669831.3",90.4149838415176,0.0310185078861338,0.0708154784459637,0.438018757577168,0.661372686005408,0.999182098538708
"MTND2P28",3338.49309588268,-0.126780577879725,0.1374879397238,-0.922121446684089,0.35646523129497,0.999182098538708
"MTCO1P12",6470.27975300374,0.749882425040063,0.254734442189902,2.94378105525688,0.00324229281523967,0.999182098538708
"MTCO2P12",94.7390605806931,-0.167511987066791,0.0883343144522884,-1.89634105506382,0.0579149608033169,0.999182098538708
"MTATP6P1",16709.1030739692,-0.107034321471649,0.116928368519478,-0.915383690261773,0.359990237532998,0.999182098538708
"MTCO3P12",170.701192941628,-0.153148302272904,0.158811175897612,-0.964342096249203,0.334874442231908,0.999182098538708
"AL669831.1",235.772521210002,-0.0556073686198866,0.0871395712483528,-0.638141407207552,0.52338163438274,0.999182098538708
"AL669831.5",158.212819539261,-0.00906152312942314,0.0962869066609338,-0.0941096089142476,0.925022087450799,0.999182098538708
"LINC01128",375.504110955468,0.00546748066744313,0.0561269660376478,0.0974127242825802,0.922398640270755,0.999182098538708
"LINC00115",63.2922941762233,-0.0350547402221607,0.0919774773281194,-0.381123088395943,0.703111915967247,0.999182098538708
"SAMD11",486.938108023221,-0.061383739249949,0.0849251854877963,-0.72279782372415,0.469804104576467,0.999182098538708
"NOC2L",3102.80285364604,-0.0630533938358199,0.0591392612201578,-1.06618501034517,0.286340016801244,0.999182098538708
"KLHL17",287.457471454168,0.0508538671783694,0.0681314246518331,0.74640839287075,0.455420750831632,0.999182098538708
"PLEKHN1",455.058008818825,-0.034459008107944,0.0965483894948022,-0.35690919639627,0.721159784768528,0.999182098538708
"PERM1",171.258741261348,-0.130399306544246,0.117323503961091,-1.11145083586569,0.26637434098789,0.999182098538708
"AL645608.7",118.69199921708,-0.151700684069609,0.148009113831585,-1.02494150625228,0.305390788500422,0.999182098538708
"HES4",541.908993276257,-0.0741659317649337,0.12971635147951,-0.571754685658492,0.5674881805251,0.999182098538708
"ISG15",2498.17899566988,0.0210184383977156,0.165078497423033,0.127323901815349,0.898684043347099,0.999182098538708
"AGRN",13949.0128350327,-0.0803722717833232,0.0707159643465933,-1.1365506010694,0.255726200823435,0.999182098538708
"AL645608.5",1222.1235978928,-0.13369233638452,0.091725139315941,-1.45753211585785,0.144969552822789,0.999182098538708
"AL390719.1",210.764257886694,-0.0433376865003879,0.0878892619596055,-0.493094213492272,0.621946019318099,0.999182098538708
"RNF223",363.152044285481,-0.037452486002137,0.107712459880524,-0.347708018586519,0.728059474049455,0.999182098538708
"C1orf159",829.753721637275,-0.007153680379602,0.0670707312103507,-0.106658750404349,0.915059708275431,0.999182098538708
"MIR429",104.381033322463,-0.04763863087681,0.104769874324056,-0.454697795374483,0.649326667157487,0.999182098538708
"AL390719.2",873.349142858295,-0.061001045175659,0.114127588969954,-0.534498675790992,0.592996565389089,0.999182098538708
"TTLL10-AS1",508.750785656695,-0.251064501552081,0.16740183828291,-1.49977147280653,0.133673609269666,0.999182098538708
"TTLL10",1395.46394782933,-0.217850841667187,0.164506479863406,-1.3242690613043,0.185413701813774,0.999182098538708
"TNFRSF18",1655.27021506147,-0.0961305503464647,0.113271354654002,-0.848674853762497,0.396062242360497,0.999182098538708
"SDF4",7004.39759302394,-0.0492644725130575,0.0598197544126581,-0.823548558444648,0.41019611538962,0.999182098538708
"B3GALT6",726.211573062059,-0.0645270943373755,0.0764996179668914,-0.843495641576961,0.398951302285053,0.999182098538708
"UBE2J2",2425.56222125272,-0.0285460655408638,0.0541467224362711,-0.52719840198013,0.598055818281633,0.999182098538708
"SCNN1D",219.776552418583,-0.0903941498366568,0.175264355739948,-0.515758891504334,0.606022817262628,0.999182098538708
"ACAP3",2345.57067795629,-0.071115263656057,0.0674231177720978,-1.05476082990465,0.291534723258521,0.999182098538708
"PUSL1",1036.53160569775,-0.0494386028092147,0.0900970037227512,-0.548726381194078,0.583193238858102,0.999182098538708
"INTS11",3880.79180539508,-0.0688633624494142,0.061460783528616,-1.12044393995321,0.262524629301085,0.999182098538708
"AL139287.1",103.794976266119,-0.0805123150798592,0.117089360409801,-0.687614269973584,0.491695719553014,0.999182098538708
"CPTP",2043.59985795968,-0.0945437851226946,0.075638839245094,-1.24993701736144,0.211322555682043,0.999182098538708
"TAS1R3",125.965086839041,-0.0650138368207454,0.0937669023440349,-0.693355919791472,0.488086217998509,0.999182098538708
"DVL1",3314.49112201941,-0.00659003396110372,0.0759656734149346,-0.0867501552327205,0.930870108543282,0.999182098538708
"MXRA8",374.911147806943,0.0235370279313961,0.0877962616902865,0.268086903454116,0.788632426505817,0.999182098538708
"AURKAIP1",3585.90723590209,-0.0774217680759571,0.0987570057007017,-0.783962287299351,0.433062239381901,0.999182098538708
"CCNL2",3725.61414594145,-0.00514145260430129,0.0419106720094269,-0.12267645346142,0.902363310419214,0.999182098538708
"MRPL20-AS1",1068.22828505751,-0.0470761378199197,0.0578078345176294,-0.814355670174136,0.415441226239624,0.999182098538708
"MRPL20",2821.29745548987,-0.0203994945522656,0.075446153254398,-0.270384819799629,0.786864217374284,0.999182098538708
"RN7SL657P",47.8329039737075,0.0974900150006372,0.10610861016624,0.918775722798552,0.358212893227215,0.999182098538708
"AL391244.2",101.143748081588,-0.0889044683158671,0.0524730573160846,-1.69428794248311,0.0902105806497041,0.999182098538708
"ANKRD65",1948.75953820896,-0.0685530849450326,0.0840740839421091,-0.815389020381551,0.414849667139394,0.999182098538708
"AL391244.1",46.4030286702063,-0.104240089813223,0.111545810908257,-0.934504747103029,0.350043588412264,0.999182098538708
"LINC01770",115.626943243967,-0.229118457083643,0.103819376262968,-2.20689494900548,0.0273213993945365,0.999182098538708
"VWA1",4201.27003762738,-0.0459131081635856,0.0980553048414524,-0.46823686120627,0.639615214645283,0.999182098538708
"ATAD3C",80.5930423967067,-0.109780996178,0.111101613723904,-0.988113426064308,0.323097101068984,0.999182098538708
"ATAD3B",956.327708224574,-0.0467560334827601,0.0608557582685512,-0.768309110149114,0.442303563569807,0.999182098538708
"ATAD3A",1511.80849410797,-0.0875208697236096,0.0717749945463237,-1.21937828455178,0.222700648104305,0.999182098538708
"SSU72",5506.53977723888,-0.0134436514190258,0.0473063030912237,-0.284183090635968,0.776270073211525,0.999182098538708
"AL645728.1",92.2966225229921,-0.0905308097930773,0.0711374262456309,-1.27261857183985,0.203153425079199,0.999182098538708
"FNDC10",244.140586300432,-0.147141821890012,0.112374618125906,-1.30938662434566,0.190403419975911,0.999182098538708
"AL691432.2",489.933711960925,-0.108576479250017,0.0692224338060338,-1.56851577270825,0.116760811917097,0.999182098538708
"MIB2",1149.46684648827,-0.156358699600239,0.0839330624194788,-1.86289758878084,0.0624766761343435,0.999182098538708
"CDK11B",923.85588118957,-0.0134011469558331,0.0643828080171856,-0.208147910421302,0.835113479184694,0.999182098538708
"FO704657.1",101.585308853654,-0.133810021945361,0.126006372225218,-1.06193059590824,0.288267194070957,0.999182098538708
"SLC35E2B",2071.60425914714,-0.036565917519328,0.0528148643268664,-0.692341407771586,0.488722952005479,0.999182098538708
"AL691432.1",80.242918939402,-0.0332378096051167,0.114881164211516,-0.289323405044192,0.772333903205398,0.999182098538708
"CDK11A",546.134599660023,0.0777048683677104,0.085145008113483,0.912618015892885,0.361443475743606,0.999182098538708
"AL031282.2",707.886190267216,0.071787583068783,0.0760335192900522,0.944157047300785,0.345089400940786,0.999182098538708
"AL031282.1",264.59546332768,0.0961326020555945,0.0800753483662227,1.20052680402881,0.22993480911624,0.999182098538708
"SLC35E2A",694.060504445433,0.10547150658949,0.0794907571071208,1.32683987960207,0.184561655350429,0.999182098538708
"NADK",5069.98035536133,0.0583259217500904,0.0748929874809333,0.778790160626712,0.436103334735455,0.999182098538708
"GNB1",8581.6030671044,0.00895809450759219,0.0439084417098709,0.204017591122537,0.838339752286761,0.999182098538708
"TMEM52",52.033404417836,-0.0968509711915651,0.161065270389249,-0.601315050460621,0.54763016708536,0.999182098538708
"CFAP74",779.427962911014,-0.186168109433583,0.205375104142569,-0.906478466369262,0.364682657477325,0.999182098538708
"PRKCZ",1577.77863057708,-0.021066685629759,0.0539472074651461,-0.390505581653501,0.696162728731563,0.999182098538708
"FAAP20",1780.41400818068,-0.0635852341394253,0.0830653276180687,-0.76548466084174,0.443982997019331,0.999182098538708
"SKI",2026.63920858305,-0.123322112430049,0.0626943156285102,-1.96703817872075,0.049178809454761,0.999182098538708
"MORN1",824.984308051791,-0.141086468833293,0.113308769015865,-1.24515048622175,0.213076439113884,0.999182098538708
"AL513477.1",121.561842781945,-0.253262858551526,0.147647518495938,-1.71532079327492,0.0862864283330573,0.999182098538708
"RER1",6135.79420824521,-0.0110500251356261,0.048969758246182,-0.225649983405577,0.82147366215603,0.999182098538708
"PEX10",2407.63376181588,-0.0542130657167536,0.062680981818917,-0.864904539520027,0.387091185809731,0.999182098538708
"PLCH2",1904.0433486092,-0.0489812291717985,0.0767328290601754,-0.638334722852281,0.523255813535167,0.999182098538708
"PANK4",865.597202954491,0.0125467916842737,0.0525701138838234,0.238667766860868,0.811363212826593,0.999182098538708
"AL139246.5",113.413893039941,-0.0116724903227962,0.180025006902831,-0.0648381606734026,0.948302857536175,0.999182098538708
"TNFRSF14-AS1",858.305175364295,-0.0442272896221153,0.097797874436847,-0.452231603976987,0.651102142783599,0.999182098538708
"TNFRSF14",3719.29154876188,-0.0286938847279527,0.0945936696987506,-0.303338318719774,0.761632046853225,0.999182098538708
"PRXL2B",2409.44267999666,-0.0385687400262036,0.0670923227070656,-0.57486070641197,0.565385506401636,0.999182098538708
"MMEL1",717.755400493904,-0.0703262946027667,0.0797000910954073,-0.882386627621048,0.377567764653801,0.999182098538708
"TTC34",189.419413549886,-0.190839328324276,0.146026576871883,-1.30688079123918,0.19125320080692,0.999182098538708
"ARHGEF16",3398.17177532078,0.0351115953008963,0.0684489859737896,0.51296005048696,0.607979266044217,0.999182098538708
"MEGF6",403.028107904998,-0.170375453868256,0.101200782797071,-1.68353889327017,0.0922708167832028,0.999182098538708
"TPRG1L",2963.43817858434,-0.0360179176448253,0.0486665246275809,-0.740096358234973,0.459241528302374,0.999182098538708
"WRAP73",900.353890062922,0.0259238574351598,0.0513609105996915,0.504739054126418,0.613742126973438,0.999182098538708
"TP73",1266.1428960472,-0.252219629667278,0.159460416880131,-1.58170682481581,0.113716513980546,0.999182098538708
"TP73-AS1",854.426817295445,-0.0193884068548678,0.0787190981209388,-0.246298640579961,0.805451062199745,0.999182098538708
"LRRC47",1964.33626791172,-0.0406988587560147,0.0482323998411269,-0.843807459095401,0.398777006666137,0.999182098538708
"AL365330.1",215.911867463867,-0.0827306422136116,0.061986532441175,-1.33465510902909,0.181989252346375,0.999182098538708
"CEP104",1578.8283810027,-0.004734524909404,0.0441181663084024,-0.107314634890034,0.914539374626708,0.999182098538708
"DFFB",147.583965760468,0.0369523119576648,0.069245534448196,0.533641804516789,0.593589379464096,0.999182098538708
"C1orf174",696.105396091279,0.0556279169335171,0.0449451404837095,1.23768479383616,0.215832959633591,0.999182098538708
"LINC01134",48.3603355230326,-0.0285272500962334,0.115321289196009,-0.247371931888016,0.804620394389337,0.999182098538708
"AJAP1",394.578890067473,0.0701447576445428,0.0965402113901458,0.726585913107942,0.467479660315338,0.999182098538708
"NPHP4",864.84112932561,-0.0921914576958511,0.104501741450337,-0.882200204669926,0.377668551296501,0.999182098538708
