"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL627309.6",145.922385996421,0.33430247777202,0.171918119249044,1.94454475905325,0.0518297934094271,0.999921790855193
"AL627309.7",138.265449682785,0.40972583298266,0.161190644549615,2.54187105044143,0.0110260843765877,0.999921790855193
"WASH9P",87.0347203797859,0.000845209189740768,0.0898999054908576,0.00940166939137351,0.992498663655934,0.999921790855193
"AL732372.2",116.726787766671,0.325293123803052,0.158612453261082,2.05086748937429,0.0402798529336472,0.999921790855193
"AL669831.3",90.4149838415176,0.0394552086178827,0.0687110846400888,0.574218975359661,0.565819630274951,0.999921790855193
"MTND2P28",3338.49309588268,-0.0977389245078928,0.131932574114695,-0.740824812702612,0.458799668421506,0.999921790855193
"MTCO1P12",6470.27975300374,0.541668763126382,0.250913037754958,2.15879082240189,0.0308663988205744,0.999921790855193
"MTCO2P12",94.7390605806931,-0.156382824963681,0.0844158189896471,-1.85252985560515,0.063949774467345,0.999921790855193
"MTATP6P1",16709.1030739692,-0.15381991864563,0.111123138229191,-1.38422943319308,0.166288213628026,0.999921790855193
"MTCO3P12",170.701192941628,-0.152367360195817,0.151824453248715,-1.00357588606766,0.315583082441406,0.999921790855193
"AL669831.1",235.772521210002,-0.0331369850210587,0.0837195399797632,-0.395809449371899,0.692245605350679,0.999921790855193
"AL669831.5",158.212819539261,0.0222526906694007,0.092507879435917,0.240549138139264,0.809904574543855,0.999921790855193
"LINC01128",375.504110955468,0.00357787303576989,0.0537665375877875,0.0665446055537444,0.946944246288444,0.999921790855193
"LINC00115",63.2922941762233,-0.0222146148485726,0.0888108770862567,-0.250133942793932,0.802483767552937,0.999921790855193
"SAMD11",486.938108023221,-0.0235110679090985,0.0815004589297379,-0.28847773641824,0.772981070245764,0.999921790855193
"NOC2L",3102.80285364604,-0.051201850670319,0.056737812154377,-0.90242906319695,0.366828988153985,0.999921790855193
"KLHL17",287.457471454168,0.0597155183790856,0.0650752265090116,0.91763827162117,0.358808274397616,0.999921790855193
"PLEKHN1",455.058008818825,0.00529630248166539,0.0925402806351054,0.0572324013426022,0.954360067913033,0.999921790855193
"PERM1",171.258741261348,-0.0391332473741429,0.113004310742058,-0.346298713006335,0.729118235723713,0.999921790855193
"AL645608.7",118.69199921708,-0.131129857539966,0.141527105081182,-0.926535291347529,0.354167865459437,0.999921790855193
"HES4",541.908993276257,-0.00678959644573875,0.124494853999075,-0.0545371654139952,0.956507198918017,0.999921790855193
"ISG15",2498.17899566988,0.082555071154143,0.157799455396445,0.523164487144376,0.600859792316746,0.999921790855193
"AGRN",13949.0128350327,-0.0807661057338592,0.0675973970136106,-1.1948108847682,0.232160926630467,0.999921790855193
"AL645608.5",1222.1235978928,-0.0812456775632696,0.0886267068999144,-0.916717775094812,0.359290549211809,0.999921790855193
"AL390719.1",210.764257886694,-0.0452642325773761,0.0840502151805516,-0.538537973759403,0.590205696119455,0.999921790855193
"RNF223",363.152044285481,-0.015787293191171,0.103179939118678,-0.153007390060701,0.878392447490634,0.999921790855193
"C1orf159",829.753721637275,0.00269252662852767,0.0642140328510807,0.041930501932061,0.966554100748094,0.999921790855193
"MIR429",104.381033322463,-0.0389203699149508,0.0999368208674949,-0.389449750123179,0.696943475794168,0.999921790855193
"AL390719.2",873.349142858295,-0.0336988932098577,0.109398253720043,-0.308038675791803,0.75805290322163,0.999921790855193
"TTLL10-AS1",508.750785656695,-0.239776951150927,0.160145509045173,-1.49724430351207,0.134329701341665,0.999921790855193
"TTLL10",1395.46394782933,-0.214336290427544,0.157340082209188,-1.36224849649295,0.173119475534038,0.999921790855193
"TNFRSF18",1655.27021506147,-0.0528927252142201,0.108780728644848,-0.486232496078477,0.626802333821983,0.999921790855193
"SDF4",7004.39759302394,-0.0571342732986659,0.0570857262415658,-1.00085042374507,0.316899127561609,0.999921790855193
"B3GALT6",726.211573062059,-0.0606979811171695,0.0731933596793406,-0.829282620487525,0.406944502856464,0.999921790855193
"UBE2J2",2425.56222125272,-0.0167352730288481,0.0519839602447643,-0.321931475594603,0.747504607431722,0.999921790855193
"SCNN1D",219.776552418583,-0.0472938949841547,0.167978234066917,-0.281547756748736,0.778290304175669,0.999921790855193
"ACAP3",2345.57067795629,-0.0521298094165776,0.0647804197781099,-0.80471552353529,0.420983859421985,0.999921790855193
"PUSL1",1036.53160569775,-0.0153160930697878,0.0864147347830737,-0.177239369052462,0.859320373126644,0.999921790855193
"INTS11",3880.79180539508,-0.055696479199315,0.0590199552797792,-0.943688942753183,0.345328626052673,0.999921790855193
"AL139287.1",103.794976266119,-0.0364007790681414,0.11228181148786,-0.3241912344109,0.745793257955992,0.999921790855193
"CPTP",2043.59985795968,-0.0796589405284849,0.0726071728723631,-1.09712219023482,0.272587981124975,0.999921790855193
"TAS1R3",125.965086839041,-0.0599561543151584,0.0896687119428052,-0.668640744537528,0.503724674993456,0.999921790855193
"DVL1",3314.49112201941,0.023266813924306,0.0726550822467346,0.320236564391911,0.748789007090696,0.999921790855193
"MXRA8",374.911147806943,0.0300769797994172,0.0838582707659663,0.35866444090359,0.71984613282838,0.999921790855193
"AURKAIP1",3585.90723590209,-0.023976557168642,0.0948671694940009,-0.252738194852101,0.800470530601212,0.999921790855193
"CCNL2",3725.61414594145,-0.000866107047684349,0.0401201800333109,-0.0215878155822142,0.982776753025035,0.999921790855193
"MRPL20-AS1",1068.22828505751,-0.0332308341205879,0.0554420420647136,-0.599379692432683,0.548919715899946,0.999921790855193
"MRPL20",2821.29745548987,0.0179148192399141,0.0722176302243896,0.248067115803308,0.804082478297923,0.999921790855193
"RN7SL657P",47.8329039737075,0.124159713075405,0.101179618308794,1.22712177759434,0.219776823803515,0.999921790855193
"AL391244.2",101.143748081588,-0.0493562471544365,0.0509265413751622,-0.969165504306333,0.332462619280844,0.999921790855193
"ANKRD65",1948.75953820896,-0.0648817249082913,0.0804535386394818,-0.806449610613537,0.419983651337919,0.999921790855193
"AL391244.1",46.4030286702063,-0.122918573644052,0.105767818522125,-1.16215475899542,0.245172607714948,0.999921790855193
"LINC01770",115.626943243967,-0.148378100268728,0.100722646206006,-1.47313544528262,0.140714517529066,0.999921790855193
"VWA1",4201.27003762738,-0.0609881930048038,0.0936972926450804,-0.650906672787477,0.515106733734594,0.999921790855193
"ATAD3C",80.5930423967067,-0.068249125298275,0.106431978451754,-0.641246421339548,0.521362593627887,0.999921790855193
"ATAD3B",956.327708224574,-0.0247859450095832,0.0584365163773422,-0.424151652872886,0.671455217427458,0.999921790855193
"ATAD3A",1511.80849410797,-0.0425276896835309,0.0692878517366947,-0.613782771691972,0.53935888335406,0.999921790855193
"SSU72",5506.53977723888,-0.0159709399648017,0.0452559557601021,-0.352902500821379,0.724161535925809,0.999921790855193
"AL645728.1",92.2966225229921,-0.0644870291918174,0.0683916865841059,-0.942907426511749,0.345728255942769,0.999921790855193
"FNDC10",244.140586300432,-0.0906433059494868,0.108256354179629,-0.837302407201735,0.402422606522411,0.999921790855193
"AL691432.2",489.933711960925,-0.0902327077179539,0.0664687171254976,-1.35752142692311,0.174615589942378,0.999921790855193
"MIB2",1149.46684648827,-0.109394335825935,0.0813281258602501,-1.34509844741673,0.178593444545437,0.999921790855193
"CDK11B",923.85588118957,-0.0148962448352767,0.0616003553761057,-0.241820761330459,0.808919051055174,0.999921790855193
"FO704657.1",101.585308853654,-0.134104701397549,0.120392103754399,-1.11389947692187,0.265322313856034,0.999921790855193
"SLC35E2B",2071.60425914714,-0.0590010608198055,0.0501183090155584,-1.17723566454506,0.23910145735586,0.999921790855193
"AL691432.1",80.242918939402,-0.0567119427247708,0.109700681835644,-0.516969828954556,0.605177220490608,0.999921790855193
"CDK11A",546.134599660023,0.0946869039925871,0.0812070124998397,1.16599418052442,0.243616798366361,0.999921790855193
"AL031282.2",707.886190267216,0.0825154841137376,0.0725888801830043,1.1367510272332,0.255642381210077,0.999921790855193
"AL031282.1",264.59546332768,0.0515637604061329,0.0774031995919648,0.666170916421467,0.505301860280898,0.999921790855193
"SLC35E2A",694.060504445433,0.085590576360038,0.0764800261659899,1.11912326199098,0.263087557170008,0.999921790855193
