"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTCO1P12",6224.4455207337,1.12623504267994,0.250488589517131,4.49615307767509,6.91939296369411e-06,0.0649834746283058
"ADRA2B",93.9420319242256,0.861754260157654,0.194979522791078,4.41971673651612,9.88303587434868e-06,0.0649834746283058
"PCDH19",115.622669757844,-0.622851759252659,0.141416631440362,-4.4043741737359,1.06089695192053e-05,0.0649834746283058
"CCL3L1",973.382493719168,1.17011475227202,0.28664131724483,4.08215662528714,4.46197084668128e-05,0.204982940696538
"COL7A1",680.376950815721,-0.508825612268006,0.135340328406683,-3.75960083929336,0.000170184671458141,0.521218920452467
"ESYT3",157.184285970139,0.377464562399457,0.100042079689382,3.7730579329362,0.000161258824089428,0.521218920452467
"SCGB3A1",1266.35082357643,-0.958162789320304,0.260544265357102,-3.67754319215987,0.000235491209214037,0.618198065788163
"AL627309.6",156.335890160028,0.156036346715069,0.186405375319484,0.837080724993232,0.402547194068553,0.999974083142162
"AL627309.7",141.582786124113,0.29488100918102,0.179544203178632,1.64238668784889,0.10050989197998,0.999974083142162
"WASH9P",87.8720076413729,-0.0878009789652545,0.0890434532699096,-0.98604642723268,0.324110330784846,0.999974083142162
"AL732372.2",123.046828802521,0.31718082715003,0.174895222934983,1.81354768773725,0.0697473904614074,0.999974083142162
"AL669831.3",97.9294400076969,-0.0113101620095764,0.0878764160332834,-0.128705317309398,0.897590827804149,0.999974083142162
"MTND1P23",3278.15544826656,0.330744338059611,0.346043672501966,0.955787850904084,0.339179427531988,0.999974083142162
"MTND2P28",3222.52747133471,-0.125626258805306,0.134793658111885,-0.931989387075097,0.351342010196439,0.999974083142162
"MTCO2P12",95.0784359678863,-0.037210382841413,0.0891338154237827,-0.417466509926653,0.676337215450072,0.999974083142162
"MTATP6P1",16127.9586740018,0.0335246297741601,0.11775565842127,0.284696550667876,0.775876633508692,0.999974083142162
"MTCO3P12",164.320952251039,-0.0434132719295184,0.157377628114798,-0.275854150615682,0.782660090469733,0.999974083142162
"AL669831.1",248.637922684668,-0.0444559520187392,0.0876077020226171,-0.507443420982122,0.611843725749662,0.999974083142162
"AL669831.5",162.854246033025,-0.0666395582895515,0.0909048625407691,-0.733069237739235,0.463516201338159,0.999974083142162
"LINC01128",377.230059590763,0.00833422005006805,0.0528998410495032,0.157547166205452,0.874813638731156,0.999974083142162
"LINC00115",67.1592687797429,-0.02508535812224,0.0858553269562414,-0.292181731892133,0.770147678356379,0.999974083142162
"SAMD11",468.822806995736,-0.0939728596282041,0.082345914050249,-1.14119638736246,0.25378820737709,0.999974083142162
"NOC2L",2996.81010397989,-0.0376973987712987,0.0607425567386622,-0.620609351915946,0.534856684980969,0.999974083142162
"KLHL17",284.133709309892,-0.00440098211965339,0.0671092172397445,-0.0655793987870711,0.947712691185921,0.999974083142162
"PLEKHN1",462.939944169644,-0.0903828799990985,0.0969041672695077,-0.932703747896906,0.350972949259564,0.999974083142162
"PERM1",172.822405294828,-0.196267451950358,0.115987528313715,-1.69214272261675,0.0906187643227192,0.999974083142162
"AL645608.7",114.518575596829,-0.16038855825147,0.145764166593095,-1.10032912752281,0.271188745556194,0.999974083142162
"HES4",561.87164586661,-0.200268435768589,0.123080741702439,-1.62713055672641,0.103709372479321,0.999974083142162
"ISG15",2546.46186582414,-0.180587695146375,0.15697317593282,-1.15043665309837,0.249964071007634,0.999974083142162
"AGRN",13312.6109196097,-0.0169252836025939,0.072604507837551,-0.233116153620425,0.815671211647743,0.999974083142162
"AL645608.5",1166.81502639506,-0.146037237272072,0.0899781646402061,-1.62302974122697,0.10458304724699,0.999974083142162
"AL390719.1",213.893259308771,0.0159365663180416,0.0952090809789729,0.167384940114706,0.867067174052833,0.999974083142162
"RNF223",374.865154536947,-0.0668807605949812,0.114633038651783,-0.58343354918945,0.559601478523748,0.999974083142162
"C1orf159",820.900256321293,-0.0185926129119702,0.0639758789063331,-0.290619108792419,0.771342643880797,0.999974083142162
"MIR429",98.9972678995424,-0.0435088717523279,0.10305049289566,-0.422209254218523,0.672872287341944,0.999974083142162
"AL390719.2",838.049094249815,-0.0928705399902046,0.110010982651625,-0.844193350079422,0.398561369931274,0.999974083142162
"TTLL10-AS1",485.267690874721,-0.0927855121557497,0.165028797770776,-0.5622383087625,0.573953663860864,0.999974083142162
"TTLL10",1329.61068438176,-0.0601770601111327,0.16325027957377,-0.368618419939305,0.712412163884899,0.999974083142162
"TNFRSF18",1638.1204722536,-0.119853446574309,0.115216511879022,-1.04024540076474,0.2982259034855,0.999974083142162
"SDF4",6859.12225555358,-0.00604016559100662,0.0625411007081481,-0.0965791379207318,0.923060624560179,0.999974083142162
"B3GALT6",710.590710484213,-0.0309891871548801,0.0790995235104879,-0.391774637564931,0.69522473635276,0.999974083142162
"UBE2J2",2418.37441490478,-0.0377265493174293,0.0563062889443643,-0.670023722478079,0.502842667841239,0.999974083142162
"SCNN1D",238.106828287202,-0.0798328234158928,0.173860652712778,-0.459177060308052,0.646107022382747,0.999974083142162
"ACAP3",2301.4689862742,-0.0542708535498521,0.0651452872253161,-0.833074131090205,0.404802922091457,0.999974083142162
"PUSL1",1036.09913859899,-0.0848780242551958,0.0858457082680766,-0.988727636682093,0.322796417342844,0.999974083142162
"INTS11",3815.94312695426,-0.0468655383263348,0.0609091588444825,-0.769433353134873,0.441636094983808,0.999974083142162
"AL139287.1",102.622056877145,-0.135078829660585,0.111117000234201,-1.21564503519606,0.224120170681541,0.999974083142162
