"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AP002956.1",267.128873826992,0.760664031937417,0.13939885185718,5.45674531607155,4.84941136555302e-08,0.000869935904866556
"LGR6",239.604902586513,0.973965565905808,0.207951584030994,4.68361696038172,2.81856501655254e-06,0.0173847834671408
"AC018629.1",133.462482696558,0.848344525529394,0.183494424047167,4.62327141511029,3.77734953464417e-06,0.0173847834671408
"RNF165",108.345090538454,0.994653126258456,0.215390770177217,4.61790041161042,3.87642197829106e-06,0.0173847834671408
"AL118508.1",64.5513155084434,0.706363778225379,0.161846325307127,4.36441035584187,1.27466105995897e-05,0.0457322895092078
"KIF2C",149.521538723939,0.611462071709627,0.142583121766292,4.28846040214966,1.79915865098563e-05,0.0537918450667187
"CDC25B",545.196620440838,0.445474807863884,0.105333314910244,4.22919195359494,2.34532174186845e-05,0.0601038953248258
"ITGA10",38.9630345973992,0.679986729292822,0.163585822169235,4.15675833196201,3.22795130312736e-05,0.0642232406711851
"CERCAM",154.087949050611,0.631257272124145,0.153557264985502,4.11089160896259,3.94134201001203e-05,0.0642232406711851
"CALML3-AS1",559.085281900022,0.853799336799954,0.208704447438796,4.09094941328615,4.29610841214238e-05,0.0642232406711851
"CALML3",1158.61831642794,0.919054818941512,0.220939136445581,4.15976469233591,3.18575633333422e-05,0.0642232406711851
"AL732437.1",658.766050042877,0.922780544164223,0.225195634504286,4.09768398128811,4.1730446074759e-05,0.0642232406711851
"COL17A1",327.316658998189,0.632249150983443,0.158592688807184,3.98662230736329,6.70205861209784e-05,0.0924832534172485
"COL6A2",91.5673429096738,0.821873991843811,0.208065804968231,3.95006758544153,7.81291286279894e-05,0.100111317032679
"AC015802.6",2223.02312771021,0.282341742851397,0.0719933205917328,3.9217769166744,8.78983539283656e-05,0.105120571408063
"TNS4",2315.16622080665,0.576229662606147,0.148814071054454,3.87214500969665,0.000107881733723947,0.120955651329618
"BMP3",4084.71585763946,-0.477420506914113,0.126756903520703,-3.76642607742572,0.000165601085931553,0.165639800664443
"LINC02604",537.019994564575,0.520007026009301,0.138097015270194,3.7655196601598,0.00016620304431462,0.165639800664443
"CIART",458.056029454771,0.504752370745228,0.136292379550194,3.70345262450522,0.000212684915135176,0.200808141716312
"KIFC1",157.304843613565,0.451619589125888,0.126130754454124,3.58056677834389,0.0003428497038003,0.239626642933266
"DLK2",193.905021565588,0.6393917940744,0.17783286957569,3.59546463823021,0.000323813113382816,0.239626642933266
"CYP3A5",2269.65590183627,-0.618932727287743,0.172553139734649,-3.58691083940596,0.00033461867534451,0.239626642933266
