"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADRA2A",258.976947476143,1.70047059710216,0.311871498250638,5.45247195284118,4.96744088413402e-08,0.000912816936868468
"SRGAP3-AS2",685.73642606645,1.37268316094993,0.271220301364811,5.06113721591796,4.16763130221167e-07,0.00212035088728237
"AC073439.1",317.06708142696,1.39024328699999,0.275751940868613,5.0416446122582,4.61547864014446e-07,0.00212035088728237
"DLG5-AS1",110.203139252634,0.821040924811638,0.161369880807045,5.08794404944365,3.61966117455089e-07,0.00212035088728237
"DIO1",57.648219620095,1.33581190204728,0.271052508692824,4.92824031952097,8.29735206755115e-07,0.00254120235988867
"DKK3",104.337682494286,1.65007390721472,0.333916964470699,4.94156956005603,7.74961577783774e-07,0.00254120235988867
"MAT1A",138.911389920903,1.28096642045783,0.264122080206548,4.84990281560743,1.23521979638667e-06,0.00324262842548592
"DSCAML1",177.552111735757,1.39934868063911,0.291188327669984,4.80564826150947,1.54250879409779e-06,0.00354314270004262
"TTLL10-AS1",499.655005791474,1.27854870580453,0.268489279254888,4.76201027226399,1.9167392320929e-06,0.00391355556988213
"FER1L5",202.73068261012,1.15876244506602,0.245082468593953,4.72805114014837,2.26685097380517e-06,0.00416556534946437
"CCDC13",539.348327856912,1.21119751718119,0.259330116621058,4.67048537579241,3.00488876336249e-06,0.00501980326504992
"MORN3",737.268189727605,1.05350203792974,0.229381021273441,4.59280385134338,4.37330078984468e-06,0.00618182887032198
"DERL3",429.748516415372,1.11981358560014,0.243170058390658,4.60506360450487,4.12339813216024e-06,0.00618182887032198
"TTLL10",1324.54970362612,1.20602664988362,0.263716458173293,4.5731944765128,4.80343908412416e-06,0.00630485690070468
"CES1",3727.86338759631,1.24467180679177,0.273343419182409,4.5535093199415,5.27583331199535e-06,0.0064632475294151
"VWA3A",1519.99917369833,1.40617243579197,0.30993559052017,4.53698277578242,5.70647652163849e-06,0.00655388828510181
"MAP1B",267.138367626774,1.26462177722255,0.280543990059005,4.50774859570712,6.55191434942847e-06,0.00708223400500574
"DRC7",851.899099182145,1.19026932710027,0.264833782087067,4.49440142311206,6.97659123567555e-06,0.00712232447482078
"MAN1A1",2603.09472524528,-0.574288142061666,0.12852357694114,-4.46834857642247,7.88257819118083e-06,0.007623697728481
