"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RN7SL3",1363.57210066463,-0.996035017052282,0.217373712419188,-4.58213187771071,4.60259470191818e-06,0.0845772802424485
"SIGLEC14",448.94821352017,-1.3091541156131,0.320108204131436,-4.08972372065654,4.31887319152374e-05,0.396818068837201
"AL627309.6",186.412488175067,-0.450821195482187,0.20736301528124,-2.17406751570791,0.0297000651160408,0.715265821801892
"AL627309.7",157.104116462062,-0.417192269538118,0.208055350834246,-2.00519846216542,0.0449418344294493,0.715265821801892
"AL669831.3",97.4451109952768,-0.243293417308371,0.100034848636506,-2.43208662405658,0.0150121165365057,0.715265821801892
"MTND2P28",3699.01550939544,-0.381235948807898,0.162133132951155,-2.35137594561102,0.0187041253705945,0.715265821801892
"MTCO1P12",8225.06681806043,-0.570362083199924,0.287145760282415,-1.98631553061748,0.0469982992288737,0.715265821801892
"PERM1",176.724419866391,-0.238156063417939,0.138540390408572,-1.71903704555464,0.0856076266343774,0.715265821801892
"HES4",615.31268878808,-0.281789976621861,0.140274775543549,-2.0088428267303,0.0445538048051104,0.715265821801892
"ISG15",2294.3453985221,-0.30351164447051,0.15148341582908,-2.00359651787206,0.0451132991740889,0.715265821801892
"TTLL10-AS1",499.655005791474,-0.406010998212145,0.192818196831141,-2.10566743639712,0.0352332503367913,0.715265821801892
"TTLL10",1324.54970362612,-0.403619359939581,0.189528004862299,-2.12960274779883,0.0332044240143583,0.715265821801892
"SLC35E2B",2042.87045622892,0.109074087808349,0.0626838356195413,1.74006722355622,0.081847214719767,0.715265821801892
"CDK11A",608.040914898151,-0.221509017658064,0.102885997437319,-2.15295592379335,0.0313221427027218,0.715265821801892
"AL031282.2",760.179604938998,-0.222434232864426,0.0895781065572831,-2.48313166479115,0.0130232941290254,0.715265821801892
"TMEM52",51.4400733794539,-0.34291661279588,0.172940679927183,-1.98285685554299,0.0473834210880046,0.715265821801892
"AL139246.5",139.867558073694,-0.497597176891021,0.191720403406099,-2.59543151407323,0.00944722282311717,0.715265821801892
"TNFRSF14-AS1",892.251566053099,-0.222064446198914,0.107586999514457,-2.06404535121435,0.0390134166648796,0.715265821801892
"TNFRSF14",3869.99525646789,-0.214102533402197,0.104307195383454,-2.05261518742896,0.0401099134152378,0.715265821801892
"TP73-AS1",831.13654542525,0.167695979562522,0.0991027763437572,1.69214209479698,0.0906188839988061,0.715265821801892
"KCNAB2",773.586927416933,-0.322186047833532,0.134284444235594,-2.39928049497883,0.0164273256405015,0.715265821801892
"LINC00337",248.44562240987,0.171609278744927,0.0747166273236635,2.29680172796794,0.0216300829530481,0.715265821801892
"ERRFI1",1535.68552412397,-0.259779762783578,0.11830811686451,-2.19578985507043,0.0281069881304894,0.715265821801892
"GPR157",3401.20435563382,0.12357003499376,0.0706838314945707,1.74820793356754,0.080428028332553,0.715265821801892
"H6PD",11964.4395486828,0.169719149518291,0.0786518330836193,2.1578537061921,0.0309392077482608,0.715265821801892
"PIK3CD",2981.61467713318,-0.267642297886499,0.164186740690987,-1.63010908652012,0.103078443630733,0.715265821801892
"CLSTN1",17124.3978755507,0.147001824584848,0.0806498007112675,1.82271776605036,0.0683461480978181,0.715265821801892
"AL139424.2",64.7584501453819,-0.262141073473614,0.135569276562086,-1.933631867937,0.0531584061702317,0.715265821801892
"UBIAD1",922.567726925347,0.16626629125384,0.0702328693182682,2.36735723412332,0.0179156306277984,0.715265821801892
"FBXO2",913.994988717909,0.198807078610442,0.115319470442056,1.72396801553416,0.0847136173561871,0.715265821801892
"AGTRAP",2695.19360892326,-0.221571030344875,0.108293540696352,-2.04602258749805,0.0407541484155868,0.715265821801892
"MTHFR",3963.34248313405,0.106932869706993,0.0630227208546295,1.69673521322014,0.0897467321184861,0.715265821801892
"TNFRSF1B",6046.93636262186,-0.49777687862304,0.289282732040434,-1.72072793668674,0.0853002044626848,0.715265821801892
"AC254633.1",119.820235352104,0.202001277916979,0.115673089812667,1.74631176744843,0.0807567921973363,0.715265821801892
"PRDM2",2585.71321764927,-0.148599441228417,0.0884338694460929,-1.68034534911988,0.0928901425249661,0.715265821801892
"KAZN",2205.96255131043,-0.15912165035402,0.0720290385106527,-2.20913195072689,0.0271654643578532,0.715265821801892
"TMEM51-AS1",695.372681129473,-0.129809333056474,0.0670952129462496,-1.93470334702514,0.0530267094230368,0.715265821801892
"FHAD1",1707.17937885746,-0.330408773799915,0.158230134428024,-2.08815327746696,0.0367840104044336,0.715265821801892
"AL031283.2",79.0378989791554,-0.2217466780106,0.119820594013853,-1.85065580617103,0.0642190857347105,0.715265821801892
"AL031283.1",219.903194477565,-0.36295749725914,0.120839713212836,-3.0036275956718,0.00266781655407269,0.715265821801892
"UQCRHL",77.7621281912802,-0.211125588349294,0.0983311848091834,-2.14708679407244,0.0317863724468425,0.715265821801892
"AL451042.1",146.634620782304,-0.180615349739715,0.110186479189086,-1.6391788817371,0.101176010643168,0.715265821801892
"CROCCP3",185.665119662092,-0.145476696934977,0.0884622102192642,-1.64450669471626,0.100071582577511,0.715265821801892
"AL049569.1",411.769679588341,0.185741004979539,0.10795660616078,1.72051541434079,0.0853387941979828,0.715265821801892
"RCC2",6615.19884480246,0.158645896767665,0.0735458264236571,2.15710264582239,0.0309976675125447,0.715265821801892
"PAX7",3646.37115694712,0.216385348395874,0.101741841230695,2.12680786762282,0.0334360503367962,0.715265821801892
"EMC1",2155.02821830437,0.154300581561644,0.0562327935192017,2.74396080836631,0.00607027845941198,0.715265821801892
"CDA",474.069033336897,-0.574227664006305,0.329086897436935,-1.74491196239847,0.0810001947526457,0.715265821801892
"AL031728.1",133.092125276613,-0.259623800765016,0.135460546606366,-1.91660086474814,0.0552886580780005,0.715265821801892
"C1QA",707.725225986249,-0.291338323564199,0.162884922573178,-1.7886144338087,0.0736769316983425,0.715265821801892
"ASAP3",2011.60311864536,0.155942638004746,0.0856764976282492,1.82013320247265,0.068738722405801,0.715265821801892
"RPL11",9245.9490418539,-0.143747716255625,0.0708829155582379,-2.02795998335481,0.0425643323141958,0.715265821801892
"SYF2",1513.1812517521,-0.133235265097968,0.0775124140839553,-1.71888937627021,0.0856345169604843,0.715265821801892
"RHD",82.611836884716,-0.405756009405468,0.167226873566551,-2.42638040616116,0.015250275717886,0.715265821801892
"LDLRAP1",5125.3222515531,0.180115009164236,0.0808233223823871,2.22850291048523,0.0258469974706403,0.715265821801892
"MAN1C1",2136.82747067415,0.389021283489957,0.120550578741759,3.22703787530802,0.00125078902441539,0.715265821801892
"AL020996.2",1019.07814885347,0.163704842861643,0.0897821201054059,1.82335684064322,0.0682493625809935,0.715265821801892
"MTFR1L",1782.55058988809,0.0800834393323718,0.0482329425341306,1.66034737100485,0.0968445911033401,0.715265821801892
"AUNIP",311.825087738011,0.121886873488715,0.0713408881055329,1.70851354287054,0.0875410956607891,0.715265821801892
"UBXN11",5736.74849569873,-0.18163394057794,0.109509732131409,-1.65861003440301,0.097194398468068,0.715265821801892
"CD52",467.084773888424,-0.389529990814818,0.156815913613088,-2.48399529001825,0.0129917526351596,0.715265821801892
"ZNF683",151.593995176916,-0.548947785026396,0.228799953713102,-2.39924779755303,0.0164287927157304,0.715265821801892
"CD164L2",1314.73777234476,-0.379062716822368,0.202659461903178,-1.87044174134573,0.0614225000614314,0.715265821801892
"FGR",2520.27857684289,-0.532381297050727,0.296661515245985,-1.7945748595307,0.0727214616497535,0.715265821801892
"THEMIS2",2814.06728080922,-0.451464477065212,0.271403151283365,-1.66344596564338,0.096223198539944,0.715265821801892
"DNAJC8",1796.09289488977,-0.0898923642980587,0.05067290142599,-1.77397310531647,0.0760675990606399,0.715265821801892
"AL353622.1",112.800270811105,-0.304882352035563,0.124361400010017,-2.4515834656976,0.014222919660543,0.715265821801892
"SNHG3",1200.98858293671,-0.153661529115012,0.0721924542749652,-2.12849847893727,0.0332957759343817,0.715265821801892
"SNHG12",628.614218902666,-0.140885738862023,0.0769353534111628,-1.83122235247419,0.0670673617130674,0.715265821801892
"RF00017",640.393426544662,-0.19900731986771,0.121417970555464,-1.63902689986737,0.101207657560378,0.715265821801892
"LINC01226",218.390173009964,-0.179911789986275,0.0984939579020663,-1.82662768172199,0.0677557683667281,0.715265821801892
"COL16A1",302.243161071324,-0.237672814142576,0.13143479770657,-1.80829444172907,0.0705606864954838,0.715265821801892
"CCDC28B",143.220471387098,-0.19696843431247,0.0842815498419309,-2.33702909690059,0.0194376711914184,0.715265821801892
"TMEM234",1031.56159405132,-0.221723310257712,0.101875804264442,-2.17640794944969,0.0295247699084293,0.715265821801892
"AL020995.1",107.149420153057,0.227266279352252,0.110033711187354,2.06542410412102,0.0388828898300169,0.715265821801892
"AL513327.1",380.342915858346,-0.248896131895976,0.129167278171461,-1.92692867279887,0.0539885196116257,0.715265821801892
"NCDN",1379.79495864723,0.17577472953546,0.0817647194130369,2.14976252346112,0.0315740039922214,0.715265821801892
"CLSPN",80.5879537402247,-0.345390972889111,0.147417551870758,-2.34294335040863,0.0191322878110973,0.715265821801892
"THRAP3",4628.70399983043,-0.105800235906126,0.0588667121153933,-1.79728461305485,0.0722904476900891,0.715265821801892
"EVA1B",545.991069412476,-0.251963663889506,0.145307222932306,-1.73400646440603,0.0829169361839689,0.715265821801892
"CSF3R",17977.1132444164,-0.657429265648656,0.337119141009949,-1.95013924062311,0.0511595252881809,0.715265821801892
"AL929472.2",110.709889208009,-0.145984120627336,0.0807282489524308,-1.80833998658087,0.0705536020566288,0.715265821801892
"NDUFS5",3643.93769853392,-0.245567885242117,0.113944740064991,-2.15514893537035,0.0311501813996203,0.715265821801892
"BMP8A",442.991827112811,0.161988722696471,0.0994357116023142,1.62907993603277,0.103296098046498,0.715265821801892
"PABPC4-AS1",661.629687184923,0.101423599310213,0.0502853326615966,2.01696188414939,0.0436994911293628,0.715265821801892
"CAP1",14641.8823513413,-0.186241015681777,0.107604540792128,-1.73079141745106,0.0834889732016545,0.715265821801892
"PPT1",10494.5745005007,-0.178184677911067,0.0939451400013537,-1.89668861964014,0.0578690465832174,0.715265821801892
"RLF",1157.58137744373,-0.273826134351,0.147999265532949,-1.85018576521273,0.0642867798981339,0.715265821801892
"COL9A2",1319.6883938554,-0.21951510164516,0.114241493543185,-1.92150062851008,0.054668623208254,0.715265821801892
"CCDC30",603.598787348075,-0.383206066309122,0.166420878044961,-2.30263216256792,0.0212995479610078,0.715265821801892
"FAM183A",1604.88550700595,-0.505561391130394,0.25271399447031,-2.00052787812584,0.0454432926777264,0.715265821801892
"CFAP57",931.598700331099,-0.287869866466453,0.153279664256289,-1.87806952646454,0.0603716544693575,0.715265821801892
"PTPRF",20563.7835442785,0.154498962260179,0.0877511410617191,1.76064903989697,0.0782978229307522,0.715265821801892
"ATP6V0B",10578.7389007064,-0.212343951691501,0.115927469591271,-1.83169659822791,0.0669966357722491,0.715265821801892
"ARMH1",527.854964164596,-0.281219963643102,0.159610612860834,-1.76191268614639,0.0780840508685303,0.715265821801892
"BEST4",441.863476467697,-0.502720153524036,0.218768860556378,-2.29795114462592,0.0215645698953757,0.715265821801892
"PLK3",2119.75712564609,-0.472286513195981,0.185864948424853,-2.54101979527856,0.0110529661453586,0.715265821801892
"TCTEX1D4",974.858939711212,-0.389739344373304,0.198465372670849,-1.96376495873504,0.0495573555110936,0.715265821801892
"BTBD19",477.768725357374,-0.563699121692085,0.261914970589979,-2.15222184674025,0.0313798857688144,0.715265821801892
"HECTD3",2128.14411776475,0.135372304942876,0.0709575465593738,1.90779291994832,0.0564179862176448,0.715265821801892
"ZSWIM5",606.916172144082,0.207372653922185,0.0765677111258401,2.70835644520398,0.00676173574225238,0.715265821801892
"MAST2",3386.88502918274,0.146195263011717,0.07960962908735,1.83640176053713,0.0662982593947862,0.715265821801892
"AL358075.4",1684.99914389143,0.172265513085362,0.0891755050006431,1.93175820068661,0.0533893574747884,0.715265821801892
"UQCRH",3011.22670234477,-0.168579056098412,0.0972969174572834,-1.73262484058063,0.0831623711486918,0.715265821801892
"CYP4Z1",156.056237527035,-0.209760498535107,0.102538070071734,-2.04568408970797,0.0407874621009621,0.715265821801892
"STIL",743.015628590628,-0.169542496228979,0.0988354379180178,-1.71540188216307,0.0862715705724873,0.715265821801892
"SPATA6",934.65232905696,-0.200651026534728,0.111305041997833,-1.80271282354518,0.0714333272005027,0.715265821801892
"CDKN2C",643.518695483481,0.142600888995037,0.0789091051545951,1.80715379696246,0.0707383025974587,0.715265821801892
"TTC39A",2750.00952181948,0.116334496957941,0.0621136961781507,1.87292826085051,0.0610782920555312,0.715265821801892
"NRDC",5066.46316258233,-0.18037619774958,0.0910832961285709,-1.98034332766093,0.0476649633400169,0.715265821801892
"AL050343.1",521.585263129256,-0.217319357466235,0.0961312988706475,-2.26065142174617,0.0237808508350155,0.715265821801892
"CPT2",1824.25401141807,0.116807283628507,0.0514926320671402,2.26842713101564,0.0233031856978295,0.715265821801892
"PARS2",294.404626943987,0.18980646599783,0.08365558229866,2.26890376926909,0.0232741784695795,0.715265821801892
"DHCR24",29644.1891913447,0.172990016432141,0.0963510028936779,1.79541479836005,0.0725876364375862,0.715265821801892
"AC096536.2",1573.56501911384,0.242228566742717,0.105925506776404,2.28678223134709,0.022208537128754,0.715265821801892
"BSND",103.883331114357,-0.397974527525861,0.192733391673985,-2.06489661220225,0.0389327837214002,0.715265821801892
"DAB1",163.608115294541,-0.203592613002268,0.101354718207511,-2.00871371952748,0.0445675028986171,0.715265821801892
"OMA1",547.10329017502,-0.223675643103625,0.0855979348223672,-2.61309625714448,0.00897260274613727,0.715265821801892
"EFCAB7",238.118246997921,-0.25945758514759,0.11522400825254,-2.25176670281188,0.0243370189097336,0.715265821801892
"TCTEX1D1",431.797664469101,-0.447174021289687,0.226184054237278,-1.97703601519398,0.0480375593550709,0.715265821801892
"WDR78",982.692343744735,-0.406740479703448,0.200521584260972,-2.0284124584518,0.0425181696319569,0.715265821801892
"MIER1",1894.591403812,-0.176831770087748,0.101615681610019,-1.740201583909,0.0818236276146873,0.715265821801892
"GNG12-AS1",109.736160964332,-0.239367109603376,0.0770723716784608,-3.10574469671175,0.00189800509681301,0.715265821801892
"ZRANB2-AS1",254.678920157846,-0.167551320225375,0.0789390836816018,-2.12253946221605,0.0337924624987189,0.715265821801892
"ZRANB2",2211.05303225774,-0.145866372283244,0.089109927302067,-1.63692617309385,0.101645896390602,0.715265821801892
"LRRIQ3",86.8171185909765,-0.377521315627036,0.182140162627678,-2.07269670884585,0.038200514266786,0.715265821801892
"SLC44A5",352.338580346545,0.623910119843596,0.209781501924836,2.97409501847852,0.00293854064991126,0.715265821801892
"ADGRL2",854.603883015884,-0.21214646784597,0.129093420913557,-1.64335615513688,0.100309266037194,0.715265821801892
"PRKACB",455.599905090403,-0.193985384697002,0.0933751351442557,-2.07748437951188,0.0377568754735169,0.715265821801892
"SPATA1",971.612702796079,-0.209951102927929,0.112572123398116,-1.8650363570511,0.062176308236773,0.715265821801892
"CTBS",2018.82262529746,-0.183346366258418,0.107680054168775,-1.70269570974625,0.0886250281763827,0.715265821801892
"MCOLN2",110.295216256998,-0.297275547344982,0.158591884030901,-1.87446885546211,0.060865830834054,0.715265821801892
"WDR63",389.924191423171,-0.506952394396215,0.221813481615087,-2.28548955052213,0.0222841384519461,0.715265821801892
"CCN1",1999.93652713688,-0.253146365960996,0.140186166512992,-1.80578706342994,0.0709516069444531,0.715265821801892
"ODF2L",2320.76424509112,-0.254796133523339,0.107574801713117,-2.36854848408491,0.0178580395894693,0.715265821801892
"CLCA4",5147.77093352359,-0.34797525497465,0.163818923940432,-2.12414565182458,0.0336579661344235,0.715265821801892
"AL049597.2",108.047434525201,0.197678485613955,0.121569566662392,1.62605239979939,0.103938508801944,0.715265821801892
"ELOCP19",85.7160411421501,-0.264526536687886,0.155888903626212,-1.69689137927459,0.0897171981563255,0.715265821801892
"GTF2B",1539.83167550516,-0.169121768252954,0.0894707859094825,-1.8902456990157,0.058725107387363,0.715265821801892
"RBMXL1",841.954876685198,-0.14312920164645,0.0664696788154347,-2.15330063567593,0.0312950588714984,0.715265821801892
"GBP3",2489.61091984068,-0.233176565073257,0.130426511993669,-1.78780035982697,0.0738082228133411,0.715265821801892
"GBP1",2975.67315767114,-0.444488675155263,0.144820924684502,-3.06922964429068,0.00214611553002869,0.715265821801892
"PTGES3P1",67.6900689892423,-0.259646326385793,0.158349716411488,-1.63970187171712,0.101067169589214,0.715265821801892
"GBP2",3523.85730925527,-0.34568143778587,0.182841306411879,-1.8906091001514,0.0586765445747164,0.715265821801892
"GBP5",2614.48417471522,-0.54046448715887,0.233804366113013,-2.3116098990967,0.0207991906267055,0.715265821801892
"AC099063.1",178.394156470078,-0.535353050897416,0.217145381034833,-2.46541302580845,0.0136855395692277,0.715265821801892
