"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM45A",174.771009346509,-0.656847614914544,0.160279916840523,-4.09812799920591,4.16504952127837e-05,0.765369500030113
"AL627309.6",186.412488175067,-0.585950150044817,0.239652853057414,-2.4449955115053,0.0144853944682179,0.9081313070722
"AL627309.7",157.104116462062,-0.545944353932783,0.240061326349623,-2.27418702643372,0.0229547439481821,0.9081313070722
"AL732372.2",134.950732431814,-0.423192934076563,0.251038725306627,-1.68576753869213,0.0918405824399789,0.9081313070722
"AL669831.3",97.4451109952768,-0.326447278898133,0.114382614495788,-2.85399385507273,0.00431733664023729,0.9081313070722
"MTCO1P12",8225.06681806043,-0.979736625579943,0.326093583092963,-3.00446459659599,0.00266048719859691,0.9081313070722
"PLEKHN1",480.110334053898,-0.256055532976063,0.132098999118124,-1.93836088604348,0.0525792089199285,0.9081313070722
"PERM1",176.724419866391,-0.340399219088557,0.159254733477012,-2.13745118689168,0.0325613119113319,0.9081313070722
"ISG15",2294.3453985221,-0.292216915919452,0.179460155340466,-1.62831083794098,0.103458992566578,0.9081313070722
"MIR429",100.324727662932,-0.22607571569082,0.146598126362138,-1.54214601032724,0.123038116353001,0.9081313070722
"AL390719.2",872.979620412256,-0.285844358403057,0.154523814235335,-1.84984016746911,0.064336589619823,0.9081313070722
"TTLL10-AS1",499.655005791474,-0.363399023082228,0.2298575097916,-1.58097520247088,0.113883707750465,0.9081313070722
"TTLL10",1324.54970362612,-0.393489728684244,0.225452701777248,-1.74533161759587,0.0809271613397781,0.9081313070722
"SCNN1D",298.390876720511,-0.35337460178192,0.228584979916566,-1.54592222949602,0.122123351211724,0.9081313070722
"AL139287.1",102.869266033006,-0.233944426781978,0.15196127942059,-1.53950024423313,0.123682218311567,0.9081313070722
"CCNL2",3866.33788959515,-0.106084854172254,0.0554883792797793,-1.91183911927507,0.0558968324589021,0.9081313070722
"AL691432.2",498.02208069691,0.168649235525016,0.0939809143999445,1.79450515673123,0.0727325762792025,0.9081313070722
"CDK11A",608.040914898151,-0.266888568112656,0.119676839855609,-2.23007700098582,0.02574233138685,0.9081313070722
"AL031282.2",760.179604938998,-0.259571141138987,0.104435912565092,-2.48545863930862,0.0129384621294276,0.9081313070722
"AL031282.1",265.062254364386,-0.157064432303355,0.106068078693847,-1.48078888801883,0.138662838518711,0.9081313070722
"SLC35E2A",708.164281927186,-0.162167066230917,0.110064114087011,-1.47338728500296,0.140646636813619,0.9081313070722
"AL139246.5",139.867558073694,-0.393365168749565,0.234209881880628,-1.67954129685295,0.0930465974872932,0.9081313070722
"TP73-AS1",831.13654542525,0.238836538642185,0.113900410092467,2.09688918984832,0.0360033856997975,0.9081313070722
"CCDC27",50.612832746092,0.197125697640529,0.128112665947582,1.53869015356517,0.123879957285267,0.9081313070722
"KCNAB2",773.586927416933,-0.350828645613184,0.159039801799333,-2.20591727129941,0.0273897926976254,0.9081313070722
"RNF207",1347.37484033503,-0.194408602074963,0.112406662483368,-1.72951138108676,0.083717611350406,0.9081313070722
"LINC00337",248.44562240987,0.16456383786045,0.0888895071587873,1.85133029893486,0.0641220497389069,0.9081313070722
"AL034417.4",64.7448508205677,-0.267469757333711,0.135148479493297,-1.97908077350568,0.0478069127881435,0.9081313070722
"ERRFI1",1535.68552412397,-0.334399685570093,0.136515361716351,-2.44953887508207,0.0143039268050603,0.9081313070722
