"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNS4",2315.16622080665,1.55296844454737,0.281027556166145,5.52603618568011,3.27546602487523e-08,0.000506976631330188
"FCGR3A",1031.18651122219,-2.63177459982091,0.508303243340176,-5.17756798584822,2.24797036677323e-07,0.00115980284456387
"CST1",9526.91554539878,4.76131530260942,0.912222908802152,5.21946473462451,1.7944097738739e-07,0.00115980284456387
"DDX60L",2601.83826879614,-1.97460905694153,0.399721847333622,-4.93995779843739,7.813948070197e-07,0.00302360720576273
"CEACAM7",963.393776098999,-2.20287887270619,0.454390194002467,-4.84798946320182,1.24719023543054e-06,0.00386080209279877
"GBP5",2614.48417471522,-2.32158390259119,0.504510147421182,-4.60165947990943,4.19138047604913e-06,0.00926774100118406
"ANKRD50",1665.91131035022,-1.09084067393578,0.236962290795579,-4.60343572082032,4.15577501824519e-06,0.00926774100118406
"PTPRC",8623.65462260734,-3.12015793925913,0.700398291985257,-4.45483373526674,8.39582338265076e-06,0.0144389504796298
"CHST3",836.299537474456,1.07477516694114,0.241232782547483,4.4553445663198,8.37585613376031e-06,0.0144389504796298
"RESF1",7747.49636236973,-1.86453980459627,0.423726488368115,-4.40033808548793,1.0808234978623e-05,0.0152081691817388
"TOB2",2818.13466956005,0.741567466677311,0.168315668424086,4.40581363351668,1.05387544790449e-05,0.0152081691817388
"ZNF654",766.175321793486,-0.971451975459605,0.223805171162092,-4.34061451938493,1.4208479394478e-05,0.0183265703389775
"FCGR1A",241.973437539187,-1.80963516819318,0.421004015368642,-4.29837983043609,1.72051139623612e-05,0.0201629955828703
"ANKRD36",2113.62892952765,-1.40200112947536,0.328267291885215,-4.27091325920341,1.94674120449649e-05,0.0201629955828703
"FYB1",2901.03595718637,-2.77737567524078,0.650427124786917,-4.27007972053851,1.95403110054952e-05,0.0201629955828703
"TLR1",2114.45114709349,-1.91788641440159,0.452558791376052,-4.23787240674312,2.25647937724502e-05,0.0205445810594108
"C3AR1",683.029782239312,-2.27446359426485,0.536591159214411,-4.23872729769672,2.24790515359604e-05,0.0205445810594108
"AHDC1",1851.74096641568,0.745464285049888,0.178631427713574,4.17319782185921,3.00353936946054e-05,0.0209331315428083
"CREBRF",1639.67558736521,-1.41044232672391,0.336065950216239,-4.19692124660761,2.70567965004504e-05,0.0209331315428083
"FGL2",1532.76521686134,-2.41292146972656,0.576740390349087,-4.1837220179188,2.86774749044519e-05,0.0209331315428083
"AL160272.2",478.780633391537,-2.27525104341153,0.54132502356937,-4.20311447715655,2.63267358397986e-05,0.0209331315428083
"CASP4",4872.8111316787,-1.2574374010909,0.300017471591212,-4.1912139130491,2.77465899656709e-05,0.0209331315428083
"IGSF6",1574.17673244177,-2.13378059217746,0.512286082668638,-4.16521288468743,3.11062169197952e-05,0.0209331315428083
"SRD5A3",5306.25277082121,-0.937142992712191,0.225928166437697,-4.14796883225546,3.35438051092338e-05,0.0216329589783633
"GCA",3814.60474537808,-2.09566059344365,0.508560793107074,-4.12076711741799,3.776129760185e-05,0.0219793924135937
"HSDL2",989.91271745342,-1.08934834361998,0.264968320027253,-4.11123995316851,3.93539945561548e-05,0.0219793924135937
"LRMP",852.483000276349,-2.18667984253844,0.532629258037838,-4.10544447106414,4.03538215195622e-05,0.0219793924135937
"TNFSF13B",957.166809887032,-2.45672360784643,0.599091173453057,-4.10075079839068,4.11811849072371e-05,0.0219793924135937
"AC134669.1",1057.1766447112,-2.7383163758119,0.666751801944557,-4.10695009421152,4.00917809059886e-05,0.0219793924135937
"VNN1",1098.26727500592,-1.48773404709034,0.364327979500131,-4.08350203882654,4.4362039898582e-05,0.0221495372112985
"SAMD9",3446.90370193412,-1.66367940425793,0.406833014164796,-4.08934217807611,4.32598290194383e-05,0.0221495372112985
"RICTOR",3118.49960750565,-1.33335058992045,0.330116278567087,-4.03903314222503,5.36719819101826e-05,0.0224021197077483
"XRCC4",224.849667617825,-0.752677114808487,0.186242464602069,-4.04138291670849,5.31369097434062e-05,0.0224021197077483
"SNX10",784.034195505067,-2.56714369867297,0.634873694623688,-4.04355026899422,5.26478618585927e-05,0.0224021197077483
"TLR4",3073.36220589816,-2.83630697793291,0.702874351530742,-4.0352973070591,5.45332001761664e-05,0.0224021197077483
"GPR65",2135.59118531817,-3.13278424196547,0.772692098965532,-4.05437592303531,5.0268323002278e-05,0.0224021197077483
"USP25",2058.35228862181,-1.10054261949927,0.272864176387137,-4.03329830273443,5.49993893845739e-05,0.0224021197077483
"MOSPD2",683.370154248604,-1.34284015192664,0.329709915298284,-4.07279274786684,4.64527572132273e-05,0.0224021197077483
"NLRC4",225.738251615562,-2.45401520181446,0.610295151016279,-4.02103014865508,5.79441876490438e-05,0.0227522800973112
"KCNJ15",3363.79852733686,-1.41000886924097,0.350959798865632,-4.0175794315998,5.87990182124594e-05,0.0227522800973112
"CR1",929.960327013542,-3.25787812500423,0.816003557431885,-3.99248029660235,6.53857674881978e-05,0.0228042855313275
"ZNF721",875.092065394079,-0.598593712279006,0.150250556756047,-3.98397001117877,6.77734290244906e-05,0.0228042855313275
"IL6ST",4068.92067058467,-0.912145603851746,0.228629653841497,-3.98962071859721,6.61790316457865e-05,0.0228042855313275
"LY96",554.023702766076,-1.76604540572795,0.440825990092137,-4.00621888323516,6.16984777694204e-05,0.0228042855313275
"LRRK2",3640.67798361399,-2.66909920313803,0.669714614540247,-3.9854277406957,6.73586739945965e-05,0.0228042855313275
"SMCHD1",8711.71667811266,-1.83658344953132,0.458770530291288,-4.00327250393614,6.24722733027702e-05,0.0228042855313275
"ZNF117",1061.39950603876,-1.32444691267919,0.334716336289246,-3.9569234276473,7.59212539166812e-05,0.0250023227260083
"MNDA",4780.25899462962,-3.17892795872302,0.805096724967651,-3.94850439722103,7.86409717816537e-05,0.0253584366924258
"MME",1644.88744576235,-3.46582833174496,0.882665459486657,-3.92654804206412,8.61736865475872e-05,0.025481675578626
"HIST1H2AC",2577.27778807435,-1.23653188876581,0.314189452095695,-3.93562508390381,8.2980430461602e-05,0.025481675578626
"CREB5",1480.51082097579,-2.74855411260957,0.7013328833112,-3.91904354980881,8.89010518959686e-05,0.025481675578626
"IRAK4",1075.49212005089,-0.774343643391831,0.19668698181099,-3.93693388480561,8.25293329508433e-05,0.025481675578626
"OSBPL8",3231.53246772657,-1.27662041962876,0.324889005376221,-3.92940480749859,8.51563790245646e-05,0.025481675578626
"LILRA5",1052.80982402756,-2.95358510970668,0.753001942323883,-3.92241366681134,8.76663102182737e-05,0.025481675578626
