"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CSF3",755.276848196101,-1.58032164824306,0.272197438276982,-5.80579177470052,6.40625374339843e-09,0.000101500684310405
"ITGA10",122.870587145777,0.669916113663451,0.120474041603987,5.56066771517092,2.68744448240205e-08,0.000212899351895891
"OLFM1",63.8264642028812,-0.973719004543471,0.177613746557617,-5.48222771837991,4.20003120228898e-08,0.000221817647896889
"RND1",114.549329454662,-0.749302552360827,0.146252069070888,-5.12336377270424,3.0013250937553e-07,0.00118882486963647
"CDH26",5246.16667679859,0.669663578081497,0.1367639602557,4.89649156714577,9.7562832917961e-07,0.00309157104950435
"SERPINB10",450.709005036767,1.16562099890278,0.242000377558184,4.81660818327661,1.46019013480269e-06,0.00385587541596897
"ADRA2A",2072.1054800063,0.70877351161411,0.160407384477361,4.41858405660958,9.93496404893062e-06,0.0196761962989071
"ADAMTS9",95.2086477696908,0.737393877874767,0.166365043435399,4.43238472847276,9.3196530018455e-06,0.0196761962989071
"PRH1-PRR4",1235.54178497889,0.688766686927111,0.157061200454246,4.38533950418746,1.15805016948018e-05,0.0203544158016647
"TNFRSF6B",610.722518719429,-1.14525480638258,0.262510618950959,-4.36269896798549,1.28467658430098e-05,0.0203544158016647
"KCNJ5",59.1783787394319,-0.709818975820789,0.16496471837107,-4.30285325753189,1.68612530445692e-05,0.0205499764029349
"CPXM1",78.7579333297845,-0.803697811312085,0.185280130814068,-4.337744191894,1.43952558948561e-05,0.0205499764029349
"ATP13A5",146.309594589953,0.882765794989783,0.204680024557519,4.31290643480311,1.61122316943935e-05,0.0205499764029349
"BMP8A",291.581911182343,0.509925003994216,0.119463707943582,4.26845117041766,1.96834902795187e-05,0.0207593005790498
"SLC13A2",731.66762328445,-0.647947646385643,0.152301612598811,-4.25437154163593,2.09636966211056e-05,0.0207593005790498
"AADAC",251.531498054569,0.728200374269872,0.170326781999532,4.27531340474614,1.90868603711292e-05,0.0207593005790498
"DUSP5",1317.44495396217,-0.836849643886215,0.199143557807075,-4.20224311095684,2.64283082814656e-05,0.024631183318326
"CD177",1309.75490768685,-1.36189055715066,0.330394847113689,-4.12200907201811,3.7558240597737e-05,0.0316357199302191
"HLA-DOB",84.9751505715619,-0.631670468743447,0.153329399074559,-4.11969571755959,3.79373061521183e-05,0.0316357199302191
"M1AP",309.138096995609,-0.486763907260794,0.118678589219221,-4.10153095400934,4.10425589299953e-05,0.0325139151843423
"KCNJ16",732.313709086473,0.667353940108064,0.163269872845276,4.08742855297307,4.36180942420939e-05,0.0329088135796064
"IL23A",130.666091866462,-0.624649572499278,0.155995701808137,-4.00427425409164,6.22081627372441e-05,0.042336274643591
"DUSP2",1334.12349873911,-0.943936603954887,0.235286992680735,-4.01185205012897,6.02442529979027e-05,0.042336274643591
"CXCL6",3964.66526180761,-0.671858254382407,0.168087429274402,-3.99707614830375,6.41296763094032e-05,0.042336274643591
"ARHGAP40",247.07429244051,0.718148975605019,0.180678476481357,3.97473450955914,7.04578079067433e-05,0.0446533403389776
"SLC6A20",426.912821766797,-0.565709030435628,0.142850660163195,-3.96014291981116,7.49049205092134e-05,0.0453233941082609
"SREK1IP1",739.829641878218,0.445657569946328,0.112744276153017,3.95281769640777,7.72362813003688e-05,0.0453233941082609
"SERPINB4",1649.23127533445,0.646382884950368,0.164241603070183,3.93556122728634,8.30024990973504e-05,0.0453595286496612
"CD200R1",395.681395044875,0.737768079014736,0.187464885856679,3.93550011055817,8.30236260313163e-05,0.0453595286496612
