"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CFB",20225.2392035072,1.62223560890119,0.268041152331807,6.05218860905743,1.42891026908082e-09,2.2612505008204e-05
"EPS8L3",160.757519523336,2.38171538006467,0.432115374745845,5.51175801477906,3.55267145766078e-08,0.000281105129087409
"TNFRSF6B",616.438915822016,2.69432318986763,0.498168574463315,5.40845675135223,6.35701336072958e-08,0.000335332454778486
"LINC01605",180.579516613654,-1.69613026890786,0.333380097669601,-5.08767704120366,3.62475954281348e-07,0.00143404549412558
"FFAR2",239.342547871459,2.16056304910507,0.437273607863537,4.9409866277119,7.77282398288863e-07,0.00175721342184589
"CDC20B",3663.0068519499,1.73993232398438,0.350592629898634,4.9628320038771,6.94726699674656e-07,0.00175721342184589
"IGFBPL1",90.1163039873986,1.91782218356244,0.38381203778892,4.99677444879192,5.82971864728182e-07,0.00175721342184589
"IL23A",131.830504674256,1.47924331048228,0.302675201043871,4.88722995931165,1.02264620942917e-06,0.00202292203302708
"NEK2",551.858932939635,1.49507554416846,0.309086995954791,4.83707035150434,1.31766800947773e-06,0.00231689958333167
"CCNB2",203.147691951741,1.34798432015123,0.282155505618355,4.77745177148705,1.77530611818149e-06,0.00239993918881929
"MIR6510",453.854027036159,-1.68590322736749,0.35199140003409,-4.78961482355596,1.67101757414793e-06,0.00239993918881929
"CEACAM7",137.942069282363,1.43181125539242,0.300015116584514,4.77246370680486,1.81985910052647e-06,0.00239993918881929
"KIF20A",249.512679688901,1.34498006708423,0.288968357747109,4.65441987340803,3.24894147747028e-06,0.00395496145238209
"TROAP",94.6289870677217,0.896444443621423,0.194689438987878,4.60448418918727,4.1348942846172e-06,0.00467390728957622
"M1AP",301.323289777181,1.12433219988678,0.245451036347367,4.58067815324115,4.63470619064842e-06,0.00488961503113408
"KRT15",8167.53997471205,-1.49811171702358,0.329398813806189,-4.5480179473416,5.41535183686839e-06,0.00504105545990837
"NCAPH",132.201313301496,1.28969553344624,0.282930869261768,4.55834153696752,5.15591442818038e-06,0.00504105545990837
"CXCR1",421.33277779562,2.14686380711373,0.480355490373691,4.4693229288242,7.84675873438287e-06,0.00653552405113731
"SULT1E1",172.481714640474,-1.99736656683133,0.446806942305068,-4.47031229310573,7.81054666180867e-06,0.00653552405113731
"ANLN",353.098412387711,1.79042481608763,0.404115609955749,4.43047675461901,9.40249827533091e-06,0.0070854540574815
"TNFRSF10C",234.666122670023,1.48790731966736,0.335792535205118,4.43103155571484,9.37833623942504e-06,0.0070854540574815
"DUOX2",3005.52665940297,1.68191404042748,0.382276851693746,4.39972766589308,1.08386813292502e-05,0.00745748400153842
"LCN2",104126.599875568,1.61159432401008,0.366287999920354,4.39980104278738,1.08350171299549e-05,0.00745748400153842
"FMOD",767.974468018879,-1.79622853686939,0.410168868559275,-4.37924151381522,1.19093089169501e-05,0.00785270056711396
"CSF3R",1436.79804821749,1.64932804901382,0.379672230412345,4.34408396743307,1.3985801746175e-05,0.00874567217748997
"PKP1",1925.97521627116,-1.31217553227312,0.302473707447952,-4.33814741566886,1.43688768792884e-05,0.00874567217748997
"ADM",224.914783156577,1.45103771359336,0.337051565160212,4.3050911598753,1.6691698707383e-05,0.00978319007571616
"CYP26A1",512.043856576824,-1.49081130490084,0.348872141439323,-4.27323115783987,1.92660542087902e-05,0.0098350099307776
"NETO2",159.691422915011,1.62065618405532,0.378457586065687,4.28226634562435,1.84999351684125e-05,0.0098350099307776
"IL1RN",1196.14149496656,1.6676735544664,0.389146785999152,4.28546146201509,1.82360259619719e-05,0.0098350099307776
"SERPINE1",506.114823048206,1.66241444654293,0.388551964162732,4.27848679165776,1.88168153527409e-05,0.0098350099307776
"REM1",295.03351088164,-1.3183071048684,0.309349235447841,-4.26154958152686,2.03014299780016e-05,0.0100396915438086
"WNT10A",187.126583267635,-1.88755346945114,0.444728757008351,-4.24428022633062,2.19296171153101e-05,0.0100566313901961
"SLC23A1",2442.80495713395,-1.28455819139119,0.302882866245387,-4.2411055049594,2.2242154733451e-05,0.0100566313901961
"IDO1",2256.63231026535,1.97315699128047,0.464234431217073,4.25034607215041,2.13440476453334e-05,0.0100566313901961
"LGALS7",689.29126987396,-2.01751749882372,0.47855151089558,-4.21588366746154,2.48802000938299e-05,0.0109369212912461
"C15orf48",1604.74973957779,1.75033205570926,0.418885391319036,4.1785464281712,2.93378111702259e-05,0.0125478611288871
"MRI1",1666.02615480119,-0.537978148970084,0.130232931282156,-4.13089180803684,3.61358633057886e-05,0.0142962509203526
"RRM2",373.681302207805,1.54218145947639,0.373223879254874,4.13205463314752,3.5953493393605e-05,0.0142962509203526
"APOBEC3A",120.622873686278,1.8769112612669,0.453088326444679,4.14248426128028,3.43563952080828e-05,0.0142962509203526
"SOCS2",81.7153284209717,1.40299085079666,0.34139618910518,4.10956799041601,3.96399994403608e-05,0.0143245283633932
"FOXN1",140.69200064079,-1.0554081697032,0.256480572474988,-4.11496340451332,3.87240847091159e-05,0.0143245283633932
"PXDN",368.291673167643,1.31395668057222,0.320142374553192,4.10428854476403,4.05561024706088e-05,0.0143245283633932
"CCNB1",683.80931129056,0.817547855079076,0.199084788421434,4.10653099898543,4.01645581444555e-05,0.0143245283633932
"MELK",169.692238920505,1.58240803019653,0.385644597229224,4.10328069306765,4.0733256009649e-05,0.0143245283633932
"ATP10B",550.447491290139,1.54075464629336,0.376297665685543,4.09451024227429,4.23061712641535e-05,0.0145542426142441
"TACC3",479.77294724415,0.888316032629478,0.21825336937294,4.07011371774778,4.69901949868083e-05,0.0154920799097134
"DLK2",780.293279005313,-1.28956574954489,0.31673427334034,-4.0714436614165,4.67226634724465e-05,0.0154920799097134
