"dds","results","design","samples","filter_method","n_filtered_genes","source_cell","df_name","n_sample_pos"
"dds1","res1","~ BAL_eos_ct_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N109,N110,N115,N134,N144,N157,N158,N165,N171,N176,N184,N207,N222,N238,N242,N256,N261,N274,N277,N279,N281,N284,N296,N302,N307,N324,N328,N329,N332,N334,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","BAL_eos_ct >=0","bal.all.e.c",45
"dds2","res2","~ BAL_eos_p_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N109,N110,N115,N134,N144,N157,N158,N165,N171,N176,N184,N207,N222,N238,N242,N256,N261,N274,N277,N279,N281,N284,N296,N302,N307,N324,N328,N329,N332,N334,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","BAL_eos_p >=0","bal.all.e.p",45
"dds3","res3","~ BAL_neut_ct_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N109,N110,N115,N134,N144,N157,N158,N165,N171,N176,N184,N207,N222,N238,N242,N256,N261,N274,N277,N279,N281,N284,N296,N302,N307,N324,N328,N329,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","BAL_neut_ct >=0","bal.all.n.c",43
"dds4","res4","~ BAL_neut_p_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N109,N110,N115,N134,N144,N157,N158,N165,N171,N176,N184,N207,N222,N238,N242,N256,N261,N274,N277,N279,N281,N284,N296,N302,N307,N324,N328,N329,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","BAL_neut_p >=0","bal.all.n.p",43
"dds5","res5","~ BAL_wbc_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N109,N110,N115,N134,N144,N157,N158,N165,N171,N176,N184,N207,N222,N238,N242,N256,N261,N274,N277,N279,N281,N284,N296,N302,N307,N324,N328,N329,N332,N334,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","BAL_wbc >=0","bal.all.w.c",45
"dds6","res6","~ blood_eos_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N110,N115,N134,N144,N157,N158,N165,N171,N184,N207,N222,N238,N242,N261,N274,N277,N279,N281,N284,N296,N302,N328,N329,N332,N334,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","blood_eos >=0","ser.all.e.c",40
"dds7","res7","~ blood_eos_p_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N110,N115,N134,N144,N157,N158,N165,N171,N184,N207,N222,N238,N242,N261,N274,N279,N281,N284,N296,N302,N328,N329,N332,N334,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","blood_eos_p >=0","ser.all.e.p",39
"dds8","res8","~ blood_neut_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N110,N115,N134,N144,N157,N158,N165,N171,N184,N207,N222,N238,N242,N261,N274,N277,N279,N281,N284,N296,N302,N328,N329,N332,N334,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","blood_neut >=0","ser.all.n.c",40
"dds9","res9","~ blood_neut_p_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N110,N115,N134,N144,N157,N158,N165,N171,N184,N207,N222,N238,N242,N261,N274,N277,N279,N281,N284,N296,N302,N328,N329,N332,N334,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","blood_neut_p >=0","ser.all.n.p",40
"dds10","res10","~ blood_wbc_log + Batch","N002,N009,N039,N045,N060,N067,N075,N078,N090,N103,N106,N108,N110,N115,N134,N144,N157,N158,N165,N171,N184,N207,N222,N238,N242,N261,N274,N277,N279,N281,N284,N296,N302,N328,N329,N332,N334,N335,N336,N337","TMM normalized LCPM cutoff","analyzed n_genes: 15498 , filtered n_genes: 10866","blood_wbc >=0","ser.all.w.c",40
