"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUOX2",54378.7623320014,-0.632383511872972,0.131508342340778,-4.80869502737912,1.5191876877007e-06,0.0198981415620285
"LOC80078",126.833791989339,-0.837036133737193,0.178048302239113,-4.701174474627,2.58669373572031e-06,0.0198981415620285
"B3GALT5",1057.54954721878,-0.695430100568123,0.152843933778637,-4.54993589457932,5.36622614386237e-06,0.0275197964077742
"DDIT4L",256.153657898032,-0.62174060498178,0.140275992767084,-4.43226665316942,9.32475958747799e-06,0.0311525142245485
"LOC101927691",33.5079675529427,-0.457381896818216,0.103608963485973,-4.41450123067912,1.01243140151279e-05,0.0311525142245485
"MANSC1",1417.91054334166,-0.390457378015414,0.0915346857338871,-4.26567672008582,1.99297187919167e-05,0.0425332663574674
"PTHLH",248.676894039439,0.878630287270194,0.208410029488615,4.21587334077025,2.48813387856488e-05,0.0425332663574674
"DUOXA2",13744.409572298,-0.663736681635899,0.154741610271732,-4.28932257115816,1.79218920596954e-05,0.0425332663574674
"SLC38A8",95.4554727165095,0.997002276642031,0.235414953723335,4.23508473388539,2.2846554013757e-05,0.0425332663574674
"PLA2G7",143.646515785306,-0.802077173176318,0.192191752055308,-4.17331734894378,3.00196338142316e-05,0.0461852066231954
