"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC729083",77.0927331311516,-0.834805948514161,0.174320231423111,-4.78892175451464,1.67679841191261e-06,0.0157787149423158
"LUCAT1",650.097281205264,-1.14570086239433,0.245482876871729,-4.66713147977725,3.05433893579478e-06,0.0157787149423158
"NR4A3",749.366459276964,-1.15876400292146,0.244621740613126,-4.73696246301373,2.1694532940757e-06,0.0157787149423158
"BRE-AS1",1342.07802035316,-0.972565909033128,0.214830238436991,-4.52713694361224,5.97881973299644e-06,0.0185319496443958
"LSMEM1",165.677597936603,-1.03057209071211,0.226672582089271,-4.54652292400428,5.45394320574665e-06,0.0185319496443958
"RGS2",24133.6941603333,-1.33305158246976,0.311303388489514,-4.28216213430219,1.85086037512112e-05,0.01924166244031
"TRAF3IP3",401.667565012698,-0.685852205464625,0.162694372101241,-4.21558654184935,2.4912983016771e-05,0.01924166244031
"CREM",2236.18233721482,-0.656371485653158,0.151505157035641,-4.33233758174151,1.47534494289028e-05,0.01924166244031
"IFIT1",766.296783015147,-0.635027253632729,0.147350883140421,-4.30962638362721,1.63530582741261e-05,0.01924166244031
"LINC00936",525.816253899752,-0.727348810896675,0.165489793103884,-4.39512792453665,1.10707538329676e-05,0.01924166244031
"ALOX5AP",2922.61478186027,-1.02028612694273,0.233892689712479,-4.36219758812022,1.28762499288214e-05,0.01924166244031
"FOS",36035.5954952594,-1.11735549557751,0.263727143593257,-4.23678609775867,2.26741954408261e-05,0.01924166244031
"P2RX1",226.820812564822,-1.11658594038675,0.258510171489928,-4.31931143734612,1.56516775174049e-05,0.01924166244031
"TYROBP",4723.76882185188,-0.892196942742846,0.209140121368044,-4.26602479192771,1.98986677744166e-05,0.01924166244031
"IL1RL1",552.952160815401,-1.13146163741171,0.269630301884539,-4.19634451136812,2.71257535403284e-05,0.01924166244031
"OSM",11516.3594511422,-1.43365143933879,0.341576817137197,-4.19715673725875,2.70286881407706e-05,0.01924166244031
"CXCL8",49312.8810389184,-1.35004038357519,0.32183857708896,-4.19477489549682,2.73142711115511e-05,0.01924166244031
"SCLT1",478.197880128416,-0.691321032393166,0.163973432278229,-4.2160551425193,2.48612993220682e-05,0.01924166244031
"VNN2",4018.72486017547,-1.12252500595676,0.266172557682213,-4.21728301268741,2.4726356344303e-05,0.01924166244031
"LINC-PINT",468.333404497293,-0.574098470422836,0.135613007702657,-4.23335843772151,2.30227123549049e-05,0.01924166244031
"LOC100506860",143.028412212245,-0.868899903942682,0.194934576274343,-4.45739242647148,8.29626459163866e-06,0.01924166244031
"FAM86B3P",467.623104020525,-0.827111877616139,0.19554090374727,-4.22986629275864,2.33830250821417e-05,0.01924166244031
"PLAUR",11065.8409013386,-1.10126385384489,0.263279152766358,-4.18287525720726,2.87845348392083e-05,0.0193957704755674
"GIMAP2",59.8288292106859,-0.567159861867456,0.136357981066466,-4.15934481745517,3.19161772955114e-05,0.0206098714885765
"LINC00152",455.227341612358,-0.688732009648181,0.166175379688392,-4.1446092131077,3.40393699026987e-05,0.021101686190081
"PLK3",2019.24273588926,-0.667816266748562,0.165699319065929,-4.03028974719473,5.57081398454527e-05,0.0215841187831207
"IFITM2",27923.5463233983,-0.884783771397976,0.214503619074248,-4.12479647297567,3.71062737737136e-05,0.0215841187831207
"AMICA1",3517.55457505771,-0.962545858840199,0.238633187511734,-4.03357918853122,5.49336565813609e-05,0.0215841187831207
"DDIT3",1701.96045598062,-0.615669130457944,0.149864547702322,-4.10817061070944,3.98805465320368e-05,0.0215841187831207
"GCN1",7507.62198112367,0.246623075157337,0.0606607756741355,4.06561031270313,4.7906927235177e-05,0.0215841187831207
"CMTM2",1007.83102304233,-1.19849516804112,0.296273481145163,-4.04523267964676,5.22711813032836e-05,0.0215841187831207
"GMFG",1819.91447465828,-0.942381722866973,0.232162585165432,-4.05914554317811,4.92526093995807e-05,0.0215841187831207
"COL9A3",94.2503354612067,-0.622717708249354,0.152884269820831,-4.0731313233149,4.63852522525962e-05,0.0215841187831207
"NEFH",24.4054606590832,-0.589807592194959,0.144003003232417,-4.09580063578968,4.20711870149837e-05,0.0215841187831207
"LAMB2",4999.89389656762,0.433512222556225,0.106453350488601,4.07232107365796,4.65469546232701e-05,0.0215841187831207
"C4orf3",5137.1436297053,-0.277941754886736,0.0685993807222301,-4.05166565587766,5.0854301080249e-05,0.0215841187831207
"FAM65B",4602.97993338616,-0.896980541852299,0.222499653520309,-4.03137949952101,5.54504242777042e-05,0.0215841187831207
"LST1",1590.98714256563,-0.982278877820595,0.240155251940514,-4.09018278752407,4.31033357552767e-05,0.0215841187831207
"AOAH",518.818572746183,-0.861060955404099,0.211692062985176,-4.06751648248803,4.75168485386885e-05,0.0215841187831207
"SLC25A53",46.6821722629412,-0.514026532884301,0.126416969679994,-4.06611971624921,4.78023866406766e-05,0.0215841187831207
"TREM1",4784.64124539695,-1.26747890925242,0.317108566881734,-3.99698728330203,6.41537459434069e-05,0.0242501159666078
"IDI1",4007.04868765874,-0.495449707534026,0.124721158323696,-3.97245915763671,7.11344356296077e-05,0.0250554882588105
"NLRP12",350.421021279171,-1.17193943739301,0.294984464976454,-3.9728852754553,7.10072538185809e-05,0.0250554882588105
"LOC105747689",270.824812943147,-1.02411980774032,0.257695243584153,-3.9741509912886,7.06307474912952e-05,0.0250554882588105
"SRGN",17518.00166027,-1.16975306943333,0.297905678370522,-3.92658869690441,8.61591289613503e-05,0.0255138492246472
"CKLF",1052.34916511882,-0.552134590731539,0.140509387941071,-3.9295210008537,8.51152431650812e-05,0.0255138492246472
"TNFSF14",225.807364561786,-0.966155069784218,0.245325701271096,-3.93825459288741,8.20764815297325e-05,0.0255138492246472
"HCST",276.322150316518,-0.578190110496781,0.145998909713762,-3.96023581018755,7.48757886009411e-05,0.0255138492246472
