"","x"
"1","MAPRE3"
"2","CD46"
"3","FNIP1"
"4","UBXN2B"
"5","MAB21L3"
"6","TP73"
"7","COL5A3"
"8","EGFLAM"
"9","HERC5"
"10","KIAA1656"
"11","GPBAR1"
"12","CDK20"
"13","USP3-AS1"
"14","LINC00882"
"15","SLC9A3"
"16","ZNF185"
"17","ANKRD34B"
"18","LOC101929771"
"19","PRB4"
"20","MIR142"
"21","PIH1D2"
"22","C2orf40"
"23","LOC101929626"
"24","METTL7A"
"25","SLC52A3"
"26","GNA14"
"27","CCDC114"
"28","CRNDE"
"29","CD84"
"30","PCNX"
"31","CFAP53"
"32","FLJ26850"
"33","CCRL2"
"34","ZMYND10"
"35","MB21D2"
"36","RELL1"
"37","DNAH5"
"38","SH3KBP1"
"39","ARID4B"
"40","GPR132"
"41","ATG3"
"42","RASSF5"
"43","LOC100506123"
"44","UCKL1-AS1"
"45","FKRP"
"46","NRIP1"
"47","PLA2G2F"
"48","RIT1"
"49","PTGS2"
"50","CELF2"
"51","VMP1"
"52","FAM20A"
"53","FOXJ1"
"54","ZEB2-AS1"
"55","RNF175"
"56","CCDC162P"
"57","WDR31"
"58","ASB9"
"59","RP2"
"60","TANK"
"61","FLVCR2"
"62","TMEM138"
"63","TMEM180"
"64","SPTBN5"
"65","ATP2C2"
"66","SIGLEC9"
"67","SPATA4"
"68","LOC101927822"
"69","STK26"
"70","PRSS22"
"71","S100A9"
"72","GAS2L3"
"73","SPEG"
"74","VEGFA"
"75","COL1A2"
"76","STAG2"
"77","NFAM1"
"78","MIER3"
"79","EGR1"
"80","CLDN18"
"81","EEF1A2"
"82","SAMSN1"
"83","ANKRD45"
"84","CLEC12A"
"85","UBA6"
"86","POLR2J3"
"87","AGBL4"
"88","RIIAD1"
"89","LRRC10B"
"90","CDH5"
"91","FHAD1"
"92","USP32"
"93","IFNGR2"
"94","OXSR1"
"95","IKZF1"
"96","ATP10B"
"97","ERBB4"
"98","RASSF2"
"99","DOCK5"
"100","RLF"
"101","NEK11"
"102","PTPRN2"
"103","MORN5"
"104","NR4A2"
"105","CD302"
"106","RNF13"
"107","PNPLA8"
"108","SP1"
"109","CRLF3"
"110","DNAH6"
"111","CCDC157"
"112","CACNA1E"
"113","STX2"
"114","AQP9"
"115","USP3"
"116","DDX3X"
"117","COL4A1"
"118","MAP3K1"
"119","NLRP10"
"120","MIER1"
"121","TNFAIP6"
"122","CDKL1"
"123","CCDC88A"
"124","ID4"
"125","COLEC12"
"126","LMNTD1"
"127","ASGR2"
"128","HS3ST3A1"
"129","TEKT3"
"130","C10orf54"
"131","C4orf19"
