"","x"
"1","PROL1"
"2","MYH1"
"3","GPR50"
"4","POSTN"
"5","CERS3"
"6","F5"
"7","MANSC1"
"8","XDH"
"9","EDIL3"
"10","LOC101927416"
"11","TNFSF13B"
"12","IRG1"
"13","ALOX15"
"14","MCTP1"
"15","EREG"
"16","HSD17B13"
"17","CNR1"
"18","MAN1A1"
"19","PLXDC2"
"20","CLEC2B"
"21","PRR32"
"22","GBP2"
"23","SNX10"
"24","NGRN"
"25","SAMD9"
"26","SLC39A2"
"27","DIO1"
"28","CPM"
"29","CEACAM7"
"30","TMPRSS11E"
"31","FYB"
"32","HTR1B"
"33","PRRG1"
"34","IFIT2"
"35","DUSP4"
"36","PCDHAC2"
"37","SLC22A3"
"38","COL6A6"
"39","EVI2A"
"40","HP"
"41","DDIT4L"
"42","NAIP"
"43","MROH9"
"44","MS4A8"
"45","LRRC48"
"46","TMPRSS11A"
"47","KIAA1551"
"48","CHST5"
"49","IVL"
"50","A2ML1"
"51","IGSF6"
"52","DNAH9"
"53","CX3CR1"
"54","MAP6"
"55","CLEC7A"
"56","C15orf26"
"57","HEPHL1"
"58","BIN2"
"59","GBP5"
"60","ADRA2A"
"61","MYO15A"
"62","DSC2"
"63","KCNE1"
"64","SULT1B1"
"65","FAM201A"
"66","FCGR3A"
"67","FGL2"
"68","DDX60L"
"69","ST8SIA4"
"70","SLAMF7"
"71","HSPA7"
"72","HIF1A-AS2"
"73","ALOX15P1"
"74","SMCHD1"
"75","TMPRSS11D"
"76","TGM5"
"77","CLEC5A"
"78","MYLK3"
"79","AOAH"
"80","DMRT3"
"81","CYBB"
"82","FAM47E"
"83","XKR3"
"84","AIM2"
"85","FCGR1A"
"86","PTPRC"
"87","ANKRD22"
"88","DNAH10"
"89","PRRT3"
"90","PCDHAC1"
"91","ZNF117"
"92","MFAP2"
"93","FCGR1C"
"94","MNDA"
"95","DYDC1"
"96","CNGA4"
"97","LRRK2"
"98","RASSF3"
"99","C12orf75"
"100","LINC00332"
"101","PCSK6"
"102","CFAP52"
"103","CD300E"
"104","CCDC40"
"105","FBXO15"
"106","CCDC151"
"107","MORN2"
"108","TTC30A"
"109","FLJ32255"
"110","PRDM1"
"111","GIMAP4"
"112","PTPRD"
"113","SPAG8"
"114","AP1S2"
"115","SCEL"
"116","LRRC18"
"117","GCA"
"118","ARHGAP15"
"119","MSR1"
"120","CCL2"
"121","UBE2D1"
"122","EPB41L3"
"123","C4orf32"
"124","EID2B"
"125","IGFBP5"
"126","C1orf189"
"127","CCDC113"
"128","NTRK2"
"129","HYDIN"
"130","PLA2G7"
"131","IFIT3"
"132","TLR4"
"133","DUOX2"
"134","PLBD1"
"135","HOPX"
"136","FAM149A"
"137","NLRC4"
"138","SYK"
"139","FCGR2C"
"140","DNAH3"
"141","TPSD1"
"142","CASP5"
"143","TNFAIP8L1"
"144","GABRQ"
"145","LOC100507472"
"146","CARD16"
"147","FCGR1B"
"148","PMAIP1"
"149","SPATA18"
"150","PIH1D3"
"151","HRNR"
"152","SKAP2"
"153","LY96"
"154","C10orf99"
"155","SCEL-AS1"
"156","VWA3B"
"157","IL5RA"
"158","CHST2"
"159","MEF2C"
"160","TCTE1"
"161","MBOAT2"
"162","DUSP5"
"163","CFAP61"
"164","RSPH1"
"165","LDLRAD1"
"166","DLG5-AS1"
"167","ENTPD1"
"168","BCAT1"
"169","RND1"
"170","USP15"
"171","LINC00173"
"172","MAP1A"
"173","PRSS54"
"174","EVI2B"
"175","SLC8A1"
"176","LKAAEAR1"
"177","CFAP99"
"178","TLR10"
"179","LOC441081"
"180","PPIL6"
"181","PCDHA12"
"182","C1orf194"
"183","VAV3"
"184","MPEG1"
"185","CASP1"
"186","TMEM231"
"187","QPCT"
"188","MN1"
"189","GLIPR1"
"190","MIR3187"
"191","TGM6"
"192","PCDHA1"
"193","CDKN2B"
"194","CLCA4"
"195","LRMP"
"196","LINC00443"
"197","SP140"
"198","PCDHA7"
"199","PCDHA13"
"200","PIP"
"201","SPIN4"
"202","FAM198B"
"203","PNMAL1"
"204","MLKL"
"205","PCDHA11"
"206","PCDHA9"
"207","TSNAXIP1"
"208","SPATS1"
"209","TEKT1"
"210","UMODL1"
"211","SAMD9L"
"212","TMEM151B"
"213","PCDHA2"
"214","LOC80078"
"215","MS4A7"
"216","KIF9"
"217","UFC1"
"218","RPTN"
"219","LPPR3"
"220","SEC14L4"
"221","MME"
"222","PCDHA3"
"223","PCDHA8"
"224","LOC441178"
"225","NPL"
"226","CNIH2"
"227","CYP27C1"
"228","PHLDA1"
"229","CFAP221"
"230","NAMPT"
"231","CFAP126"
"232","SAP30"
"233","CETN2"
"234","DSG3"
"235","SLC24A4"
"236","UBXN10"
"237","PLEKHB1"
"238","LRRC23"
"239","STOML3"
"240","TM4SF19-TCTEX1D2"
"241","TMPRSS11B"
"242","PCDHA5"
"243","CYP3A5"
"244","MSI1"
"245","BLNK"
"246","KIAA2012"
"247","GK"
"248","ANKK1"
"249","DNAJC22"
"250","SLC27A2"
"251","EFCAB12"
"252","CCNL1"
"253","TLR6"
"254","PCDHA6"
"255","GJB1"
"256","DOCK11"
"257","LPCAT2"
"258","YPEL4"
"259","MXD1"
"260","FAM86B1"
"261","DSC3"
"262","ACE2"
"263","JMJD1C"
"264","HN1L"
"265","TTC30B"
"266","LOC101927056"
"267","LRAT"
"268","CEP72"
"269","PPP1R16B"
"270","EFCAB10"
"271","CSGALNACT1"
"272","MAF"
"273","PCDHA4"
"274","C14orf37"
"275","P2RY13"
"276","ZEB1"
"277","SPAG6"
"278","BOD1L1"
"279","TTC12"
"280","RASAL1"
"281","KIF19"
"282","SLC40A1"
"283","CCDC108"
"284","CD86"
"285","CREBRF"
"286","ZNF267"
"287","CEACAM1"
"288","GDNF"
"289","MIR5090"
"290","ZEB2"
"291","ENDOU"
"292","LINC01587"
"293","RGS2"
"294","DUSP6"
"295","KCNRG"
"296","RSPH14"
"297","SHISA8"
"298","JAKMIP2-AS1"
"299","ZMYND12"
"300","DNAAF1"
"301","C6orf118"
"302","LOC100506990"
"303","LOC100499484-C9ORF174"
"304","CCDC180"
"305","MS4A6A"
"306","PCDHA10"
