"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","results"
"DUOX2",54365.2746067566,-0.14424768979625,0.0302528588003657,-4.76806806087714,1.86000952079288e-06,0.0463960774866575,"res2"
"NPPB",15.8198975150543,4.94719582760486,0.884195756118317,5.59513636360732,2.20448433016472e-08,0.000541994517414298,"res3"
"HBA2",6117.69444225303,-0.851925223204131,0.188197244026158,-4.52676779414325,5.98926884280536e-06,0.0490840545897375,"res3"
"HBA1",2487.96676982475,-0.851354162891556,0.184756640015551,-4.60797599923823,4.06607583466301e-06,0.0490840545897375,"res3"
"NPPB",15.8198975150543,3.50682115271815,0.601538041090052,5.82975790918129,5.55078449614655e-09,0.000136665865079624,"res4"
"HBA1",2487.96676982475,-0.605791856002085,0.123162847351034,-4.91862496711754,8.71542686484746e-07,0.0107291262419705,"res4"
"LOC101928626",14.0954893462368,-2.89239742008791,0.599794177027679,-4.82231660604207,1.41900475806881e-06,0.0116457720494707,"res4"
"HBA2",6117.69444225303,-0.599573310381074,0.125875376954153,-4.76322951230927,1.90518936210935e-06,0.0117269168211236,"res4"
"MIR4461",96.8018555752645,1.74161412122977,0.276375555393208,6.30162142506389,2.94547893435067e-10,7.43939614448949e-06,"res5"
"ADRA2B",90.9827498931272,0.970729155847354,0.201616479232351,4.81473121415162,1.47398151050257e-06,0.0186141755053818,"res5"
"MTRNR2L2",1263.55925435437,1.13263843898931,0.243376443662931,4.65385401291335,3.25787505050858e-06,0.0274280500502317,"res5"
"CTAG2",2.49708575805292,9.4912638435727,0.707130028825592,13.4222327671982,4.48008939430969e-41,1.01913073541757e-36,"res6"
"MYL7",63.9044745546531,3.42727389111541,0.38316778575611,8.94457733275339,3.73375860873967e-19,4.2467770415805e-15,"res6"
"MTRNR2L2",1229.52772898962,-0.716093293566449,0.117037801014377,-6.11847870824643,9.44729021260659e-10,7.16356525854582e-06,"res6"
"TFF3",16751.2575855551,0.459613227187935,0.0887093706807396,5.18111247617864,2.20566433879569e-07,0.00125436130947311,"res6"
"CASQ2",30.4719808645348,0.746081612668421,0.153469235250557,4.86144087087132,1.16534390846172e-06,0.00530184864593743,"res6"
"HRNR",68.1014300786212,-0.567404931502345,0.117665440842133,-4.82218846452637,1.4199168991826e-06,0.00538337827043428,"res6"
"MARVELD1",242.324730423326,0.399096706283136,0.0864865597175554,4.61455175909981,3.93944594564335e-06,0.0112018145464369,"res6"
"ISLR",160.311686486543,0.535226420533821,0.115406179139151,4.63776224571541,3.52201589844344e-06,0.0112018145464369,"res6"
"RPL21",12679.5007065214,0.129901254156782,0.0288913962713164,4.49619163216937,6.91813906997991e-06,0.0144198693704964,"res6"
"RPL21P28",12679.365931092,0.129897833751782,0.0288920950574262,4.4959645014872,6.92552909056393e-06,0.0144198693704964,"res6"
"ANKRD37",949.042382329515,0.249669691859188,0.0555498585894973,4.49451534529005,6.97285752925359e-06,0.0144198693704964,"res6"
"SLIT1",197.429313459132,0.331515448905565,0.0743064422103581,4.46146308508568,8.14019701476161e-06,0.0154311001409831,"res6"
"DKK3",157.005849281629,0.546939760971239,0.123482046815494,4.42930591998099,9.45368440033301e-06,0.0165424932875981,"res6"
"STMN1",895.943033187605,0.219869111251081,0.0509049944505586,4.31920509223568,1.56592208005696e-05,0.0232516909593731,"res6"
"DES",104.20533953408,1.0130862070467,0.235076079922637,4.3096099244981,1.6354275336292e-05,0.0232516909593731,"res6"
"UBE2C",267.890021043441,0.297003810511843,0.0685982088265798,4.32961465892915,1.49370483277068e-05,0.0232516909593731,"res6"
"SLC38A8",100.264795975952,0.492882447488635,0.115025558368047,4.28498200296981,1.82753981596169e-05,0.0244546327844097,"res6"
"ELFN1",12.6771370941211,0.58527846732441,0.137945097510017,4.24283630146341,2.20712434752026e-05,0.0278931470318839,"res6"
"LKAAEAR1",58.7070652458631,0.730161858659218,0.173684558148778,4.20395380246619,2.62292494136175e-05,0.0307640642445842,"res6"
"LOC100506990",939.833357231713,0.24310284466175,0.057923039750095,4.1969973556395,2.70477090246036e-05,0.0307640642445842,"res6"
"PROL1",10.7185537451896,-1.23541454858244,0.296069904483916,-4.17271235567125,3.00994842263712e-05,0.0321004782261815,"res6"
"RPS6",23319.0222717176,0.101126497745591,0.0242762091851643,4.16566264420687,3.10449499286088e-05,0.0321004782261815,"res6"
"WSCD2",15.6395117508511,0.682853015183541,0.164869690768796,4.14177410049939,3.4462969102264e-05,0.0340853748321001,"res6"
"LY6G5C",177.714915452221,0.246958964621363,0.0599204518244512,4.12144697014098,3.76500143475014e-05,0.0356859385990401,"res6"
"COL4A2-AS1",21.2169372696616,0.310893053731397,0.075708399399043,4.10645392320006,4.01779562447418e-05,0.0365587259462154,"res6"
"PIK3CD-AS2",63.5377508736947,0.37472367159779,0.0915169501946696,4.09458215992447,4.22930421614034e-05,0.0370031585802925,"res6"
"SNHG5",1814.63596111669,0.261628337938109,0.0643127694642324,4.06806206788551,4.74057554299109e-05,0.0394085184063502,"res6"
"CERCAM",198.250388811704,0.272276237733832,0.0670184406866371,4.06270624837324,4.85070562413313e-05,0.0394085184063502,"res6"
"RAB30-AS1",172.459250133937,0.123423486729517,0.0307533077604193,4.0133402133857,5.98655321493238e-05,0.0440268255236754,"res6"
"CCNB2",155.119276814087,0.271360909722686,0.0676235079418242,4.01281918051538,5.99978719550702e-05,0.0440268255236754,"res6"
"MYLK3",71.9749151252461,0.409145152613358,0.10193870326315,4.01363897632846,5.97897725588069e-05,0.0440268255236754,"res6"
"BIRC5",230.108609700236,0.316199168063854,0.0791978151711961,3.99252387683107,6.53737479795678e-05,0.0464725630949752,"res6"
