Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0030018~Z disc	21	9.375	3.489287846331312E-19	UNC45B, RYR2, CAV3, ACTN2, NEXN, LDB3, CSRP3, DES, C10ORF71, SYNPO2L, NRAP, MYO18B, HRC, CASQ2, XIRP2, TCAP, SCN5A, MYOZ2, TRIM54, MYH6, MYH7	179	136	20521	17.70214426552744	7.15304008497919E-17	7.15304008497919E-17	6.455182515712927E-17
GOTERM_BP_DIRECT	GO:0060048~cardiac muscle contraction	14	6.25	2.6988878101281612E-17	MYBPC3, RYR2, MYL4, CSRP3, TNNT2, MYL2, MYL3, CASQ2, TCAP, TNNI3, SCN5A, NKX2-5, MYH6, MYH7	172	42	19256	37.31782945736435	3.163096513470205E-14	3.1603976256600766E-14	3.0875276547866166E-14
GOTERM_BP_DIRECT	GO:0045214~sarcomere organization	13	5.803571428571429	2.6292576970688308E-15	MYBPC3, ACTN2, LDB3, LMOD2, MYOM3, CSRP3, SYNPO2L, TNNT2, ANKRD1, TCAP, MYOZ2, MYH6, MYH7	172	44	19256	33.07716701902748	3.1228353236656403E-12	1.5394303816338003E-12	1.5039354027233711E-12
GOTERM_CC_DIRECT	GO:0030017~sarcomere	12	5.357142857142857	2.0348320257453467E-13	MYBPC3, ACTA1, ACTC1, TNNT2, MYL2, MYL3, TNNI3, LRRC10, MYOZ2, MYH6, MYH7, LMOD2	179	47	20521	29.27041483418519	4.1718295484827195E-11	2.0857028263889802E-11	1.8822196238144455E-11
GOTERM_BP_DIRECT	GO:0055013~cardiac muscle cell development	8	3.571428571428571	1.6176180233174363E-9	SGCD, CAV3, ACTN2, MYO18B, TCAP, LRRC10, NKX2-5, MYH6	172	25	19256	35.82511627906977	1.8958465467511232E-6	5.126581717681748E-7	5.00837701539532E-7
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	11	4.910714285714286	1.7511807746137482E-9	CKMT2, ACTA1, DES, SGCA, HRC, SCN7A, MYH6, LMOD3, MYH7, LMOD2, TRDN	172	78	19256	15.788312462731067	2.052381741668441E-6	5.126581717681748E-7	5.00837701539532E-7
GOTERM_BP_DIRECT	GO:0002026~regulation of the force of heart contraction	7	3.125	5.1260101504170295E-9	MYL4, CSRP3, PLN, MYL2, MYL3, MYH6, MYH7	172	17	19256	46.09849521203831	6.0076658907615155E-6	1.2005115772276682E-6	1.1728311224154163E-6
GOTERM_BP_DIRECT	GO:0002027~regulation of heart rate	8	3.571428571428571	1.6925975128740714E-8	RYR2, KCNJ8, CAV3, HRC, CASQ2, SCN5A, MYH6, MYH7	172	34	19256	26.341997264021888	1.9837046318471607E-5	3.3033861459592293E-6	3.2272192578798958E-6
GOTERM_CC_DIRECT	GO:0031672~A band	6	2.6785714285714284	5.646821843992155E-8	MYL4, MYBPC3, UNC45B, MYL7, MYL2, MYL3	179	13	20521	52.911903738719374	1.157591810441172E-5	3.858661593394639E-6	3.4822068037951624E-6
GOTERM_BP_DIRECT	GO:0055010~ventricular cardiac muscle tissue morphogenesis	7	3.125	6.915742520764426E-8	MYBPC3, TNNT2, MYL2, MYL3, TNNI3, MYH6, MYH7	172	25	19256	31.346976744186048	8.104922050777841E-5	1.1569049274021633E-5	1.1302299205363576E-5
GOTERM_CC_DIRECT	GO:0097512~cardiac myofibril	5	2.232142857142857	8.099454095227166E-8	MYBPC3, DES, TNNT2, MYL2, TNNI3	179	6	20521	95.53538175046555	1.6603743726140152E-5	4.150970223803922E-6	3.7459975190425645E-6
GOTERM_BP_DIRECT	GO:0008016~regulation of heart contraction	7	3.125	4.0778856411749825E-7	CHRM2, PLN, DES, CAV3, TNNT2, HSPB7, MYH6	172	33	19256	23.7477096546864	4.77814105081964E-4	5.9690051072698804E-5	5.831376466880225E-5
