Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	153	7.742914979757084	5.307614527504794E-72	OR8I2, OR11H2, OR5K3, OR51D1, OR2M5, OR6M1, OR2M3, OR4K17, OR4Q3, OR2T12, OR52N5, OR51L1, OR5D18, OR1S2, OR5H14, OR1S1, OR10W1, OR5B2, OR8H2, OR2L8, OR5J2, OR52E2, OR11G2, OR2L5, OR2L2, OR4P4, OR2T6, OR2T5, OR6T1, OR2T4, OR2T3, OR2T2, OR10V1, OR4X2, OR5AC2, OR9A4, OR4K14, OR4K13, OR9A2, OR6C6, OR4C16, OR6C3, OR5A2, OR5AK2, OR5A1, OR4C15, OR6C2, OR13C2, OR4C13, OR2C3, OR1A2, OR6K3, OR6K2, OR5I1, OR9Q2, OR9Q1, OR1I1, OR5M10, OR2S2, OR2AK2, OR51S1, OR7D4, OR2B6, OR4F6, OR10K1, OR5H2, OR4N5, OR2J3, OR2J2, OR10S1, OR5P2, OR52K2, OR52K1, OR9G9, OR4D11, OR4D10, OR10C1, OR2Z1, OR7C2, OR9G4, OR2A5, OR51A7, OR9G1, OR10J3, OR52J3, OR10J5, OR4M2, OR4M1, OR5W2, OR6Y1, OR2Y1, OR52B4, OR4D6, OR8D1, OR7A17, OR4D1, OR6C75, OR6C74, OR1F1, OR2H1, OR10A7, OR56A5, OR52A1, OR56A4, OR3A2, OR4A15, OR52A5, OR56A1, OR8K5, OR51F2, OR5M9, OR51F1, OR5M8, SLC24A4, OR10H1, OR10H3, OR4K5, OR2G2, OR1E1, OR10H5, OR4K2, OR10H4, OR5M3, OR4S1, OR8B8, OR4C45, OR5AN1, OR13F1, OR12D2, OR1F2P, OR4C46, OR2T27, OR5AU1, OR51E1, OR6F1, OR14A16, OR2F1, OR2T29, OR51E2, OR5L2, OR51M1, OR1L3, OR5T3, OR6V1, OR4F15, OR2V2, OR2V1, GPR148, OR8A1, OR4A5, OR10G7, OR10G9, OR5C1	1250	433	19256	5.4432665127020785	2.019547327715574E-68	2.0190165662628234E-68	2.00415524558581E-68
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	201	10.172064777327936	2.4909211671277465E-70	OR8I2, OR11H2, OR2M5, OR2M3, OR4K17, FZD10, OR4Q3, OR52N5, RXFP1, RXFP3, OR51L1, OR5D18, OR10W1, C3AR1, OR5B2, OR8H2, OR2L8, OR2L5, OR11G2, TAAR5, OR2L2, OR4P4, TAAR1, OR6T1, OR10V1, ADGRB3, OR4K14, OR4K13, OR6C6, OR4C16, OR6C3, OR5A2, OR5AK2, OR5A1, OR4C15, OR6C2, OR4C13, ADCYAP1R1, TAS2R40, TAS2R41, OR1I1, FPR2, OR5M10, MC2R, OR7D4, NTSR2, OR4N5, OR2J3, OR2J2, OR10S1, OR5P2, OR52K2, OR52K1, GPR183, OR9G9, OR4D11, OR4D10, OR2Z1, OR10C1, RGL4, OR7C2, OR9G4, OR9G1, GPR27, TAS2R60, OR10J3, OR10J5, OR3A4P, OR5W2, OR6Y1, OPN1LW, OR52B4, OR4D6, OR4D1, PTH2R, OPN1MW, FSHR, OR52A1, OR3A2, OR4A15, OR52A5, OR8K5, OR10H1, OR10H3, OR10H5, OR10H4, CXCR4, OR4S1, CXCR2, OR4C45, OR5AN1, GPR158, OR1F2P, OR4C46, OR6F1, OR14A16, OR51M1, GPR50, OR1L3, GPR4, OR5T3, GPR141, MAS1, OR6V1, GPR148, OR4A5, OR10G7, OR10G9, OR5C1, OR5K3, GPR65, OR51D1, OR6M1, OR2T12, OR1S2, OR5H14, OR1S1, GHSR, CASR, OR5J2, OR52E2, OR2T6, OR2T5, OR2T4, OR2T3, OR2T2, OR4X2, OR5AC2, MTNR1B, OR9A4, OR9A2, PGR, OR13C2, OR2C3, OR1A2, OR6K3, OR6K2, OR5I1, OR9Q2, OR9Q1, ADGRG4, OR2S2, OR2AK2, OR51S1, OR2B6, OR4F6, OR10K1, OR5H2, HTR1E, OPN5, OR2A5, OR51A7, OR52J3, HTR2C, OR4M2, OR4M1, ADGRE2, ADGRE3, OR2Y1, MRGPRX4, OR8D1, OR7A17, OR6C75, MRGPRX1, OR6C74, OR1F1, OR2H1, GLP2R, OPRM1, OR10A7, OR56A5, OR56A4, OR56A1, OR51F2, CX3CR1, OR5M9, OR51F1, OR5M8, OR4K5, OR2G2, OR1E1, NPY4R, OR4K2, OR5M3, OR8B8, OR13F1, TAS1R2, OR12D2, OR51E1, OR2T27, OR5AU1, MAS1L, OR2F1, OR2T29, OR5L2, OR51E2, OR4F15, OR2V2, OR2V1, OPN1MW2, OR8A1	1248	749	18883	4.060417094587655	2.5482123539716848E-67	2.5507032751388124E-67	2.515830378799024E-67
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	153	7.742914979757084	2.704834801638846E-68	OR8I2, OR11H2, OR5K3, OR51D1, OR2M5, OR6M1, OR2M3, OR4K17, OR4Q3, OR2T12, OR52N5, OR51L1, OR5D18, OR1S2, OR5H14, OR1S1, OR10W1, OR5B2, OR8H2, OR2L8, OR5J2, OR52E2, OR11G2, OR2L5, OR2L2, OR4P4, OR2T6, OR2T5, OR6T1, OR2T4, OR2T3, OR2T2, OR10V1, OR4X2, OR5AC2, OR9A4, OR4K14, OR4K13, OR9A2, OR6C6, OR4C16, OR6C3, OR5A2, OR5AK2, OR5A1, OR4C15, OR6C2, OR13C2, OR4C13, OR2C3, OR1A2, OR6K3, OR6K2, OR5I1, OR9Q2, OR9Q1, OR1I1, OR5M10, OR2S2, OR2AK2, OR51S1, OR7D4, OR2B6, OR4F6, OR10K1, OR5H2, OR4N5, OR2J3, OR2J2, OR10S1, OR5P2, OR52K2, OR52K1, OR9G9, OR4D11, OR4D10, OR10C1, OR2Z1, OR7C2, OR9G4, OR2A5, OR51A7, OR9G1, OR10J3, OR52J3, OR10J5, OR3A4P, OR4M2, OR4M1, OR5W2, OR6Y1, OR2Y1, OR52B4, OR4D6, OR8D1, OR7A17, OR4D1, OR6C75, OR6C74, OR1F1, OR2H1, OR10A7, OR56A5, OR52A1, OR56A4, OR3A2, OR4A15, OR52A5, OR56A1, OR8K5, OR51F2, OR5M9, OR51F1, OR5M8, OR10H1, OR10H3, OR4K5, OR2G2, OR1E1, OR10H5, OR4K2, OR10H4, OR5M3, OR4S1, OR8B8, OR4C45, OR5AN1, OR13F1, OR12D2, OR1F2P, OR4C46, OR2T27, OR5AU1, OR51E1, OR6F1, OR14A16, OR2F1, OR2T29, OR51E2, OR5L2, OR51M1, OR1L3, OR5T3, OR6V1, OR4F15, OR2V2, OR2V1, GPR148, OR8A1, OR4A5, OR10G7, OR10G9, OR5C1	1248	450	18883	5.144407051282051	2.7670460020765394E-65	1.3848754184390892E-65	1.3659415748276173E-65
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	221	11.18421052631579	2.1248010641183722E-66	OR8I2, OR11H2, OR2M5, OR2M3, OR4K17, FZD10, OR4Q3, GRPR, OR52N5, RXFP3, OR51L1, PREX2, OR5D18, GNAT2, OR10W1, C3AR1, PROK2, OR5B2, OR8H2, OR2L8, OR2L5, OR11G2, TAAR5, OR2L2, OR4P4, TAAR1, OR6T1, OR10V1, ADGRB3, OR4K14, OR4K13, AGTR1, OR6C6, OR4C16, OR6C3, OR5A2, OR5AK2, OR5A1, OR4C15, OR6C2, OR4C13, TAS2R40, TAS2R41, OR1I1, FPR2, OR5M10, MC2R, GNG10, DNAJC25-GNG10, OR7D4, CGA, OR4N5, OR2J3, OR2J2, OR10S1, OR5P2, OR52K2, OR52K1, GPR183, OR9G9, OR4D11, OR4D10, OR2Z1, OR10C1, RGL4, OR7C2, OR9G4, OR9G1, GPR27, TAS2R60, OR10J3, OR5W2, OR6Y1, OPN1LW, OR52B4, OR4D6, OR4D1, EDN1, AVPR1B, PTH2R, OPN1MW, FSHR, VN1R4, OR52A1, OR3A2, OR4A15, OR52A5, OR8K5, OR10H1, OR10H3, OR10H5, OR10H4, CXCR4, OR4S1, OR4C45, OR5AN1, GPR158, OR1F2P, OR4C46, P2RY13, OR6F1, GABBR2, OR14A16, CCL20, OR51M1, GPR50, OR1L3, GPR4, OR5T3, GPR141, MAS1, OR6V1, GPR148, GHRL, OR4A5, OR10G7, OR10G9, OR5C1, OR5K3, GPR65, OR51D1, OR6M1, OR2T12, OR1S2, OR5H14, RGS2, OR1S1, RGS1, CCRL2, RGS7, GHSR, CASR, LHCGR, OR5J2, OR52E2, OR2T6, OR2T5, OR2T4, OR2T3, OR2T2, OR4X2, OR5AC2, MTNR1B, OR9A4, OR9A2, PGR, OR13C2, OR2C3, OR1A2, OR6K3, OR6K2, OR5I1, OR9Q2, OR9Q1, ADGRG4, OR2S2, HRH1, OR2AK2, OR51S1, OR2B6, OR4F6, OR10K1, OR5H2, HTR1E, OPN5, OR2A5, OR51A7, OR52J3, CXCL8, PDE3B, OR4M2, OR4M1, PIK3CG, ADGRE2, ADGRE3, OR2Y1, MRGPRX4, OR8D1, OR7A17, NPY5R, OR6C75, MRGPRX1, OR6C74, OR1F1, OR2H1, OR10A7, OR56A5, OR56A4, OR56A1, OR51F2, RGS18, CX3CR1, OR5M9, OR51F1, RGS17, OR5M8, OR4K5, OR2G2, OR1E1, NPY4R, OR4K2, OR5M3, GNA13, GNG2, OR8B8, OR13F1, TAS1R2, OR12D2, OR51E1, OR2T27, OR5AU1, MAS1L, OR2F1, OR2T29, OR5L2, OR51E2, OR4F15, OR2V2, OR2V1, OPN1MW2, OR8A1	1250	953	19256	3.572361804826863	8.084868048970406E-63	4.041371623953144E-63	4.0116244090554866E-63
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	566	28.643724696356276	9.368364981587098E-39	OR11H2, OR2M5, OR2M3, OR4K17, FZD10, OR4Q3, GRPR, RXFP1, RXFP2, RXFP3, PREX2, GNAT2, MS4A18, C3AR1, MS4A14, GJA8, UNC13C, UNC13A, OR2L8, UNC5A, PRKCB, OR11G2, OR2L5, TAAR5, OR4P4, OR2L2, MCEMP1, PDYN, DKK1, TAAR1, GABRG2, OR6T1, SLC5A7, SCN10A, BIN2, OR4K14, OR4K13, AGTR1, SKAP2, OR1I1, LYPD4, FPR2, LYPD5, OR5M10, GALR1, EPB41L3, PLCG2, SLC19A3, S100A12, LYN, OR4N5, OR2J3, OR2J2, SLC16A10, OR5P2, GRIN2B, SLC6A5, EHD3, TREML4, GPR183, TREML2, NOX3, TNFSF9, OR10C1, FAT3, TNFSF8, XKR3, GAPT, GPR27, OR10J3, SIGLEC9, OR10J5, KCNC2, PRSS27, LITAF, SLC6A2, SLC6A3, MYPN, OR5W2, OR6Y1, OPN1LW, OR52B4, ANXA9, SLC18A3, TACR3, EMP1, PTH2R, SLC39A12, F5, GJD2, APBB1IP, F9, OPN1MW, SLCO4A1, TLR10, VN1R4, OR52A1, OR52A5, SERPINB12, OR10H1, OR10H3, KCNA1, OR10H5, OR10H4, KCNA2, ADCY8, SLC7A3, OR4S1, GLRA1, ADAM29, GLRA2, ADAM23, SLC17A6, PRAME, CSMD3, SLC17A8, STX3, RHBG, GPR158, OR1F2P, SLC17A4, GABRA2, GABRA1, P2RY13, OR14A16, GPR50, OR1L3, GPR4, ADAM30, OR5T3, GPR141, OR6V1, LPCAT2, UBAP1, GPR148, RHAG, OR10G7, CRLF3, OR10G9, DGKG, SEMA5B, CLEC4M, GPR65, CTNND2, SLA, IL1RAP, CDH9, SLC8A1, BEST1, CYSLTR1, OR1S2, OR1S1, HEPHL1, CLEC5A, POTED, PLXNC1, ROS1, KCNH4, LHCGR, KCNH5, KCNH7, DIO2, OLFM4, OR2T6, OR2T5, OR2T4, ADAM2, CLEC4A, OR2T3, OR2T2, CLEC4D, OR4X2, MTNR1B, OR9A4, OR9A2, PGR, ADAM7, RHCG, CLEC4E, S100A9, OR13C2, S100A8, GRIA1, GRIA2, LY96, LIN7A, LRRC52, KNG1, OR2S2, CLEC7A, OR51S1, CD300LB, CD300LD, CLCA4, AMBP, HTR1E, TNFRSF10C, BMX, PTPRC, SLCO1A2, ESAM, SLC26A3, LRRK2, DYSF, HTR2C, FCAR, PIK3CG, TNFSF13B, UNC80, FCGR3A, CLEC1A, FCGR3B, OR2Y1, CNGA2, OR8D1, OR7A17, SLC13A1, TRPC7, GRID2, CR1, SLC36A2, SLC13A4, OR6C75, GRID1, OR6C74, OR10A7, OR56A5, NRG3, RP2, ITGA8, LCP1, OR56A4, SMIM23, OR56A1, CX3CR1, SLC24A4, CATSPER4, NLRC4, NOD2, IL2RG, SLITRK2, OR8B8, SLITRK1, SLITRK4, SLITRK3, OR13F1, OR12D2, FCGR1A, CACNG3, OR5AU1, KCNJ6, SLC12A1, PCDH8, KCNJ15, SORL1, CPPED1, HCRTR2, FCGR2A, OR2V2, OR2V1, OPN1MW2, P2RX1, OR8A1, PIK3AP1, EVI2B, MDGA2, OR8I2, ERRFI1, IFITM2, TRAF3IP3, ZAN, AQP9, ANTXR2, OR52N5, OR51L1, OR5D18, OR10W1, OR5B2, OR8H2, PAQR9, SLC6A19, IL1R2, TMEM170B, EREG, PSG9, ARC, OR10V1, ADGRB3, BTK, OR6C6, OR4C16, OR6C3, OR5A2, OR5AK2, OR4C15, OR6C2, OR5A1, OR4C13, NECAB2, ADCYAP1R1, SLC22A6, TAS2R40, GYPA, IGSF6, TAS2R41, PCDH15, CD1B, SMIM9, MC2R, GNG10, SI, OR7D4, SCN3A, PAG1, NTSR2, CCR1, SLC10A6, TNFSF14, SLC10A2, RAB39B, OR10S1, IL36G, OR52K2, OR52K1, ATP4B, ATP4A, BST1, VNN2, OR9G9, OR4D11, OR4D10, OR2Z1, RGL4, OR7C2, SLC22A8, OR9G4, OR9G1, TAS2R60, RDH8, PTPRN, OR3A4P, SLC7A14, GRIK4, GABRR3, SLC22A12, SLC22A14, GLIPR1, KCNT2, OR4D6, CCR3, RAB8B, SLC22A11, CD53, OR4D1, FCER1G, MME, AVPR1B, RHOH, SORCS3, CEACAM3, CLDN11, TLR1, DCSTAMP, SLC22A24, HCK, CEACAM1, CEACAM7, ADRB3, FSHR, GFRAL, TLR8, CLDN17, TLR6, TLR4, OR4A15, SPAM1, OR3A2, TLR2, OR8K5, LILRA6, AMER2, GNAI3, CXCR4, STX11, LILRA5, C10ORF90, RELN, CXCR2, PLEKHG4B, OR4C45, OR5AN1, MPZL3, GPC6, OR4C46, MPP1, GABRQ, OR6F1, GABBR2, GCA, SLC31A2, LHFPL5, OR51M1, LILRB2, LILRB3, LYVE1, XG, VMP1, MAS1, STK17B, MC5R, CCNYL2, FAS, OR4A5, CD69, IL18R1, OR5C1, ITPRIP, SIRPD, OR5K3, PCDH11X, NPY2R, OR51D1, OR6M1, OR2T12, PLB1, OR5H14, RGS2, IL18RAP, BASP1, FRRS1L, RGS1, CCRL2, PRND, SH3GL2, RGS7, GHSR, CASR, DSCAM, OR5J2, OR52E2, ATP1B2, GEM, ADAM18, OR5AC2, CARD16, ABCG4, DPEP3, OR2C3, OR1A2, OR6K3, OR6K2, OR5I1, CHRNA6, CABP2, OR9Q2, OR9Q1, KIR2DL1, ARHGAP15, CACNA1E, MCHR2, EFNB2, SDCBP, KCNV1, HRH1, ASIC4, DPP6, OR2AK2, HRH2, OR2B6, OR4F6, OR10K1, OR5H2, UBE2B, MUC17, CNTN6, MUC19, TRPV3, OPN5, VIL1, NFKBIA, SELL, TRPV5, CASS4, OR2A5, ULBP1, MUC21, OR51A7, DOCK5, RTP2, OR52J3, DOCK8, PLEK, SIRPB2, SLC2A2, OR4M2, OR4M1, RND3, SIRPB1, SLC2A7, ADGRE2, CA2, ADGRE3, CA4, CASP4, CASP1, MRGPRX4, TMPRSS11A, FGA, TMPRSS11B, NPY5R, ABCC8, MRGPRX1, OR1F1, OR2H1, GLP2R, OPRM1, TMPRSS11E, TMPRSS11F, TMPRSS11D, GAP43, CDH10, ATP6V1B2, SCN4A, DOCK2, CAMK1G, CLRN1, ZP4, SHANK1, CDH19, OR51F2, RGS18, OR5M9, OR51F1, RGS17, OR5M8, RALB, OR4K5, OR1E1, NPY4R, OR2G2, OR4K2, OR5M3, ATP1A4, GNA13, IL1RL1, IL1RL2, TMEM202, GNG2, SV2A, MUC7, TAS1R2, OPCML, OR51E1, OR2T27, MAS1L, LIM2, OR2F1, OR2T29, OR51E2, OR5L2, ZNF804A, OPRK1, ATP2B2, ATP2B1, EPOR, OR4F15	1346	5395	20521	1.599478632325622	5.208810929762426E-36	5.208810929762426E-36	5.105758914964968E-36
GOTERM_MF_DIRECT	GO:0005549~odorant binding	41	2.0748987854251015	9.980141750072674E-18	OR8K5, OR8I2, OR5M9, OR5M8, OR10J3, OR6K3, OR5K3, OR6K2, OR5I1, OR5M3, OR9Q2, OR9Q1, OR5M10, OR5W2, OR5H14, OR5D18, OBP2A, OR8B8, OR10W1, OR5AN1, OR12D2, OR8D1, OR5B2, OR8H2, OR5AU1, OR10K1, OR5H2, OR14A16, OR5J2, OR5L2, OR5P2, OR5T3, OR10V1, OR5AC2, GPR148, OR8A1, OR5A2, OR9G4, OR5A1, OR5AK2, OR5C1	1248	125	18883	4.962839743589744	1.0209685010324346E-14	3.406555050691473E-15	3.3599810558578007E-15
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	41	2.0748987854251015	3.2708638659703947E-13	CXCL6, DEFB105A, DEFB105B, DEFB126, DEFB125, LPO, NLRC4, FPR2, NOD2, STATH, LYST, LYZL6, CASP4, CASP1, S100A12, FCGR1A, ELANE, CAMP, MBL2, CHGA, AKIRIN2, GBP5, SPAG11B, FCER1G, SPAG11A, DEFB119, DEFB118, CCL20, DEFB115, NR1H4, DEFA3, DEFB113, AICDA, MIR223, CLEC4D, CARD16, TLR6, CLEC4E, S100A9, TLR4, S100A8	1250	167	19256	3.7820167664670663	1.244507830122643E-9	3.5089753476017504E-10	3.4831469275878576E-10
GOTERM_BP_DIRECT	GO:0007608~sensory perception of smell	34	1.7206477732793521	3.6897742876990017E-13	OR8K5, OR8I2, OR5M9, OR5M8, SLC24A4, OR10J5, OR1E1, OR5I1, OR5M3, OR3A4P, OR9Q2, OR9Q1, SLC6A3, OR2S2, OR5M10, OR5D18, OBP2A, OR8B8, CNGA2, OR8D1, OR5B2, OR8H2, OR4D1, OR5L2, OR51M1, OR5T3, OR5AC2, OR8A1, OR52A1, OR6C3, OR9G4, OR5AK2, OR6C2, OR52A5	1250	118	19256	4.438671186440678	1.4037676576705849E-9	3.5089753476017504E-10	3.4831469275878576E-10
GOTERM_CC_DIRECT	GO:0005576~extracellular region	226	11.437246963562753	8.124663141703519E-13	PRSS1, ANTXR2, IL36A, IL36B, FTH1, LIPN, PROK2, IL1R2, RNASE3, PDYN, DKK1, EREG, PSG9, SFRP4, PSG5, SCGB1C2, BIN2, SCGB1C1, IL23A, PADI2, FREM1, HHLA1, PCDH15, KLK3, KLK2, LYPD4, LYPD5, KLK8, KLK7, ADAMTS19, LCN15, ADAMTS18, APOH, S100A12, FAM180A, SPRR2A, CGA, ELANE, RNASE11, IL36G, RNASE13, PRG3, BST1, TG, VNN2, TREML4, BPIFB3, CELF2-AS1, BPIFB6, PAEP, F13B, BSPH1, SFTA3, DEFB105A, ECM1, SERPINA1, DEFB105B, MTRNR2L5, PRSS27, CTSV, IFNA8, MLN, RSPO2, CAMP, EDN1, SERPINB1, SFTPC, F5, IL1A, F9, COL2A1, CEACAM7, DNASE1L2, APCS, GRP, DEFB128, DEFB126, AFM, DEFB125, AOAH, STATH, LILRA5, LYZL6, RELN, CST11, EPYC, RNASE9, ADAM23, RNASE7, PATE3, SPP2, GC, GPC6, GCA, ODAM, CCL20, PMCHL1, OSM, KLK15, PRSS35, CFHR4, GHRH, QPCT, SEMG1, CFHR5, GHRL, YPEL5, CLEC4M, SIRPD, PMCH, IL1RAP, FGF5, TNR, IL13RA2, PRND, RPTN, CPA2, SPAG11B, SPAG11A, DEFB119, DEFB118, DSCAM, IFNA16, IFNA17, DEFB115, SPINK5, FAM24A, DEFB113, OLFM4, IAPP, S100A9, S100A8, PNLIP, REG3A, CALCA, CALCB, LY96, LPO, CES5A, KNG1, SDCBP, IL36RN, NXPH1, BRINP3, CLCA4, FGF21, IFNA21, DEFA6, AMBP, MUC17, DEFA4, AMBN, MUC19, DEFA3, A2ML1, INHBA, PRNT, BMP5, GH2, GH1, FGF19, CRISP1, PNLIPRP1, CXCL6, PNLIPRP2, CXCL8, TNFAIP6, LAMC3, CRISP3, PLEK, CXCL2, FCAR, HAPLN2, TNFSF13B, HK3, FCGR3B, OBP2A, ADAMTS1, ADGRE3, CASP4, SOST, LBP, MBL2, SRGN, TMPRSS11A, FGA, CELA2A, OVCH1, GPX6, GPX5, ELSPBP1, MMP8, TMPRSS11E, TMPRSS11F, APOA5, GIP, TMPRSS11D, ADAMTS20, GREM2, NRG3, CHI3L1, SCGB2A2, COL6A5, DOCK2, PNLIPRP3, ZP4, FGL1, FGL2, PTH2, ITIH1, OC90, IL1RL1, SLITRK1, OPCML, CHGA, PLA2G2E, GALNT1, OOSP1, EPOR, CPPED1, HCG22, PTX3, MNDA, MDGA2, GLA, CKLF	1346	2172	20521	1.5863611984489887	4.517284324379034E-10	2.258656353393578E-10	2.2139707061142087E-10
GOTERM_BP_DIRECT	GO:0045087~innate immune response	77	3.896761133603239	4.092171056152717E-11	DEFB105A, DEFB105B, CLEC4M, CRISP3, IL1RAP, PRDM1, PIK3CG, IL36A, IL36B, CLEC5A, CASP4, LBP, CAMP, MBL2, GBP5, FGA, FCER1G, DEFB119, DEFB118, DEFB115, DEFB113, RNASE3, TLR1, HCK, AIM2, IL23A, BTK, TLR8, TLR10, PADI4, TLR6, CLEC4E, S100A9, TLR4, S100A8, TLR2, CX3CR1, WFDC11, APCS, TRIM64C, TRIM64B, SAMD9, DEFB128, PRKDC, DEFB126, DEFB125, LY96, NLRC4, NOD2, LILRA5, RFPL4A, IL1RL2, RNASE7, S100A12, IL36RN, TRIM49B, TRIM49, FCGR1A, TRIM49D2, TRIM49C, TRIM49D1, TRIM43, TRIM43B, CHGA, LYN, AKIRIN2, DEFA4, NR1H4, IL36G, DEFB132, USP29, NLRP10, TREML4, BPIFB3, PTX3, TRIM77, APOBEC3B	1250	528	19256	2.2465333333333333	1.5570709621659518E-7	3.113323739520987E-8	3.090407581606532E-8
