Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0001533~cornified envelope	14	3.357314148681055	1.3438992346464578E-11	CSTA, KRT10, KRT75, SERPINB5, TGM1, KRT17, KRT16, KRT14, DSG1, DSG3, DSG4, DSC1, DSC2, DSC3	339	60	20521	14.124582104228121	3.4941471938054747E-9	3.49413801008079E-9	3.4135040560020026E-9
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	23	5.515587529976019	7.099394595250085E-11	ZBP1, RTP4, RSAD2, STAT1, STAT2, IFIT5, LILRB1, IFIT1, DDX60, PARP9, IFIT3, IFI44L, IFIT2, OASL, IFIH1, HERC5, IFNL2, OAS2, IRF1, OAS3, GBP2, GBP1, APOBEC3A	322	235	19256	5.8528875379939205	1.2274859850780473E-7	8.706706512877216E-8	8.55554841369532E-8
GOTERM_BP_DIRECT	GO:0045109~intermediate filament organization	14	3.357314148681055	1.0077206612126408E-10	KRT82, KRT4, KRT3, KRT10, KRT75, KRT72, KRT17, KRT27, KRT16, KRT26, KRT14, NEFL, KRT6B, KRT6A	322	69	19256	12.133585381222431	1.7423487197465448E-7	8.706706512877216E-8	8.55554841369532E-8
GOTERM_CC_DIRECT	GO:0005576~extracellular region	73	17.505995203836928	4.932171175970525E-9	FCN1, PGLYRP4, ACHE, PGLYRP3, SPARC, FLT4, IL27, DMKN, FGF1, ADAMTSL1, ENDOU, CRHBP, LIPG, KDR, RSPO3, LIPM, TIMP1, LIPK, CD34, EDN2, MAMDC2, PRLR, MMP10, DKK2, VCAN, MMP13, EMCN, COL4A2, COL4A1, PSG4, ZPBP2, COL8A1, CDH13, ANGPTL4, DNASE1L3, EPHA3, DSC3, HBEGF, COL17A1, CST9L, COL15A1, LUZP2, NTM, CHRD, CST8, ART3, ACAN, APOL4, IFNL2, CCL7, CCL4, CCL2, ARSI, IGFBP6, FGF23, GBP1, APOL3, WNT10A, LUM, IGFL2, LILRB1, ENOX1, CXCL10, CXCL11, SEMG2, FABP5, SCGB3A2, CCDC3, SIGLEC1, TEK, VIP, LCN6, HAMP	339	2172	20521	2.0345195217218883	1.2823637000058952E-6	6.411822528761682E-7	6.263857393482566E-7
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	21	5.0359712230215825	9.35125305885331E-9	COL15A1, FLT1, EDN2, TIE1, FLT4, CAV1, ECSCR, FGF1, EMCN, SOX17, COL4A2, SOX18, RHOJ, HAND1, KDR, APLNR, CCL2, COL8A1, TEK, AMOTL1, ANGPTL4	322	252	19256	4.98343685300207	1.616818598793035E-5	5.386321761899507E-6	5.292809231310973E-6
GOTERM_CC_DIRECT	GO:0005615~extracellular space	66	15.827338129496402	1.847325777017152E-8	FCN1, MOXD1, ACHE, PTPRR, FLT1, SPARC, REG1A, HILPDA, IL27, SERPINA9, DMKN, FGF1, CXCL14, WFDC5, ENDOU, CRHBP, LIPG, TIMP1, MIR28, EDN2, SERPINB9, SERPINB5, MMP10, DKK2, VCAN, MMP13, COL4A2, COL4A1, OAS3, MIR361, COL8A1, CDH13, ANGPTL4, HBEGF, COL17A1, CST9L, LRRC15, COL15A1, CSTA, SERPINB13, CHRD, CST9, ACAN, APOL4, IFNL2, CCL8, CCL7, FLRT2, CCL4, MIR370, CCL2, IGFBP6, FGF23, MIR19B1, WNT10A, LUM, IGFL2, KRT10, SELE, MIR92A1, CXCL10, CXCL11, SEMG2, FABP5, SCGB3A2, HAMP	339	1931	20521	2.068999967919781	4.803035540956735E-6	1.601015673414865E-6	1.564069157874522E-6
GOTERM_BP_DIRECT	GO:0009615~response to virus	13	3.117505995203837	2.503813667010396E-7	BATF3, RSAD2, LILRB1, IFIT1, DDX60, IFIT3, IFIT2, OASL, IFIH1, CCL8, OAS2, OAS3, CCL4	322	108	19256	7.198297676558546	4.3281574553866164E-4	1.081647504148491E-4	1.0628689016459131E-4
GOTERM_CC_DIRECT	GO:0005882~intermediate filament	14	3.357314148681055	5.723679300332213E-7	KRTAP13-2, KRTAP21-2, KRT4, KRT3, KRT10, KRT75, KRT17, KRT27, KRT16, KRT26, KRT14, NEFL, KRTAP20-2, KRT6A	339	140	20521	6.05339233038348	1.4880463189448356E-4	3.7203915452159386E-5	3.634536355710955E-5
GOTERM_CC_DIRECT	GO:0045095~keratin filament	12	2.877697841726619	8.732146902935926E-7	KRT82, KRT17, KRT4, KRT3, KRT16, KRT14, KRT10, KRT75, KRTAP1-1, KRT6B, KRT72, KRT6A	339	101	20521	7.192149303425917	2.270101479083797E-4	4.540716389526682E-5	4.4359306266914505E-5
GOTERM_MF_DIRECT	GO:0030280~structural constituent of epidermis	8	1.9184652278177456	3.0650259195872128E-6	KRT82, KRT4, KRT3, KRT10, KRT75, KRT6B, KRT72, KRT6A	331	37	18883	12.33477586347677	0.0015864261530823542	0.001406030015401033	0.0013789388783027473
GOTERM_BP_DIRECT	GO:0031424~keratinization	10	2.3980815347721824	4.249711643985158E-6	KRT82, TGM1, KRT17, KRT4, KRT3, KRT16, KRT75, KRT6B, KRT72, KRT6A	322	75	19256	7.973498964803313	0.007320838201203328	0.0014687003441612707	0.0014432020742973597
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	22	5.275779376498801	4.445908957613852E-6	FCN1, CD274, LILRB1, CLEC14A, SELE, PRLR, ENOX1, P2RX7, FCER2, FCRLB, CXCL10, CDH5, EMCN, IL2RA, CLEC6A, KDR, CDH13, SLAMF7, CD34, CLEC4G, CCR2, SLAMF1	339	407	20521	3.272103962369449	0.0011552710585742698	1.9026741002456496E-4	1.8587662363938267E-4
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	127	30.455635491606714	5.122584116045979E-6	FCN1, SPARC, CPNE4, IFIT5, OR52N1, AQP1, NIPAL4, TGM1, ENDOU, CDH5, GJA3, CAPNS2, KDR, MS4A12, SLC39A2, TGM5, CALN1, GPR78, KCNK10, TAP1, SLC6A11, UNC93A, PRLR, CLDN6, EMCN, PSG4, APLNR, CD300E, ENTHD1, OR13C3, DSC1, DSC2, CLEC4G, EPHA3, DSC3, COL17A1, SLC22A3, CD274, SUCNR1, NPR1, NTM, ECSCR, CACNA1C, SLC30A10, SLC5A4, ART3, FLRT2, HRH3, NPBWR1, OR51B6, SLAMF7, OR6B1, CD300LG, GGT5, TCAF2, CAV1, RAB39A, HTR1B, OR5P3, PARP14, SELE, GNG11, IL22RA1, GJB2, CLEC6A, NOSTRIN, CNTN1, AMOTL1, GPR101, ACHE, GABRB1, TENM2, PTPRR, FLT1, FLT4, LDB2, ADAMTSL1, OR56B1, CNGA1, OR8D4, CLEC1B, CD34, CCR2, TMEM150B, TRPC3, PLA2G4E, SSTR2, ANO5, FCER2, OAS3, RHOJ, IL1RAPL1, VN1R2, DSG1, CDH13, OR10A2, DSG3, DSG4, CDH16, HBEGF, LRRC15, RAMP3, SLC47A1, SEMA3G, TMEM74, OR8S1, FGD5, PTCHD3, GABRD, LY6G6E, GBP1, GBP4, MPP4, STAT2, TIE1, GABRA4, LILRB1, OTOP3, ENOX1, P2RX7, FABP5, IL2RA, TEK, SIGLEC1, ACKR1, ADGRL4, PTPN5	339	5395	20521	1.4249876292098278	0.0013309887292383138	1.9026741002456496E-4	1.8587662363938267E-4
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	16	3.8369304556354913	5.41822741965716E-6	FCN1, REG1A, LGALSL, CLEC14A, SELE, FCER2, ACAN, VCAN, EMCN, CLEC6A, CNTN1, LGALS17A, SIGLEC1, CLEC1B, CD34, CLEC4G	331	213	18883	4.285321192006014	0.002802714448664978	0.001406030015401033	0.0013789388783027473
GOTERM_BP_DIRECT	GO:0030855~epithelial cell differentiation	11	2.6378896882494005	5.517430970013187E-6	DLX3, KRT17, KRT4, COL4A1, DLX5, KRT3, KRT27, KRT16, KRT26, KRT14, KRT10	322	98	19256	6.712384332615034	0.009494306214066772	0.0015890201193637977	0.0015614329645137319
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	8	1.9184652278177456	7.562441852892153E-6	IFIH1, RSAD2, OAS2, OAS3, IFIT5, IFIT1, APOBEC3A, OASL	322	44	19256	10.872953133822698	0.012990398275543047	0.0018668427888282344	0.001834432323744411
GOTERM_BP_DIRECT	GO:0007259~JAK-STAT cascade	8	1.9184652278177456	1.0265717029793475E-5	IFNL2, SOCS1, STAT1, STAT2, CCL2, PRLR, HAMP, CCR2	322	46	19256	10.400216041047798	0.017592921056636457	0.002071127798560009	0.002035170718723898
