Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0060271~cilium assembly	46	4.181818181818182	4.816157717513611E-21	UNC119B, TRAF3IP1, ARL3, IFT172, CEP164, FBF1, CBY1, CCDC28B, STK36, WDR90, TCTN2, TEKT1, TMEM107, TCTN1, KIAA0753, TEKT2, DZIP1L, CEP250, TEKT4, TEKT5, CC2D2A, BBS5, BBS1, DNAI2, IFT140, CCDC57, DNAAF1, ARMC9, RABL2A, RFX2, IFT122, RABL2B, KIF24, FOXJ1, FUZ, WDR54, TMEM231, IFT22, IFT43, UBXN10, MKS1, IFT27, B9D1, B9D2, IFT46, CEP89	694	228	19256	5.597957429597047	1.126980905898185E-17	1.1264992901264336E-17	1.1197566693219145E-17
GOTERM_CC_DIRECT	GO:0005929~cilium	44	4.0	1.166627012504936E-17	FANK1, UNC119B, STOML3, LRRC56, TTLL10, TRAF3IP1, ARL3, IFT172, USH1C, KIF17, CFAP126, DNALI1, KIF19, NPHP1, INPP5E, CDK20, ROPN1L, DRD2, SPA17, DNAI1, TUB, IFT140, ODF2, DNAAF1, MOK, IQCE, IFT122, TTC21A, FUZ, DLEC1, ADCY10, TTLL6, IFT22, IFT43, MORN5, UBXN10, MKS1, IFT27, B9D1, IFT46, DNAL4, TTLL9, GAS8, CCDC40	765	244	20521	4.837265616629165	5.0981600446465706E-15	5.0981600446465706E-15	4.853168372020534E-15
GOTERM_CC_DIRECT	GO:0005930~axoneme	31	2.8181818181818183	1.6368923117710816E-16	DNAH3, DNAH1, DNAH2, SPEF1, TRAF3IP1, CCDC103, IFT172, DNAH9, RSPH9, KIF17, AK8, DNALI1, KIF19, INPP5E, HYDIN, DZIP1L, CFAP46, BBS5, CFAP45, BBS1, CFAP74, CFAP52, DNAI2, DNAH10, IFT140, DNAAF1, LRRC43, WDR54, DRC1, GAS8, CCDC40	765	125	20521	6.652559477124184	4.851674617611934E-14	3.5766097012198135E-14	3.40473600848385E-14
GOTERM_CC_DIRECT	GO:0031514~motile cilium	30	2.727272727272727	1.9354885217575487E-15	DRC7, DNAH2, CCDC103, DNAH9, RSPH9, DNALI1, NPHP1, TEKT1, TEKT2, ROPN1L, TEKT4, TEKT5, SPA17, CFAP45, BBS1, IFT140, DNAJB13, IFT122, IQCD, ADCY10, RSPH1, RSPH14, IFT27, DRC1, IFT46, TTLL9, ROPN1, GAS8, CEP89, CFAP99	765	126	20521	6.386865857454093	8.247846849940288E-13	2.8193616133601624E-13	2.6838774168371337E-13
GOTERM_CC_DIRECT	GO:0097729~9+2 motile cilium	15	1.3636363636363635	1.2876416868761238E-12	DNAH3, RSPH10B, CFAP52, DNAH2, DNAH10, SPEF1, CETN2, DNAH9, RSPH9, AK8, DNALI1, CROCC, DNAI1, RSPH10B2, CFAP45	765	31	20521	12.9797596457938	5.626972221506321E-10	1.4067485429121652E-10	1.3391473543511686E-10
GOTERM_CC_DIRECT	GO:0036064~ciliary basal body	31	2.8181818181818183	2.8210452709933904E-12	FANK1, C11ORF97, TRAF3IP1, CETN2, IFT172, FBF1, CBY1, KIF17, CFAP126, DZIP1L, CEP250, NPHP4, BBS5, GAS2L2, ENKD1, IFT140, ODF2, ARMC9, RABL2A, IFT122, RABL2B, IQCD, KNCN, MAPK15, TTLL6, MKS1, B9D1, B9D2, IFT46, TTLL9, GAS8	765	176	20521	4.7248291740938795	1.2328105203351925E-9	2.4655935668482235E-10	2.3471096654665007E-10
GOTERM_CC_DIRECT	GO:0036126~sperm flagellum	20	1.8181818181818181	1.9119529892088873E-10	CFAP74, DNAH1, DNAI2, DNAH2, TCP11X2, ODF2, DNAJB13, RSPH9, TCTE1, AK8, DNALI1, RSPH1, KIF9, MORN5, IFT27, TEKT4, TEKT5, DRD2, TCP11, GAS8	765	84	20521	6.386865857454093	8.355233471757373E-8	1.3925390938071396E-8	1.3256207391848285E-8
GOTERM_BP_DIRECT	GO:0035082~axoneme assembly	13	1.1818181818181819	2.049360837431891E-10	CFAP74, LRGUK, DNAAF1, FOXJ1, RSPH9, LRRC43, DCLK1, RSPH1, STK36, CFAP46, CC2D2A, GAS8, CCDC40	694	30	19256	12.023439000960614	4.795502844823218E-7	2.3967274993765964E-7	2.382381973514573E-7
GOTERM_BP_DIRECT	GO:0030317~flagellated sperm motility	20	1.8181818181818181	1.2083457856528833E-9	DRC7, DNAH1, CFAP52, TTC21A, DPCD, TCTE1, CATSPERD, TEKT1, TEKT2, NPHP4, ARMC12, ROPN1L, TEKT4, TEKT5, DNAI1, TTLL9, ROPN1, GAS8, CFAP45, CCDC40	694	96	19256	5.780499519692603	2.8275250750775527E-6	9.421069308806979E-7	9.364679838809846E-7
GOTERM_CC_DIRECT	GO:0005814~centriole	26	2.3636363636363638	3.956623445179837E-9	CETN2, CEP164, FBF1, CBY1, WDR90, KIAA0753, DZIP1L, CEP250, NPHP4, ENKD1, CCDC78, IFT140, ODF2, CCDC57, MAGI2, STARD9, ARMC9, RABL2A, RABL2B, KIF24, MAPK15, IFT43, CROCC, MKS1, SFI1, CEP89	765	169	20521	4.126897938662644	1.729042966469585E-6	2.470063493633698E-7	2.351364790278303E-7
GOTERM_BP_DIRECT	GO:0060294~cilium movement involved in cell motility	11	1.0	6.8464742037353875E-9	DNAH3, DNAH2, DNAH10, TEKT1, TEKT2, CFAP46, TEKT4, DNAH9, RSPH9, TEKT5, GAS8	694	25	19256	12.208414985590778	1.6020621270262936E-5	4.003475790634268E-6	3.979513130921194E-6
GOTERM_BP_DIRECT	GO:0003351~epithelial cilium movement	10	0.9090909090909091	1.9176666586323422E-8	ADCY10, DNAH1, STK36, CCDC103, ROPN1L, SPA17, DPCD, DNAI1, GAS8, CCDC40	694	21	19256	13.212570330725951	4.487239345030147E-5	8.970844629082098E-6	8.917149962640392E-6
GOTERM_BP_DIRECT	GO:0007368~determination of left/right symmetry	15	1.3636363636363635	1.0933398846255958E-7	DNAI2, DNAAF3, IFT140, CCDC103, FOXJ1, DLL1, DPCD, ACVR2B, WIF1, MKS1, DRC1, CC2D2A, DNAI1, DAND5, GAS8	694	68	19256	6.120528903203933	2.558088222274213E-4	4.262203316898781E-5	4.2366920529241836E-5
GOTERM_CC_DIRECT	GO:0036038~MKS complex	8	0.7272727272727273	1.3609279781646324E-7	TCTN2, TCTN1, TMEM107, MKS1, B9D1, B9D2, CC2D2A, TMEM231	765	13	20521	16.507591754650576	5.9470788231985594E-5	7.434069080724305E-6	7.076825486456088E-6
GOTERM_BP_DIRECT	GO:0044458~motile cilium assembly	10	0.9090909090909091	2.518114526420458E-7	DNAAF3, DNAAF1, MKS1, FOXJ1, RSPH9, ZMYND10, CC2D2A, BBS5, ENKD1, CCDC40	694	27	19256	10.276443590564629	5.89065306349501E-4	8.414099824710645E-5	8.363737534182236E-5
GOTERM_BP_DIRECT	GO:1905515~non-motile cilium assembly	13	1.1818181818181819	1.779244975793521E-6	BBS1, CCDC13, IFT140, IFT172, IFT122, FUZ, CLCN4, TMEM107, MKS1, CEP250, CC2D2A, CEP89, ENKD1	694	62	19256	5.817793064980942	0.004154781859449952	5.202067497976307E-4	5.17093071089992E-4
