Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008544~epidermis development	13	1.9938650306748467	5.400982689853541E-8	KRTDAP, SPRR2E, SPRR2F, CDSN, CALML5, KLK5, CST6, RBP2, SPRR1A, SPRR2B, SPRR1B, S100A7, SPRR2D	372	82	19256	8.2063991607658	7.296461612493754E-5	7.291326631302281E-5	7.285925648612427E-5
GOTERM_CC_DIRECT	GO:0005576~extracellular region	79	12.116564417177914	6.64471945647012E-8	SFTA2, WFDC8, DRAXIN, LY6K, CXCL9, WNT2B, LRCOL1, CALML5, IL26, CGB7, ISM2, HTN3, VPREB3, C8G, IBSP, EMILIN3, CA6, GAST, PRSS3, CHGB, FGB, IL11, PLA2G12B, DCD, NPFF, SPINK6, OMD, PSG1, PSG2, FNDC7, SFRP1, GAL, LYG1, PAPPA, PSG6, FIBIN, ANGPTL3, CHI3L2, SCG3, DEFB4A, LPA, S100A7, DEFB103A, DEFB103B, COL11A1, LHB, EBI3, HTRA4, PROZ, KLK5, KLK4, TULP2, THBS2, KLK9, ART5, KLK6, WNT6, IFNL1, CNPY4, BGLAP, STC2, LCN12, TAC3, LY6G6C, AMELX, PLA2G2F, CDSN, LGI4, IGF2, GUCA2B, PPBP, KLK10, SLURP1, KLK12, POMC, FGF17, APOC2, CSPG5, NOTUM	401	2172	20521	1.8613216039091958	1.8671487967303335E-5	1.8671661672681037E-5	1.8671661672681037E-5
GOTERM_BP_DIRECT	GO:0031424~keratinization	12	1.8404907975460123	1.9039640082690697E-7	SPRR2E, SPRR4, SPRR2F, LCE3D, LCE3A, LCE3B, CNFN, SPRR1A, SPRR2B, SPRR1B, LCE3E, SPRR2D	372	75	19256	8.28215053763441	2.571924824009697E-4	1.2851757055816222E-4	1.2842237235774875E-4
GOTERM_CC_DIRECT	GO:0001533~cornified envelope	11	1.687116564417178	2.2388995368623893E-7	SPRR2E, SPRR2F, CDSN, CYSRT1, CNFN, CST6, SPRR1A, SPRR2B, SPRR1B, KLK6, SPRR2D	401	60	20521	9.382003325020781	6.291110504252906E-5	3.145653849291657E-5	3.145653849291657E-5
GOTERM_BP_DIRECT	GO:0006396~RNA processing	30	4.601226993865031	1.52619924958504E-6	SNORD81, SNORA40, SNORA16B, SNORA14A, SNORA7B, SNORD37, SNORD109A, SNORA58, SNORD50B, SNORD50A, SNORA37, SNORA57, SNORD95, SNORA77, SNORD56B, SNORD58C, SNORD7, SNORD88C, SNORA11B, SNORD38B, SCARNA9L, SNORA70F, SNORD116-26, RUNDC3A-AS1, SNORA28, SNORD83B, SNORA74B, SNORD63, SNORA70B, PWARSN	372	560	19256	2.7730414746543777	0.00205977251067635	6.86789662313268E-4	6.86280929230073E-4
GOTERM_CC_DIRECT	GO:0005615~extracellular space	63	9.662576687116564	6.007625531762122E-5	CXCL9, WNT2B, POP1, IL26, CGB7, MIR628, S100A7A, VPREB3, IBSP, CA6, GAST, PRSS3, CHGB, KRTDAP, FGB, IL11, MIR194-1, SPINK7, NPFF, OMD, MIR16-2, SFRP1, GAL, PAPPA, ANGPTL3, CHI3L2, DEFB4A, LPA, S100A7, DEFB103A, DEFB103B, COL11A1, LHB, EBI3, PROZ, KLK5, PRH2, MIR148A, KLK6, WNT6, IFNL1, SCGB1D2, BGLAP, STC2, RNASE8, LCN12, SLIT3, MROH7, TAC3, CYTL1, MUC6, GABBR1, CD70, LGI4, IGF2, PPBP, SLURP1, KLK12, POMC, FGF17, SMOC2, INS-IGF2, APOC2	401	1931	20521	1.6695999514419544	0.016740233507057223	0.005627142581417188	0.005627142581417188
GOTERM_CC_DIRECT	GO:0005796~Golgi lumen	10	1.5337423312883436	2.4749387160540596E-4	DEFB103A, WNT6, DEFB103B, BGLAP, LHB, OMD, PROZ, CSPG5, DEFB4A, MUC6	401	107	20521	4.782669494488079	0.06719059922440707	0.017386444480279768	0.017386444480279768
GOTERM_CC_DIRECT	GO:0030141~secretory granule	9	1.3803680981595092	5.783426339042474E-4	POMC, GAL, KLK5, KLK4, KLK9, KLK10, KLK6, KLK12, CHGB	401	96	20521	4.797615336658354	0.15003600797841055	0.032502856025418705	0.032502856025418705
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	12	1.8404907975460123	7.43371088615808E-4	TMPRSS5, HTRA4, KLK5, PROZ, KLK4, LPA, KLK9, PRSS3, CTRC, KLK10, KLK6, KLK12	350	187	18883	3.462123758594347	0.29654071552145034	0.23775208854255522	0.23775208854255522
GOTERM_MF_DIRECT	GO:0005179~hormone activity	9	1.3803680981595092	0.00100317336937787	POMC, INS-IGF2, BGLAP, STC2, CGB7, LHB, IGF2, GAST, CHGB	350	110	18883	4.414207792207792	0.3779527138562191	0.23775208854255522	0.23775208854255522
