Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0031424~keratinization	18	7.531380753138076	4.817994150212562E-21	SPRR2G, KRT1, LCE1E, LCE1F, LCE1C, LCE2D, LCE1D, HRNR, LCE1A, LCE3C, LCE2B, LCE1B, LCE2C, CASP14, LCE2A, LCE5A, LCE4A, LCE6A	144	75	19256	32.093333333333334	3.1895121274407163E-18	3.1846941332905037E-18	3.1846941332905037E-18
GOTERM_CC_DIRECT	GO:0005615~extracellular space	35	14.644351464435147	4.4291798842742093E-7	WFDC12, CELA3A, SERPINA12, MIR30A, ORM1, CSF2, IL20, MIR17, HP, C4BPA, TNFRSF11B, REG3G, CST7, LYZL4, MMP27, TAC1, CER1, IL37, ARG1, KRT1, KLK14, WNT7A, MIR664A, PGC, IL1F10, RBP4, FAP, MIR342, TCN1, IGFL4, LCN1, LALBA, CBLN4, LACRT, BPIFC	146	1931	20521	2.547601143562495	6.554972832251149E-5	6.55518622872583E-5	6.33372723451212E-5
GOTERM_CC_DIRECT	GO:0001533~cornified envelope	7	2.928870292887029	4.102546735585966E-6	FLG, CASP14, FLG2, SPRR2G, KRT1, LCE1D, HRNR	146	60	20521	16.398059360730592	6.069938669923669E-4	3.035884584333615E-4	2.933320915943966E-4
GOTERM_CC_DIRECT	GO:0005576~extracellular region	33	13.807531380753138	4.2078973217811427E-5	ORM1, CSF2, IL20, HP, C4BPA, TNFRSF11B, REG3G, PSORS1C2, C6ORF15, TAC1, CER1, PSAPL1, IL37, ARG1, NXPE1, KRT1, KLK14, WNT7A, PSG3, OTOR, HRNR, IL1F10, FLG2, RBP4, TCN1, PSG7, SPINK13, LCN1, CNTN4, SPINK9, FOLR3, CBLN4, LACRT	146	2172	20521	2.135501021721032	0.006208466397923829	0.0020758960120786972	0.002005764390049011
GOTERM_CC_DIRECT	GO:0036457~keratohyalin granule	3	1.2552301255230125	2.9475557043272575E-4	FLG, FLG2, HRNR	146	4	20521	105.41609589041094	0.0426921480404816	0.010905956106010853	0.010537511642969946
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	12	5.02092050209205	3.9619306717884986E-4	OR1D5, OR2D3, OR1D4, OR52H1, OR2D2, OR1C1, OR2AG1, OR1J4, OR1L1, OR6Q1, OR4F5, OR2B3	144	433	19256	3.7059276366435716	0.23074424301995844	0.13094180870260988	0.13094180870260988
GOTERM_CC_DIRECT	GO:1904724~tertiary granule lumen	5	2.092050209205021	6.60412343100148E-4	FLG2, ORM1, TCN1, HP, FOLR3	146	56	20521	12.549535225048924	0.09314554986496593	0.019548205355764382	0.018887793012664234
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	18	7.531380753138076	7.176348988056885E-4	OR1D5, TAS2R50, OR2D3, OR1D4, OR2D2, OR52H1, OR1C1, GPR12, P2RY14, PTGER3, OR1J4, OR1L1, OR6Q1, TBXA2R, OR2AG1, CCR9, OR4F5, OR2B3	144	953	19256	2.525708289611752	0.3782671931759115	0.1581188893701867	0.1581188893701867
GOTERM_CC_DIRECT	GO:0035580~specific granule lumen	5	2.092050209205021	0.0010309358227690722	ORM1, TCN1, ARG1, HP, FOLR3	146	63	20521	11.15514242226571	0.14157606534769085	0.02542975029497045	0.024570637109329555
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	12	5.02092050209205	0.001121721377038665	OR1D5, OR2D3, OR1D4, OR52H1, OR2D2, OR1C1, OR2AG1, OR1J4, OR1L1, OR6Q1, OR4F5, OR2B3	154	450	18883	3.2697835497835497	0.1893181803697952	0.21088361888326904	0.21088361888326904
GOTERM_BP_DIRECT	GO:0061436~establishment of skin barrier	4	1.6736401673640167	0.002205523928903217	FLG, FLG2, KRT1, HRNR	144	35	19256	15.282539682539682	0.7681510756109896	0.3644628292512566	0.3644628292512566
