Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	25	10.638297872340425	1.2251057720460834E-14	FCN2, CD84, CD163L1, IL23R, CLEC12B, CD3G, FASLG, CXCR6, TARP, KLRK1, KLRC4-KLRK1, CTLA4, SLAMF6, CCR6, KLRC1, CCR5, VCAM1, KLRC2, FCRL3, KLRC4, FCRL4, CD2, CD28, CD226, MS4A1	161	407	20521	7.829215437911089	2.0516921495072893E-12	2.0581776970374202E-12	2.0581776970374202E-12
GOTERM_BP_DIRECT	GO:0045954~positive regulation of natural killer cell mediated cytotoxicity	10	4.25531914893617	7.213270139127409E-13	IL21, KLRK1, KLRC2, KLRC4, SH2D1A, KLRC4-KLRK1, CRTAM, SLAMF6, CD226, KLRC1	157	28	19256	43.80345768880801	6.138364261332185E-10	6.131279618258297E-10	5.965374405058367E-10
GOTERM_BP_DIRECT	GO:0006955~immune response	22	9.361702127659575	6.090556381289057E-10	IL21, CCL24, TENM1, CD96, CSF3, CR2, FCRL3, GZMA, FCRL4, IL19, KIR3DL1, FASLG, CXCR6, CXCL5, IFNG, IRF8, CTLA4, CCR6, CCR5, CCL18, ICOS, CMKLR1	157	496	19256	5.440106841997124	5.183061676516942E-7	2.5884864620478496E-7	2.518445063663025E-7
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	20	8.51063829787234	5.3454271016159045E-9	EOMES, TNFSF18, ITK, CD84, IFNA14, KLRC2, TRAT1, SH2D1A, FCRL4, CRTAM, THEMIS, CD3G, TARP, KLRK1, IFNG, CAMK4, KLRC4-KLRK1, CTLA4, IL17F, KLRC1	157	455	19256	5.391194792468678	4.548948128624275E-6	1.5145376787911728E-6	1.4735560710121178E-6
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	77	32.76595744680851	6.321813106813036E-9	TENM1, ITK, CD84, KCNG4, IL23R, MS4A7, CD3G, FASLG, GPR174, HTR7, GRAP2, GPR171, CTLA4, CCR6, GPR139, CCR5, RGS9, ENPP7, CMKLR1, PTGDR, CD96, CR2, GPR34, KCNK12, GML, FCRL4, TIMD4, OR1N2, GPRIN3, ACTBL2, IL1RAPL2, MMP17, CD226, PRKCQ, OR8G5, RGR, MS4A1, CDH17, CHRNA1, OR8G1, TAS2R42, CLEC12A, CLEC12B, FPR3, CXCR6, TARP, LRRC55, TMEM163, KIR2DL4, GHRHR, PROKR2, KLRK1, GLRA3, ADAP2, KLRC4-KLRK1, LPXN, SLAMF6, NCKAP1L, KLRC1, ICOS, TIGIT, TNFSF18, MSR1, VCAM1, KLRC2, TRAT1, CRTAM, KIR2DS4, SLC4A10, KIR3DL1, KIR3DL2, DYTN, CD2, SLC8A3, SYT11, CD28, TGFBI	161	5395	20521	1.8191642825482532	1.0620640356062694E-6	5.310323009722951E-7	5.310323009722951E-7
GOTERM_BP_DIRECT	GO:0032729~positive regulation of interferon-gamma production	9	3.829787234042553	2.2478255408524164E-7	CD2, IL21, KLRK1, IL23R, KLRC4-KLRK1, CRTAM, IRF8, SLAMF6, CD226	157	78	19256	14.151886330230278	1.912716802996428E-4	4.1499704088461833E-5	4.037677091900934E-5
GOTERM_BP_DIRECT	GO:0006968~cellular defense response	8	3.404255319148936	2.5751118609766326E-7	ITK, KLRC2, TRAT1, SH2D1A, CCR6, KIR3DL2, CCR5, KIR2DL4	157	54	19256	18.17032318943147	2.1911803776686334E-4	4.1499704088461833E-5	4.037677091900934E-5
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	17	7.234042553191489	2.9293908768326E-7	CCL24, CD96, IL22, VCAM1, IL23R, FPR3, CXCR6, CXCL3, CXCL5, CAMK4, TNIP3, IL17F, PRKCQ, CCR5, CCL18, PTGDR, CMKLR1	157	417	19256	5.000106920832761	2.4926012963766286E-4	4.1499704088461833E-5	4.037677091900934E-5
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	12	5.106382978723404	3.4313285252573143E-7	CHRNA1, CR2, GLRA3, CLEC12A, KLRC2, FCRL3, KLRC4, FCRL4, CD3G, KLRC1, TARP, KIR2DL4	149	192	18883	7.920721476510067	8.646575530546485E-5	8.681261168901005E-5	8.544008027890712E-5
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	8	3.404255319148936	1.5640855420810512E-6	CCL24, CCR6, CXCR6, CCR5, CXCL3, CCL18, CXCL5, CMKLR1	157	70	19256	14.017106460418562	0.0013301523992732545	1.899246729669848E-4	1.8478553475728988E-4
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	14	5.957446808510639	2.455595047071659E-6	FCRL3, MS4A7, FCRL4, CD3G, TARP, CD2, GHRHR, IFNG, CD28, STAT4, OSTN, KLRC1, CCR5, MS4A1	157	324	19256	5.299677596917512	0.0020875320187491164	2.548041479366981E-4	2.479094474631169E-4
GOTERM_BP_DIRECT	GO:0007165~signal transduction	28	11.914893617021278	2.6979262722709214E-6	CHRNA1, IL21, TENM1, ITK, IL22, OLFML2B, CLEC12A, FASLG, FPR3, KIR2DL4, CXCL5, KLRK1, GRAP2, KLRC4-KLRK1, STAT4, LPXN, CCR6, CCR5, CCL18, INSL4, TNFSF18, CCL24, KLRC2, TRAT1, IL19, OR1N2, CAMK4, CD226	157	1251	19256	2.7451567408493585	0.002293304704332755	2.548041479366981E-4	2.479094474631169E-4
GOTERM_BP_DIRECT	GO:0042267~natural killer cell mediated cytotoxicity	6	2.553191489361702	3.959712388047653E-6	CD2, KLRK1, SH2D1A, KLRC4-KLRK1, GZMB, KIR3DL1	157	30	19256	24.529936305732484	0.003364050772790672	3.365755529840505E-4	3.2746821449154093E-4
GOTERM_BP_DIRECT	GO:0042110~T cell activation	7	2.9787234042553195	8.115995043593224E-6	CD2, ITK, CD84, CD28, SLAMF6, CD3G, TARP	157	59	19256	14.55165713051927	0.006882943099669747	6.271450715503855E-4	6.101752637319634E-4
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	9	3.829787234042553	9.741657984999269E-6	CCL24, FPR3, NCKAP1L, CCR6, CXCR6, CCR5, CCL18, CXCL5, CMKLR1	157	128	19256	8.623805732484076	0.00825592245314688	6.900341072707815E-4	6.713625961328663E-4
GOTERM_BP_DIRECT	GO:0001819~positive regulation of cytokine production	7	2.9787234042553195	1.8567824247486416E-5	IL21, ITK, IFNG, CRTAM, SAA1, CD28, IL17F	157	68	19256	12.625702510303483	0.01567717852985895	0.001214050046951035	0.0011811992809747126
GOTERM_BP_DIRECT	GO:0002223~stimulatory C-type lectin receptor signaling pathway	5	2.127659574468085	3.254989031396194E-5	KLRK1, KLRC2, KLRC4, KLRC4-KLRK1, KLRC1	157	23	19256	26.662974245361394	0.02732026927667297	0.0019762433404905463	0.0019227685206890375
GOTERM_CC_DIRECT	GO:0016020~membrane	67	28.510638297872344	8.711784644542265E-5	IL23R, MS4A7, MIA2, HS6ST3, DOCK10, HTR7, POTEH, GPR171, GPR139, CCR5, RGS9, ENPP7, CMKLR1, PTGDR, CD96, CR2, GPR34, FCRL3, TIMD4, ACTBL2, CD226, IDO2, OR8G5, RGR, MS4A1, CHRNA1, OR8G1, TAS2R42, CD163L1, CLEC12A, SLC35D3, CLEC12B, GLT6D1, FPR3, TARP, JAKMIP1, LRRC55, TMEM163, KIR2DL4, GHRHR, PROKR2, KLRK1, GLRA3, TMEM247, KLRC4-KLRK1, LPXN, SLAMF6, NCKAP1L, KLRC1, ICOS, TIGIT, TNFSF18, MSR1, TMEM132E, VCAM1, KLRC2, KLRC4, CRTAM, KIR2DS4, SLC4A10, GZMB, KIR3DL1, KIR3DL2, HS3ST2, CD2, SLC8A3, CD28	161	5595	20521	1.5263261896435927	0.014529843809356069	0.004878599400943668	0.004878599400943668
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	9	3.829787234042553	1.4314452071800192E-4	TNFSF18, IL21, IL22, CSF3, IFNA14, IFNG, IL19, FASLG, IL17F	149	193	18883	5.9097611016448175	0.03543205303345709	0.018107781870827244	0.017821492829391238
GOTERM_BP_DIRECT	GO:0006959~humoral immune response	6	2.553191489361702	1.5750963525156022E-4	IFNA14, IFNG, SH2D1A, CD28, CCR6, MS4A1	157	63	19256	11.680922050348801	0.12545476316189919	0.008925545997588411	0.00868403122353602
GOTERM_CC_DIRECT	GO:0009986~cell surface	16	6.808510638297872	1.6118175564400273E-4	TNFSF18, CHRNA1, VCAM1, FCRL3, FCRL4, CD2, GHRHR, KLRK1, KLRC4-KLRK1, CD28, CD226, CCR6, TIGIT, CCR5, MS4A1, CDH17	161	644	20521	3.1666988156321128	0.026717322557429868	0.006769633737048115	0.006769633737048115
GOTERM_CC_DIRECT	GO:0001772~immunological synapse	5	2.127659574468085	4.500895456614609E-4	GZMA, CRTAM, CD28, GZMB, PRKCQ	161	46	20521	13.854307318390495	0.07284272308677298	0.015123008734225086	0.015123008734225086
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	6	2.553191489361702	5.714342966088526E-4	CCL24, SAA1, NCKAP1L, CXCL3, CCL18, CXCL5	157	83	19256	8.86624203821656	0.3851823633540985	0.03007547212641814	0.02926166523358565
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	9	3.829787234042553	6.015094425283628E-4	TNFSF18, CCL24, GRAP2, SH2D1A, FASLG, CCR5, CCL18, CXCL5, INSL4	157	231	19256	4.778559020597237	0.40072731399001904	0.03007547212641814	0.02926166523358565
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	8	3.404255319148936	9.220796405983274E-4	CSF3, KLRK1, TNIP3, KLRC4-KLRK1, IRF8, CCR5, CXCL3, CXCL5	157	190	19256	5.164197116996312	0.543903910885756	0.04354264969492102	0.04236443682082315
