"","genes","modules"
"1","MIR6859-3","grey60"
"2","MIR6859-2","grey60"
"3","MIR6859-4","grey60"
"4","MIR6859-1","grey60"
"5","FAM138A","skyblue1"
"6","FAM138F","skyblue1"
"7","OR4F5","skyblue"
"8","LOC729737","grey60"
"9","OR4F3","plum2"
"10","OR4F29","plum2"
"11","OR4F16","plum2"
"12","MIR6723","mediumpurple2"
"13","LOC100288069","grey60"
"14","FAM87B","grey60"
"15","LINC00115","brown"
"16","LINC01128","grey60"
"17","MIR200B","grey60"
"18","MIR200A","grey60"
"19","MIR429","grey60"
"20","SCNN1D","pink"
"21","MIR6727","grey60"
"22","MXRA8","grey60"
"23","CCNL2","grey60"
"24","TMEM88B","thistle2"
"25","CDK11B","grey60"
"26","SLC35E2B","grey60"
"27","CDK11A","grey60"
"28","SLC35E2","grey60"
"29","GNB1","grey60"
"30","GABRD","cyan"
"31","HES5","cyan"
"32","ACTRT2","blue2"
"33","TP73-AS1","grey60"
"34","CCDC27","skyblue"
"35","CEP104","grey60"
"36","DFFB","grey60"
"37","C1orf174","grey60"
"38","AJAP1","grey60"
"39","MIR4417","skyblue"
"40","MIR4689","thistle2"
"41","CHD5","grey60"
"42","RNF207","grey60"
"43","ICMT","grey60"
"44","MIR4252","brown"
"45","NOL9","grey60"
"46","DNAJC11","grey60"
"47","VAMP3","brown"
"48","PER3","brown"
"49","ERRFI1","blue"
"50","LOC102724552","blue"
"51","CA6","pink"
"52","SLC2A7","blue"
"53","MIR34A","grey60"
"54","PIK3CD-AS1","blue"
"55","LZIC","grey60"
"56","NMNAT1","grey60"
"57","RBP7","blue"
"58","UBE4B","grey60"
"59","KIF1B","grey60"
"60","RNU6-2","pink"
"61","CASZ1","grey60"
"62","TARDBP","brown"
"63","MASP2","grey60"
"64","EXOSC10","brown"
"65","MTOR","grey60"
"66","MTOR-AS1","grey60"
"67","LOC101929181","blue"
"68","DRAXIN","pink"
"69","CLCN6","grey60"
"70","NPPA-AS1","antiquewhite4"
"71","NPPA","antiquewhite4"
"72","NPPB","antiquewhite4"
"73","MIR7846","blue"
"74","VPS13D","grey60"
"75","SNORA59B","grey60"
"76","SNORA59A","grey60"
"77","MIR6730","grey60"
"78","AADACL4","plum2"
"79","AADACL3","skyblue"
"80","PRAMEF12","blue"
"81","PRAMEF1","blue"
"82","PRAMEF11","blue"
"83","HNRNPCL4","brown"
"84","HNRNPCL3","brown"
"85","HNRNPCL1","brown"
"86","LOC101929983","blue"
"87","LOC391003","blue"
"88","PRAMEF25","blue"
"89","PRAMEF26","blue"
"90","PRAMEF5","blue"
"91","LOC649324","blue"
"92","LOC645354","blue"
"93","HNRNPCL2","brown"
"94","PRAMEF15","blue"
"95","LOC400736","blue"
"96","PRAMEF14","blue"
"97","PRDM2","grey60"
"98","KAZN","grey60"
"99","TMEM51-AS1","grey60"
"100","C1orf195","brown"
"101","CTRC","pink"
"102","CELA2A","blue"
"103","CELA2B","grey60"
"104","DNAJC16","grey60"
"105","DDI2","brown"
"106","RSC1A1","grey60"
"107","SPEN","grey60"
"108","MIR5096","blue"
"109","HSPB7","antiquewhite4"
"110","CROCCP3","grey60"
"111","FAM231B","antiquewhite4"
"112","MIR3675","blue"
"113","NBPF1","grey60"
"114","MST1P2","grey60"
"115","FAM231A","plum2"
"116","FAM231C","plum2"
"117","MST1L","grey60"
"118","PADI2","blue"
"119","PADI1","grey60"
"120","MIR3972","orangered3"
"121","PADI4","blue"
"122","PADI6","cyan"
"123","RCC2","grey60"
"124","LOC101927876","blue"
"125","TAS1R2","blue"
"126","MIR4695","blue"
"127","IFFO2","grey60"
"128","UBR4","grey60"
"129","AKR7L","grey60"
"130","LOC100506730","grey60"
"131","HTR6","grey60"
"132","RNF186","plum"
"133","OTUD3","grey60"
"134","PLA2G2E","blue"
"135","PLA2G5","antiquewhite4"
"136","PLA2G2F","pink"
"137","UBXN10-AS1","pink"
"138","LINC01141","blue"
"139","CAMK2N1","blue"
"140","FAM43B","firebrick4"
"141","HP1BP3","grey60"
"142","EIF4G3","grey60"
"143","LOC100506801","brown"
"144","NBPF3","grey60"
"145","USP48","brown"
"146","CELA3A","skyblue"
"147","CDC42","grey60"
"148","ZBTB40","grey60"
"149","EPHA8","grey60"
"150","EPHB2","grey60"
"151","MIR4253","grey60"
"152","KDM1A","brown"
"153","MIR3115","brown"
"154","MIR4419A","coral1"
"155","LUZP1","grey60"
"156","LINC01355","brown"
"157","HNRNPR","brown"
"158","ZNF436","brown"
"159","ZNF436-AS1","grey60"
"160","TCEB3","brown"
"161","TCEB3-AS1","grey60"
"162","FUCA1","brown"
"163","MIR378F","blue"
"164","PNRC2","brown"
"165","SRSF10","brown"
"166","MYOM3","antiquewhite4"
"167","IL22RA1","cyan"
"168","IFNLR1","grey60"
"169","GRHL3","blue"
"170","NIPAL3","brown"
"171","NCMAP","grey60"
"172","SRRM1","brown"
"173","CLIC4","brown"
"174","MIR4425","plum"
"175","SYF2","brown"
"176","RSRP1","brown"
"177","RHD","pink"
"178","TMEM50A","brown"
"179","RHCE","brown"
"180","TMEM57","grey60"
"181","LOC646471","grey60"
"182","TRIM63","pink"
"183","PDIK1L","brown"
"184","FAM110D","cyan"
"185","CATSPER4","blue"
"186","LIN28A","brown"
"187","LOC101928324","brown"
"188","MIR1976","coral1"
"189","ARID1A","grey60"
"190","ACTG1P20","brown"
"191","FAM76A","brown"
"192","STX12","brown"
"193","PPP1R8","grey60"
"194","SCARNA1","brown"
"195","EYA3","grey60"
"196","DNAJC8","brown"
"197","SESN2","blue"
"198","PHACTR4","brown"
"199","SNHG3","grey60"
"200","RCC1","grey60"
"201","SNHG12","grey60"
"202","SNORD99","grey60"
"203","SNORA61","grey60"
"204","SNORA44","grey60"
"205","SNORA16A","grey60"
"206","TAF12","brown"
"207","RNU11","pink"
"208","GMEB1","brown"
"209","YTHDF2","brown"
"210","EPB41","grey60"
"211","SRSF4","grey60"
"212","LOC101928460","brown"
"213","PUM1","brown"
"214","SNORD103A","grey60"
"215","SNORD103B","grey60"
"216","SNORD85","plum"
"217","FABP3","antiquewhite4"
"218","TINAGL1","thistle2"
"219","PTP4A2","brown"
"220","KHDRBS1","grey60"
"221","MIR5585","brown"
"222","KPNA6","grey60"
"223","MTMR9LP","pink"
"224","HDAC1","grey60"
"225","TSSK3","grey60"
"226","ZBTB8B","plum2"
"227","ZBTB8A","brown"
"228","ZBTB8OS","brown"
"229","RBBP4","brown"
"230","SYNC","brown"
"231","S100PBP","grey60"
"232","FNDC5","antiquewhite4"
"233","A3GALT2","firebrick4"
"234","ZSCAN20","brown"
"235","HMGB4","steelblue"
"236","CSMD2-AS1","blue"
"237","LOC653160","grey60"
"238","ZMYM6NB","brown"
"239","ZMYM6","brown"
"240","ZMYM1","brown"
"241","SFPQ","grey60"
"242","ZMYM4","brown"
"243","KIAA0319L","grey60"
"244","TFAP2E","grey60"
"245","CLSPN","brown"
"246","AGO4","grey60"
"247","AGO1","grey60"
"248","AGO3","brown"
"249","THRAP3","brown"
"250","SH3D21","grey60"
"251","MEAF6","brown"
"252","MIR5581","grey60"
"253","SNIP1","grey60"
"254","GNL2","brown"
"255","RSPO1","brown"
"256","C1orf109","brown"
"257","MTF1","brown"
"258","INPP5B","grey60"
"259","SF3A3","brown"
"260","UTP11L","brown"
"261","LINC01343","blue"
"262","RRAGC","grey60"
"263","GJA9-MYCBP","brown"
"264","MYCBP","brown"
"265","GJA9","brown"
"266","RHBDL2","brown"
"267","AKIRIN1","brown"
"268","MACF1","grey60"
"269","KIAA0754","grey60"
"270","PPIEL","grey60"
"271","PABPC4","grey60"
"272","LOC101929516","grey60"
"273","SNORA55","grey60"
