antiquewhite4	blue	blue2	brown	coral1	cyan	darkgreen	darkmagenta	darkviolet	firebrick4	floralwhite	grey60	mediumpurple2	orangered3	pink	plum	plum2	skyblue	skyblue1	steelblue	thistle2
NPPA-AS1	ERRFI1	ACTRT2	LINC00115	MIR4419A	GABRD	DDX11L1	HES4	MIR3122	FAM43B	TTLL10	MIR6859-3	MIR6723	MIR3972	SCNN1D	RNF186	OR4F3	OR4F5	FAM138A	HMGB4	TMEM88B
NPPA	LOC102724552	MIR2682	MIR4252	MIR1976	HES5	WASH7P	PUSL1	LINC01516	A3GALT2	TMEM52	MIR6859-2	FLJ31662	METTL11B	CA6	MIR4425	OR4F29	CCDC27	FAM138F	IL23R	MIR4689
NPPB	SLC2A7	RNU6-31P	VAMP3	SPATA42	PADI6	LOC100133331	LOC148413	MIR3663HG	GUCA2A	CFAP74	MIR6859-4	MIR548F1	LYPD8	RNU6-2	SNORD85	OR4F16	MIR4417	MIR7156	LINC01360	TINAGL1
HSPB7	PIK3CD-AS1	KCND3-IT1	PER3	HSD3B2	IL22RA1	LOC100132287	MRPL20	MIR548K	LYZL1	MORN1	MIR6859-1	MIR1273E	MIR5699	DRAXIN	SLC1A7	AADACL4	AADACL3	CLCA1	LOC101927412	NHLH1
FAM231B	RBP7	LOC101928322	TARDBP	LINC00622	FAM110D	LOC100132062	SSU72	LOC101928944	LINC01518	LOC100129534	LOC729737	SORCS3-AS1	FAM170B	CTRC	UBE2U	FAM231A	CELA3A	KCNK2	UOX	SHCBP1L
PLA2G5	LOC101929181	LINC01553	EXOSC10	MIR6737	EDN2	LOC100130417	RER1	HOXC8	CCDC172	TTC34	LOC100288069	FSHB	LINC00595	PLA2G2F	SLC44A5	FAM231C	FOXD3	LOC102723833	DNASE2B	CACNA1S
MYOM3	MIR7846	OR10A3	HNRNPCL4	LOC100505918	TIE1	SAMD11	WRAP73	MIR3685	HOTS	MIR551A	FAM87B	CHRM1	DNTT	UBXN10-AS1	LOC100129138	ZBTB8B	PTGER3	LINC00866	VCAM1	SLC26A9
FABP3	PRAMEF12	SNORA23	HNRNPCL3	RNU6-72P	SKINTL	NOC2L	ACOT7	IL31	H19	TP73	LINC01128	CLDN25	NKX2-3	RHD	MIR4677	MIR6077	LINC01461	ADRA2A	CD2	C10orf105
FNDC5	PRAMEF1	APOC3	HNRNPCL1	OPTC	C1orf177	KLHL17	CAMTA1	MIR4499	MIR675	NPHP4	MIR200B	FOXR1	LOC102724589	TRIM63	C10orf82	TDRD10	KCNC4-AS1	HPX	SYT11	TCERG1L
NEXN	PRAMEF11	CAPZA3	HNRNPCL2	SNORA14B	ROR1-AS1	PLEKHN1	PARK7	LINC01049	MIR6860	HES3	MIR200A	HOXC6	OR52D1	RNU11	UBQLN3	TNN	HRNR	MIR8068	FCRL4	MRGPRE
LOC101927434	LOC101929983	LOC102724421	C1orf195	NEUROG3	AK4	PERM1	ENO1	KRTAP2-1	LOC283214	PIK3CD-AS2	MIR429	LINC00408	MIR5691	MTMR9LP	NAV2-AS5	TDRD5	FLG	TRPC6	FCRL3	OR4B1
PGCP1	LOC391003	MIR4498	DDI2	MIR5692C2	IFI44L	AGRN	ENO1-AS1	GJC1	KIRREL3-AS3	APITD1-CORT	MIR6727	TRPC4	IZUMO1R	SLFNL1	LOC100506675	LOC101929224	FLG-AS1	ACSM4	SLAMF6	OR5AK4P
CASQ2	PRAMEF25	NPAP1	LOC100506801	HPSE2	ADGRL4	RNF223	SLC25A33	LINC00469	LINC00367	APITD1	MXRA8	LINC00366	LOC100506159	GUCA2B	LOC646813	MIXL1	FLG2	PTPRQ	CD84	GLYATL2
REG4	PRAMEF26	MIR4310	USP48	OR10A6	LINC01555	C1orf159	PGD	LINC01532	LINC00423	CORT	CCNL2	HTR2A-AS1	ASCL1	SNORD38B	TRIM48	TUBB8	LCE5A	ALDH1L2	OLFML2B	OOSP2
HFE2	PRAMEF5	LOC285043	KDM1A	MIR6073	GBP1	LINC01342	DFFA	MIR4270	LOC101928841	ANGPTL7	CDK11B	ATXN8OS	LINC00421	MIR5095	SCGB1D1	LINC00601	LCE3C	POSTN	FASLG	MS4A15
LELP1	LOC649324	FOXD4L1	MIR3115	LINC01499	GBP2	TNFRSF18	SRM	IQCF3	MIR4539	LOC102724659	SLC35E2B	LINC00554	MIR4500HG	DIO1	LOC646029	TRPC2	LCE2D	LINC00347	TNFSF18	LRRC32
MIR4258	LOC645354	MIR4268	LINC01355	F2	GBP4	SDF4	UBIAD1	EGFEM1P	OR1E2	C1orf158	CDK11A	LOC642426	MEG9	MROH7	INHBE	HBG1	LCE2C	NALCN-AS1	BRINP2	B3GNT6
VHLL	PRAMEF15	ESPNL	HNRNPR	MS4A6E	GBP1P1	B3GALT6	MAD2L2	MIR4450	KRTAP2-2	TMEM82	SLC35E2	NKX2-1-AS1	GOLGA6L2	MGC34796	MIR135A2	OR2AG2	LCE2B	SERPINA6	IL19	POU5F1P3
NES	LOC400736	NLGN1-AS1	ZNF436	DPPA3	LOC101928370	FAM132A	AGTRAP	SLC25A31	KRTAP4-9	CLCNKA	GNB1	MIR381HG	MIR211	ANGPTL3	ENOX1-AS2	MIR302E	LCE2A	MIR770	CR2	MIR548AN
DUSP27	PRAMEF14	POU4F2	TCEB3	MIR4494	MAB21L3	UBE2J2	TMEM51	TEX43	KRTAP9-6	CROCCP2	TP73-AS1	MIR627	MIR4716	DLEU2L	PCDH9-AS2	MIR4299	LCE4A	GOLGA8DP	PRKCQ	MIR623
